tid,liq_ratio,wall_dist,wall_sz,book_imb
85,0.6427,0.1970,201.2300,-0.2175
80,0.9380,0.2301,366.3800,-0.0320
34,1.0457,0.6238,362.8200,0.0224
81,0.7824,0.3406,124.0800,-0.1221
35,0.9576,0.4364,159.5900,-0.0216
62,1.5573,0.1186,339.2700,0.2179
11,1.1056,0.1632,181.3900,0.0502
52,1.0692,0.0685,75.6200,0.0334
6,1.2717,0.4277,70.6100,0.1196
7,0.5264,0.0385,78.6600,-0.3103
50,0.5614,0.1700,98.3600,-0.2809
65,0.7946,0.3215,193.8700,-0.1144
39,0.4465,0.3439,76.8200,-0.3826
88,0.7143,0.1513,107.4200,-0.1666
29,0.6326,0.0926,185.6900,-0.2250
82,0.8860,0.1273,126.2700,-0.0605
83,1.1908,0.1727,241.4600,0.0871
36,1.0740,0.3327,241.4600,0.0357
63,0.8775,0.3720,186.8800,-0.0653
20,0.6601,0.0630,62.3600,-0.2047
69,0.9775,0.0163,80.8100,-0.0114
14,0.6341,0.2688,289.6000,-0.2239
48,1.1703,0.0970,30.3400,0.0785
49,1.0048,0.1922,34.8900,0.0024
30,0.8534,0.5751,496.4300,-0.0791
4,2.6912,0.1038,148.9200,0.4582
5,0.7235,0.1150,59.8900,-0.1604
66,1.1499,0.1443,74.0600,0.0697
43,1.2961,0.0784,72.9900,0.1290
0,0.7612,0.2032,38.5000,-0.1356
17,0.5989,0.1081,87.7600,-0.2509
78,0.5502,0.2540,82.6800,-0.2902
33,0.8893,0.1692,81.0800,-0.0586
51,1.2981,0.3075,69.7200,0.1297
21,0.9664,0.1639,85.3400,-0.0171
22,0.9661,0.6085,114.4100,-0.0172
46,0.9466,0.1806,60.1900,-0.0274
18,1.5162,0.3320,291.2700,0.2052
19,0.6203,0.1255,50.0800,-0.2343
3,0.7884,0.1028,70.7900,-0.1183
9,0.9010,0.7917,102.4900,-0.0521
67,0.9010,0.3410,102.4900,-0.0521
8,1.0050,0.6815,61.0900,0.0025
44,0.4085,0.0006,61.0300,-0.4200
45,1.0398,0.0002,108.2300,0.0195
56,1.1975,0.0530,73.3300,0.0899
25,1.2006,0.2617,96.5600,0.0912
72,0.6008,0.1717,71.6700,-0.2494
15,1.2305,0.2118,60.3000,0.1034
58,0.8752,0.2752,90.3500,-0.0665
26,0.9106,0.4106,163.7900,-0.0468
27,1.1563,0.0850,81.8700,0.0725
75,1.2269,0.0003,157.9100,0.1019
61,0.8816,0.0020,111.4400,-0.0629
32,0.7796,0.0825,112.2200,-0.1238
54,0.6344,0.0418,45.3600,-0.2237
16,1.2723,0.1922,81.7000,0.1198
68,0.9019,0.2447,81.5000,-0.0516
76,0.8928,0.2826,104.7000,-0.0566
31,0.9340,0.4421,91.8800,-0.0341
12,1.0163,0.2504,85.9700,0.0081
13,0.7435,0.0002,36.4100,-0.1471
47,0.8003,0.0036,32.0900,-0.1109
24,1.0179,0.1490,104.2200,0.0089
55,0.5317,0.4466,310.3000,-0.3057
71,1.0744,0.0183,82.8700,0.0358
84,0.9696,0.3061,243.4100,-0.0154
37,1.1505,0.1591,171.5600,0.0700
38,0.7045,0.4736,150.9800,-0.1734
23,1.4527,0.0170,212.1600,0.1846
57,1.1137,0.2096,146.6500,0.0538
70,0.8244,0.3049,47.5100,-0.0963
73,1.0990,0.2566,64.1600,0.0472
77,1.1858,0.2730,88.3100,0.0850
79,0.7684,0.2463,139.5600,-0.1310
1,1.2291,0.0007,57.4300,0.1028
2,0.9513,0.1075,198.3300,-0.0250
41,0.9380,0.1223,56.0200,-0.0320
42,0.9301,0.1516,72.1300,-0.0362
28,1.0596,0.3817,130.6600,0.0289
40,0.6460,0.3377,144.2700,-0.2151
89,0.6460,0.3107,144.2700,-0.2151
59,0.6435,0.3741,85.4600,-0.2169
60,0.9219,0.1538,74.3400,-0.0406
10,0.9359,0.0707,540.3400,-0.0331
53,1.0274,0.2818,48.1800,0.0135
86,0.8381,0.3578,124.8300,-0.0881
64,1.0436,0.2895,414.4900,0.0213
87,0.6705,0.2583,159.3600,-0.1973
74,0.9352,0.0112,83.7000,-0.0335
