tid,liq_ratio,wall_dist,wall_sz,book_imb
85,1.3498,2.9626,39848.4000,0.1489
91,1.4013,1.7666,24170.6000,0.1671
35,0.6906,2.2839,23314.2000,-0.1830
12,0.8289,1.1501,8554.4000,-0.0936
27,1.2831,1.3264,5025.0000,0.1240
62,1.0078,2.8913,18213.5000,0.0039
28,0.6146,2.4510,21473.8000,-0.2387
63,1.3289,2.5456,103875.5000,0.1412
64,0.9727,1.2434,24137.2000,-0.0138
54,1.0869,1.2838,29765.9000,0.0416
16,1.0860,0.7389,26971.9000,0.0412
86,1.1538,3.0016,26002.0000,0.0714
1,1.1501,2.0887,26830.1000,0.0698
7,1.0118,1.7168,8253.8000,0.0058
31,0.6295,2.0182,6754.0000,-0.2273
46,1.1768,0.1698,5558.7000,0.0812
95,0.7755,0.7241,7534.4000,-0.1264
96,0.9720,1.6371,27985.2000,-0.0142
4,1.1093,1.9048,22030.0000,0.0518
20,1.1472,1.6783,24210.8000,0.0686
88,1.0303,1.3301,9820.4000,0.0149
70,1.0665,2.7502,27264.0000,0.0322
47,1.0317,1.8450,25718.6000,0.0156
94,0.8950,2.9335,24641.3000,-0.0554
38,0.9568,2.1561,34897.2000,-0.0221
53,1.0393,1.7102,12321.6000,0.0193
59,1.2386,2.1117,29018.7000,0.1066
71,0.9128,0.8398,27371.2000,-0.0456
82,1.2294,1.1521,23417.8000,0.1029
74,1.2517,0.9197,26210.5000,0.1118
50,0.9208,2.6106,22931.6000,-0.0413
51,1.1011,2.9324,27966.5000,0.0481
83,1.0182,2.7542,30503.0000,0.0090
81,1.1829,1.0315,24152.7000,0.0838
8,1.0229,2.2071,9152.1000,0.0113
9,1.1793,1.8597,22194.9000,0.0823
10,0.9215,2.5217,19744.1000,-0.0409
48,0.6209,0.6640,6066.3000,-0.2339
72,1.1413,1.5653,28711.6000,0.0660
0,1.1392,1.4108,9656.2000,0.0651
73,1.3754,0.7235,27733.5000,0.1581
37,1.1313,3.0195,11352.4000,0.0616
93,1.4119,1.5794,32426.1000,0.1708
21,1.2958,1.3759,7563.7000,0.1289
57,0.9550,2.7939,26802.1000,-0.0230
41,0.9711,1.1078,37522.2000,-0.0147
89,0.8753,1.0526,6512.3000,-0.0665
23,1.0493,2.9548,8511.9000,0.0240
90,1.1738,1.6373,8511.9000,0.0800
76,0.9633,2.2793,23447.9000,-0.0187
3,1.1010,1.5825,26971.1000,0.0481
49,1.2113,1.7219,31168.8000,0.0956
92,1.0452,0.6158,3971.0000,0.0221
32,1.0809,2.8751,29541.9000,0.0389
65,0.9472,1.3991,26799.9000,-0.0271
33,1.5814,2.8433,25955.1000,0.2252
34,1.3103,2.3283,21279.2000,0.1343
43,1.0905,2.7821,11463.3000,0.0433
60,0.9676,2.7919,25982.2000,-0.0165
61,0.8970,2.0733,8545.9000,-0.0543
75,0.9792,1.0269,26784.3000,-0.0105
52,1.1247,2.6454,25274.5000,0.0587
55,0.9744,1.3553,10700.6000,-0.0129
87,1.1778,0.7435,13661.6000,0.0816
56,0.7774,1.4439,9709.8000,-0.1252
11,1.0321,2.3334,19385.6000,0.0158
26,0.8687,2.1422,27422.7000,-0.0702
36,1.1906,1.6584,24765.6000,0.0870
22,1.1494,2.8448,21752.7000,0.0695
58,0.9447,1.0024,27056.7000,-0.0284
13,1.0128,1.9705,11364.2000,0.0064
14,1.1231,1.5672,24585.5000,0.0580
42,0.8743,2.7433,34311.8000,-0.0671
17,1.0657,2.5065,24097.8000,0.0318
18,0.9538,1.8337,35254.5000,-0.0236
19,0.9198,2.3624,13340.2000,-0.0418
5,0.8998,1.5247,33676.8000,-0.0528
78,0.8998,0.9079,31999.2000,-0.0527
79,0.7883,0.8973,10190.8000,-0.1184
80,0.5897,0.8362,9053.7000,-0.2581
6,0.6883,1.3396,8671.0000,-0.1846
39,0.9351,2.4800,34134.4000,-0.0335
29,0.8698,2.7011,4290.8000,-0.0696
30,1.1087,2.6470,4202.5000,0.0516
40,0.7576,1.6911,14395.3000,-0.1379
67,1.2771,0.6700,43761.0000,0.1217
68,1.0236,2.8196,73211.6000,0.0116
44,0.8980,2.0952,24883.1000,-0.0538
45,0.8515,1.6525,30148.4000,-0.0802
69,0.7961,2.4746,30148.4000,-0.1135
15,1.1493,1.1006,27110.7000,0.0694
84,1.1683,1.2191,27110.7000,0.0776
24,1.0458,1.9172,11302.6000,0.0224
25,1.0549,2.6984,8610.1000,0.0267
2,0.7836,0.3649,14089.8000,-0.1213
66,0.9421,2.7584,4997.5000,-0.0298
77,1.7433,0.4941,82021.6000,0.2709
