tid,liq_ratio,wall_dist,wall_sz,book_imb
155,1.4290,0.3153,69.5400,0.1766
85,1.4448,0.9024,375.1700,0.1819
86,0.5781,0.7441,375.2700,-0.2674
87,0.8195,0.9911,367.9500,-0.0992
82,0.7764,0.5436,549.4600,-0.1259
0,0.6521,0.7489,225.1300,-0.2106
1,0.9048,0.7810,263.6100,-0.0500
2,1.0424,0.9513,339.1700,0.0208
195,1.4054,0.0129,106.1200,0.1685
237,1.0295,0.4371,173.4800,0.0145
238,1.7312,0.1868,42.5500,0.2677
239,1.6858,0.4979,26.5300,0.2554
260,1.1294,0.0349,135.9300,0.0608
261,2.6681,0.0327,133.7800,0.4548
262,2.4042,0.1245,41.0400,0.4125
277,0.3108,0.6247,68.3100,-0.5258
278,1.5558,0.6064,49.9500,0.2175
268,1.2682,0.3393,85.5800,0.1182
269,0.9291,0.2758,68.0200,-0.0368
270,1.2241,0.4531,164.7200,0.1008
455,0.4076,0.2950,397.2300,-0.4209
456,1.0387,0.0909,77.9800,0.0190
30,0.8223,0.9975,424.8200,-0.0975
250,1.1442,0.0339,84.7900,0.0673
523,1.3507,0.3650,106.8800,0.1492
524,0.7562,0.3517,70.5100,-0.1388
525,0.9418,0.5813,62.6200,-0.0300
62,0.9066,0.7111,265.2800,-0.0490
63,1.0248,0.9184,227.1300,0.0122
311,0.2869,0.1909,233.6100,-0.5541
587,1.4502,0.5469,96.9300,0.1837
588,0.8912,0.0598,178.3500,-0.0575
508,0.9613,0.3385,118.8100,-0.0197
31,0.8658,1.6008,153.4800,-0.0719
32,1.3566,0.9471,153.2200,0.1513
33,0.8917,1.0124,341.2800,-0.0573
570,0.7928,0.2193,115.1100,-0.1156
571,0.7585,0.1374,72.4700,-0.1373
648,0.7063,0.7178,266.4200,-0.1721
649,0.5097,0.4923,175.0100,-0.3248
76,0.9763,0.5341,360.4100,-0.0120
477,1.1335,0.1407,55.6700,0.0626
478,0.6669,0.1661,81.1300,-0.1998
479,0.3197,0.1661,51.3900,-0.5155
73,1.1678,1.0462,576.7600,0.0774
74,1.3181,0.8834,506.7200,0.1372
540,0.9632,0.5176,78.1400,-0.0187
569,2.1043,0.1900,82.7400,0.3557
144,1.3771,0.3045,85.6300,0.1586
145,1.7514,0.2242,114.7700,0.2731
146,1.0001,0.1861,56.2400,0.0001
544,0.6132,0.5212,117.8600,-0.2397
124,0.4482,0.2880,61.2500,-0.3811
577,0.7978,0.5961,82.5900,-0.1125
200,0.7824,0.2384,66.3600,-0.1221
201,1.3878,0.3696,67.3400,0.1624
136,1.5776,0.3173,257.3600,0.2241
34,0.8617,0.8579,318.9500,-0.0743
35,0.9448,1.0498,322.6400,-0.0284
36,0.8146,0.7365,224.8500,-0.1022
224,0.7472,0.4428,124.7000,-0.1447
225,0.8951,0.4347,156.6000,-0.0554
226,2.0753,0.1762,57.2500,0.3497
380,0.8463,0.0540,1029.2500,-0.0833
381,1.0461,0.2419,109.2600,0.0225
353,1.4859,0.2408,98.7200,0.1955
354,1.1300,0.1606,157.6700,0.0610
473,0.8035,0.0990,127.7200,-0.1090
474,0.7975,0.0230,80.2600,-0.1127
475,1.3513,0.4197,147.2800,0.1494
288,1.6078,0.4993,141.6800,0.2331
289,1.2997,0.1309,449.7000,0.1303
290,0.5652,0.3161,25.2100,-0.2778
443,1.2424,0.4473,44.9000,0.1081
444,0.7002,0.1446,84.2900,-0.1763
445,2.4593,0.4169,313.3800,0.4218
279,0.6806,0.7183,31.3300,-0.1900
512,0.5622,0.5588,88.4500,-0.2803
513,1.1465,0.6692,98.4700,0.0682
