tid,liq_ratio,wall_dist,wall_sz,book_imb
44,1.1009,2.6865,12932.0000,0.0480
93,1.3699,2.8369,10372.0000,0.1561
94,1.1091,2.7496,10500.5000,0.0517
16,1.4104,2.6710,14456.7000,0.1703
50,1.0766,0.9475,5271.0000,0.0369
51,1.1584,1.8765,11190.6000,0.0734
0,0.6165,0.9213,3837.8000,-0.2373
188,1.2107,2.0995,15872.4000,0.0953
221,1.3182,1.1221,23435.2000,0.1372
222,1.0428,1.2584,22448.5000,0.0210
223,0.9243,1.6447,11791.2000,-0.0393
166,0.8718,1.7324,6878.4000,-0.0685
219,0.8208,1.5884,9815.1000,-0.0984
230,0.6445,1.6253,13552.5000,-0.2161
184,0.4970,0.4085,8925.3000,-0.3360
185,0.9754,2.3469,16059.5000,-0.0124
186,1.4453,1.2939,36834.8000,0.1821
246,0.9303,1.9102,19337.7000,-0.0361
187,0.5255,2.9609,15024.6000,-0.3111
341,0.8351,1.3930,6525.7000,-0.0899
342,1.0833,1.1271,7332.9000,0.0400
21,0.8043,2.2458,3980.9000,-0.1085
22,0.8773,1.8126,3399.7000,-0.0654
347,1.5193,2.2103,32609.0000,0.2061
179,0.9861,2.7092,15699.5000,-0.0070
180,1.1021,2.3177,21797.8000,0.0486
247,0.6560,2.0888,8802.1000,-0.2077
248,1.0944,3.0260,24374.0000,0.0451
249,0.9870,1.5721,20525.9000,-0.0066
250,1.1204,2.0533,26660.0000,0.0568
251,1.1082,2.8125,30175.4000,0.0513
304,1.3303,2.4847,9827.1000,0.1417
305,0.6747,2.6176,23792.5000,-0.1943
146,0.7103,2.0410,6954.9000,-0.1694
276,0.9268,2.5344,8659.0000,-0.0380
277,0.9519,2.6475,10124.1000,-0.0246
11,0.9756,1.4056,3631.0000,-0.0124
210,0.8135,1.9819,5676.3000,-0.1028
211,0.7992,1.9504,7797.8000,-0.1116
271,1.1007,2.4226,8958.4000,0.0479
147,1.3422,2.1473,6793.8000,0.1461
258,1.0987,2.6088,20259.5000,0.0470
259,1.0617,2.8548,8972.8000,0.0299
260,1.0863,2.8164,7982.7000,0.0414
23,1.0584,2.8183,14597.4000,0.0284
242,1.1182,2.7113,11192.1000,0.0558
199,1.0124,1.6899,18968.9000,0.0062
296,0.6145,3.0113,8581.9000,-0.2388
297,0.9500,2.6100,25542.0000,-0.0257
134,0.9936,0.9459,6375.1000,-0.0032
299,0.5550,2.2059,7600.1000,-0.2861
300,0.4830,2.4740,6841.8000,-0.3486
303,0.7579,1.7707,7308.8000,-0.1377
60,0.8827,1.8474,9474.6000,-0.0623
61,0.9659,0.7356,8189.3000,-0.0173
106,1.1386,2.5715,9956.8000,0.0648
144,1.4838,1.3337,8327.5000,0.1948
145,0.9382,1.7969,15312.0000,-0.0319
96,0.9690,2.4004,9518.8000,-0.0158
97,1.2837,2.5661,9878.2000,0.1242
109,1.1307,1.4624,10857.4000,0.0613
47,1.1107,1.9733,3080.6000,0.0525
178,1.1714,2.8494,18140.6000,0.0789
204,0.9939,2.2792,15477.5000,-0.0031
205,1.0363,2.3451,5820.5000,0.0178
206,1.1461,2.1222,11453.8000,0.0681
307,1.2653,2.7805,7564.1000,0.1171
308,1.0916,2.7601,33497.3000,0.0438
309,1.3189,2.2295,11990.4000,0.1375
312,0.6257,2.7711,19720.8000,-0.2303
326,0.9645,1.7279,6809.1000,-0.0181
327,1.1769,0.6884,4417.8000,0.0812
207,0.8715,2.9328,5039.7000,-0.0687
126,1.8663,2.5815,11324.6000,0.3022
127,1.0749,1.8410,13924.3000,0.0361
