tid,ts,entry,side,risk,r,oos
0,1750541400000,130.9198,long,0.5212276739810591,2.3995296631124328,False
1,1750901400000,145.4883,short,0.23306367031355535,-1.468182041642093,False
2,1750972200000,141.4245,long,0.25961033960032864,-1.408567606218199,False
3,1751031000000,142.1753,short,0.21326295000000073,-1.4999999999999982,False
4,1751033700000,141.8555,long,0.27643522033741874,0.5525095077015785,False
5,1751126700000,149.6615,short,0.2449786688877964,2.2556334179144204,False
6,1751132100000,150.2555,short,0.24176017492092683,-1.466129812475766,False
7,1751236200000,153.3387,long,0.2752961195452883,2.277201799642891,False
8,1751294400000,151.77370000000002,long,0.27110104076464836,0.10782003055961503,False
9,1751297700000,156.5904,short,0.6106339267263081,-1.1923293070688472,False
10,1751463600000,149.43640000000002,short,0.2371902300963029,-1.4725207271585128,False
11,1751520300000,155.0469,short,0.23257035000000315,-1.4999999999999933,False
12,1751646000000,145.56599999999997,long,0.2826492553191713,-1.386254334463817,False
13,1751809800000,151.8777,short,0.24361959233974062,2.2506313863489877,False
14,1751813100000,150.93630000000002,long,0.26514096277668386,2.272292748099996,False
15,1751820000000,152.203,short,0.22830450000000724,-1.4999999999999842,False
16,1751941200000,149.1576,short,0.22373640000000705,2.0438629117125777,False
17,1752063000000,154.2596,short,0.23138940000001185,-1.4999999999999745,False
18,1752071400000,153.37740000000002,long,0.2833232609578715,-1.4060134335991028,False
19,1752089700000,155.69850000000002,long,0.23462930098955326,1.942243463689231,False
20,1752154500000,157.5919,short,0.23638784999999984,1.601340143977683,False
21,1752247800000,164.2111,long,0.4091616186999829,-1.3010016564879847,False
22,1752267300000,162.51229999999998,long,0.2469870926548765,-1.493484188545484,False
23,1752444000000,160.0036,long,0.24000540000000115,2.075880236405509,False
24,1752462600000,165.6384,short,0.24845759999999473,-1.5000000000000107,False
25,1752469500000,168.0159,short,0.27162236349735736,2.2525742757899256,False
26,1752472200000,165.6412,long,0.3504366460228141,2.3109316455572047,False
27,1752544500000,160.8039,long,0.2587011336108276,2.2513673051902394,False
28,1752582900000,159.6205,long,0.2578742149929383,-1.4642394161171886,False
29,1752604500000,161.0174,long,0.34293900507512376,2.3121912087955545,False
30,1752974400000,179.67430000000002,short,0.2695114500000102,2.102867583714634,False
31,1753049100000,180.37290000000002,long,0.3112928555239307,-1.434573658211055,False
32,1753077300000,188.9133,short,0.3488657411621716,2.2833971322369737,False
33,1753155600000,198.0232,long,0.7952887534758872,2.0600085876789938,False
34,1753191000000,199.78,long,0.5963006309730474,2.365987061141316,False
35,1753192800000,197.336,long,0.710102600251389,2.388840852051442,False
36,1753305900000,184.5149,long,0.6110798319485582,2.379220428917381,False
37,1753437600000,181.5048,short,0.44511920869160804,2.3368933117638138,False
38,1753653900000,189.5933,short,0.2843899499999907,-1.5000000000000164,False
39,1753686900000,191.687,long,0.3062655522791147,2.2496460198366597,False
40,1753725900000,184.85770000000002,long,0.39567273369155487,2.313120607755458,False
