bar_ts,side,lvl,atr,r,oos,kind,regime,bar_high,bar_low,delta_at_level,absorption_ratio,large_order_z,stacked_imb,exhaustion,vol_concentration,level_near_poc,bar_imb_ratio,delta_norm_bar,top_q,combo
1750441500000,long,102800.0,432.48128600378595,0.3996171565801279,False,H5,trend,103280.4,102601.1,-6.494,1.2259,1.4325,5.0,-0.86,0.0682,0.0,0.2285,2.1349,Q4(mejor),True
1750542300000,long,101700.0,339.09373527748306,-1.0983212323016462,False,H5,chop,101779.9,101348.6,3.763,0.67,0.2856,7.0,-2.429,0.1024,0.0,-0.0729,-0.2937,Q3,True
1750702500000,short,102820.0,588.7363003233827,-1.2369968474358801,False,H5,chop,103145.0,102588.0,-0.413,0.228,-0.9202,6.0,0.963,0.1414,0.0,-0.0573,-0.316,Q2,False
1750707900000,long,102660.0,527.869510077061,9.980671445619727,False,H5,chop,103198.9,102623.8,-0.699,3.7198,-0.8989,5.0,2.114,0.1142,0.0,0.3612,0.7464,Q3,True
1750784400000,short,106200.0,351.5476865510088,2.410451977401104,False,H5,chop,106269.9,105836.0,57.685,3.2516,3.3846,10.0,-1.754,0.1621,0.0,-0.2661,-1.6755,Q2,False
1751551200000,short,110240.0,352.06785613458896,4.834583416134974,False,H5,chop,110459.7,109850.7,-5.529,0.5455,-0.3522,2.0,-5.629,0.0762,0.0,-0.2357,-2.0988,Q4(mejor),False
1751638500000,long,107700.0,233.84370358782024,-1.4136772353656926,False,H5,chop,108069.9,107452.3,-10.687,1.4136,1.1597,7.0,-2.587,0.0909,0.0,0.151,2.6121,Q4(mejor),True
1752072300000,long,108640.0,255.84491845367455,3.0587923128823724,False,H5,chop,108973.6,108535.5,5.837,0.4853,-0.1824,2.0,16.274,0.105,0.0,0.3577,2.4028,Q3,False
1752173100000,long,113010.0,385.4000153839712,3.831790696988481,False,H5,chop,113425.8,112960.0,5.377,0.3415,0.289,2.0,-2.194,0.1979,0.0,0.4815,0.9283,Q1(peor),False
1752227100000,short,118610.0,355.14094227543444,1.481049944812734,False,H5,chop,118732.4,118365.9,5.822,3.8031,-0.3327,2.0,9.089,0.1914,0.0,-0.1403,-0.4534,Q1(peor),False
1752250500000,long,116730.0,440.8448945544495,2.6326261585438315,False,H5,chop,117281.4,116642.4,-1.224,1.2125,0.1841,2.0,0.498,0.1017,0.0,0.2348,0.7522,Q3,False
1752479100000,short,122900.0,446.5520431631828,7.187628450083857,False,H5,chop,122958.0,122635.8,3.918,1.9589,-0.3944,4.0,-1.743,0.1892,0.0,-0.0114,-0.0325,Q1(peor),False
1752504300000,long,120730.0,427.98416250882775,-1.499999999999997,False,H5,chop,121210.8,120636.3,-6.216,1.96,0.2705,8.0,-11.987,0.088,0.0,0.1407,0.6093,Q4(mejor),True
1752673500000,long,118250.0,320.2997441276437,1.5010923185341791,False,H5,chop,118740.0,118127.9,-4.458,20.8133,-0.6279,9.0,-13.849,0.1242,0.0,-0.0619,-0.3773,Q3,True
1752680700000,long,118950.0,482.8806750985673,0.39719618997222045,False,H5,chop,119415.4,118855.7,4.777,0.6918,0.1495,7.0,-1.426,0.1219,0.0,-0.1081,-0.5792,Q3,True
1752717600000,long,118090.0,392.95493519281945,0.5460591236807871,False,H5,chop,118432.4,117970.4,-14.216,4.2098,1.2261,3.0,-2.248,0.1396,0.0,-0.0273,-0.0677,Q2,False
1752783300000,long,118780.0,391.83234547850054,0.6164000782509131,False,H5,chop,119180.6,118659.3,-2.033,1.999,-0.5137,5.0,-0.571,0.1047,0.0,-0.1564,-0.5195,Q3,True
1752848100000,short,119060.0,401.4655710462665,1.4940625574774042,False,H5,trend,119088.5,117750.0,-10.731,0.0272,-0.3688,9.0,0.972,0.093,0.0,-0.2211,-3.1093,Q4(mejor),True
1753119900000,long,117450.0,384.16737041203044,1.6033276571590482,False,H5,chop,117944.3,117380.0,-153.775,7.0957,8.6227,4.0,3.179,0.2684,1.0,0.1202,0.4159,Q1(peor),False
1753128000000,long,116730.0,377.6215785150327,1.619293811930664,False,H5,chop,117003.7,116652.0,-0.065,1.0119,0.0654,4.0,-0.109,0.1659,0.0,0.1431,0.2831,Q2,False
1753149600000,short,117780.0,376.02594184391603,1.013476579924466,False,H5,chop,117849.4,117417.0,-0.117,0.5084,-1.1227,2.0,3.479,0.1062,0.0,-0.5615,-1.3493,Q3,False
1753306200000,long,117470.0,369.88011167857826,1.412018671433819,False,H5,chop,117940.2,117357.7,-1.43,26.5357,-0.8717,5.0,-8.9,0.0988,0.0,0.1369,0.3037,Q4(mejor),True
1753455600000,long,114960.0,459.68602817922954,10.439561586638707,False,H5,chop,115467.5,114914.1,-0.457,2.7376,-0.5632,4.0,-0.956,0.2495,0.0,0.1858,0.6209,Q1(peor),False
1753821900000,long,117170.0,360.47330411253085,1.4337455996958528,False,H5,chop,117498.8,117101.6,-1.49,2.6022,-0.4503,4.0,0.526,0.2406,0.0,0.2422,0.4432,Q1(peor),False
1753887600000,short,118700.0,362.8384012709164,2.4773799494523523,False,H5,chop,118769.0,118256.5,1.363,4.3489,-0.8054,6.0,0.224,0.1378,0.0,-0.2545,-0.8895,Q2,False
1753902900000,long,116190.0,405.7528355702462,1.8483103706987825,False,H5,chop,116431.7,116126.7,25.29,0.3637,0.631,3.0,1.31,0.133,0.0,0.2187,1.2415,Q2,False
1753983000000,long,117790.0,311.2912786740001,-1.5000000000000067,False,H5,chop,118140.9,117737.2,6.881,0.3715,-0.0117,4.0,-0.048,0.1484,0.0,0.1833,0.7326,Q2,False
1754037000000,long,114360.0,371.03414458567727,1.5756849714353094,False,H5,chop,114579.7,114013.0,-0.952,1.1425,-0.3156,9.0,-5.43,0.1046,0.0,-0.1199,-0.7051,Q3,True
1754056800000,long,114270.0,469.4742027708988,-1.316515709748205,False,H5,trend,115220.8,113849.5,4.862,0.6155,0.0807,14.0,-26.517,0.0595,0.0,0.0499,0.5556,Q4(mejor),True
1754405100000,long,112730.0,379.3463473949501,10.635916200952071,False,H5,chop,113019.8,112577.7,-0.992,1.0627,0.2757,2.0,-1.499,0.1402,0.0,0.1491,0.8971,Q2,False
1754496000000,short,115400.0,363.15953441646946,-1.4475415072753919,False,H5,chop,115439.6,115073.7,1.067,1.2227,-0.4914,3.0,0.533,0.1213,0.0,-0.3859,-1.297,Q3,False
1754596800000,short,117400.0,303.4253864115848,4.902867688813021,False,H5,chop,117434.4,117206.3,0.793,1.0965,-0.0194,2.0,0.824,0.1521,0.0,-0.2307,-0.6227,Q2,False
1754667900000,long,115880.0,267.73079231532665,6.407191347370603,False,H5,chop,116188.0,115854.2,8.811,0.4704,0.7525,2.0,3.143,0.1594,0.0,0.3434,1.2799,Q2,False
1754886600000,short,121710.0,391.6574334025061,-1.3050739292832771,False,H5,chop,121850.0,121607.1,-12.244,0.1724,0.1454,6.0,-0.837,0.2097,0.0,0.0081,0.0159,Q1(peor),False
1754922600000,long,119870.0,416.4803484359126,1.3756027547756662,False,H5,chop,120565.3,119836.3,0.616,0.7774,-0.6656,4.0,2.584,0.0946,0.0,0.0777,0.383,Q4(mejor),False
1755064800000,long,119050.0,281.5055579542959,8.870802383724435,False,H5,chop,119233.0,118924.4,1.259,0.5249,-0.3681,2.0,-0.827,0.2838,0.0,-0.0156,-0.0293,Q1(peor),False
