bar_ts,side,lvl,atr,r,oos,kind,regime,bar_high,bar_low,delta_at_level,absorption_ratio,large_order_z,stacked_imb,exhaustion,vol_concentration,level_near_poc,bar_imb_ratio,delta_norm_bar,top_q,combo
1750608000000,long,128.3379,1.3806798119910249,0.6787184383336549,False,H21,chop,129.21,128.27,-499.3,1.0884,-0.9013,0,-499.3,0.5115,0.0,0.1783,31274.4484,Q4(mejor),True
1750625100000,long,128.3145,1.3539059864539817,5.3539711133502665,False,H21,trend,130.06,128.17,-1031.8001,1.1104,0.3435,3,-328.3,0.4164,0.0,-0.2123,-47540.2284,Q1(peor),False
1750786200000,long,144.0505,1.0608764948120468,0.6565655294524799,False,H21,chop,144.82,143.8,4873.3,0.4223,-0.1767,1,-9859.4,0.4443,1.0,0.2067,28293.5856,Q2-3,False
1751478300000,long,150.265,1.030454394171721,4.001790600008015,False,H21,chop,151.51,150.22,-3035.2,1.481,0.0742,1,-2496.3,0.3976,0.0,-0.046,-9368.8764,Q2-3,False
1751526900000,long,154.7484,0.6423632669281453,1.0685015037502408,False,H21,chop,155.43,154.69,-3683.6,31.0702,-0.9081,3,-3683.6,0.6895,0.0,-0.2718,-37749.512,Q1(peor),False
1752204600000,long,163.9842,0.8359841628175154,0.8405444021392727,False,H21,chop,164.77,163.94,-6622.9,3.2039,1.5195,2,-425.4,0.5612,1.0,-0.1331,-9733.9166,Q1(peor),False
1752776100000,long,173.60399999999998,1.181419415471284,0.4770782438641149,False,H21,chop,174.4,173.54,-4540.5,2.1056,0.4025,2,-116.6,0.6154,0.0,0.1313,10277.0445,Q1(peor),False
1753046100000,long,181.0138,1.0547810640742523,0.7847869760471803,False,H21,chop,181.94,180.75,2543.5,0.4135,0.3919,0,-1031.9,0.4145,0.0,0.1525,8902.1317,Q4(mejor),False
1753062300000,long,179.256,1.264940183229092,14.26886707579926,False,H21,trend,180.38,179.19,2544.5,0.4503,0.1149,2,672.3,0.4777,1.0,-0.0065,-412.1934,Q1(peor),False
1753106400000,long,191.686,1.224977565400985,2.060820871039339,False,H21,chop,193.0,191.53,-2974.8,2.8222,-0.8863,4,-374.4,0.3908,0.0,-0.2437,-44963.4356,Q1(peor),False
