bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1750441500000,long,102800.0,432.48128600378595,0.3996171565801279,False,H5,trend,9.888,0.6229,1.7518,3.0,-0.005,0.1626,0.0,0.3684,1.1357,-6.494,1.2259,1.4325,5.0,-0.86,0.0682,0.0,0.2285,2.1349,-37.149,1.1751,6.3094,10.0,-4.247,0.0644,1.0,0.0141,0.5733
1750542300000,long,101700.0,339.09373527748306,-1.0983212323016462,False,H5,chop,3.875,0.8553,3.8983,2.0,15.069,0.1377,1.0,0.4128,1.1816,3.763,0.67,0.2856,7.0,-2.429,0.1024,0.0,-0.0729,-0.2937,-22.986,1.4805,1.9127,26.0,-8.702,0.0465,0.0,-0.1635,-6.6889
1750702500000,short,102820.0,588.7363003233827,-1.2369968474358801,False,H5,chop,-10.925,0.3374,0.3517,19.0,-0.551,0.1665,0.0,0.3185,0.5355,-0.413,0.228,-0.9202,6.0,0.963,0.1414,0.0,-0.0573,-0.316,10.407,1.2229,0.9027,12.0,-1.654,0.0763,0.0,0.1109,1.9839
1750707900000,long,102660.0,527.869510077061,9.980671445619727,False,H5,chop,-18.743,3.7751,3.4128,8.0,-3.2,0.3977,1.0,-0.4611,-0.1495,-0.699,3.7198,-0.8989,5.0,2.114,0.1142,0.0,0.3612,0.7464,-21.084,3.4055,0.2466,5.0,1.645,0.1031,0.0,0.1906,1.3694
1750784400000,short,106200.0,351.5476865510088,2.410451977401104,False,H5,chop,111.357,18.2379,4.3876,16.0,-0.572,0.267,1.0,0.3232,1.1977,57.685,3.2516,3.3846,10.0,-1.754,0.1621,0.0,-0.2661,-1.6755,57.685,3.2516,2.6305,10.0,-1.754,0.0779,0.0,-0.1824,-2.5714
1751551200000,short,110240.0,352.06785613458896,4.834583416134974,False,H5,chop,-2.242,0.2469,-0.7253,4.0,0.324,0.1997,0.0,-0.1826,-0.4379,-5.529,0.5455,-0.3522,2.0,-5.629,0.0762,0.0,-0.2357,-2.0988,-9.241,0.5105,-0.5924,2.0,-5.629,0.0418,0.0,-0.2597,-6.2561
1751638500000,long,107700.0,233.84370358782024,-1.4136772353656926,False,H5,chop,-31.977,2.1942,3.1617,4.0,-7.755,0.1554,1.0,0.0622,0.3803,-10.687,1.4136,1.1597,7.0,-2.587,0.0909,0.0,0.151,2.6121,-1.934,1.0136,3.0955,7.0,-2.587,0.0749,0.0,0.077,3.6994
1752072300000,long,108640.0,255.84491845367455,3.0587923128823724,False,H5,chop,-1.829,1.2402,-0.0831,2.0,3.84,0.4314,0.0,0.3309,0.7169,5.837,0.4853,-0.1824,2.0,16.274,0.105,0.0,0.3577,2.4028,7.673,0.8187,1.2642,9.0,5.222,0.0554,0.0,0.1418,4.1845
1752173100000,long,113010.0,385.4000153839712,3.831790696988481,False,H5,chop,-1.207,1.2958,-0.2401,2.0,-0.672,0.4912,0.0,0.2074,0.1817,5.377,0.3415,0.289,2.0,-2.194,0.1979,0.0,0.4815,0.9283,-5.75,1.4579,-0.1438,6.0,-2.194,0.0791,0.0,-0.0783,-1.0755
1752227100000,short,118610.0,355.14094227543444,1.481049944812734,False,H5,chop,0.892,1.1573,0.4726,2.0,1.588,0.1752,0.0,-0.1567,-0.2511,5.822,3.8031,-0.3327,2.0,9.089,0.1914,0.0,-0.1403,-0.4534,16.425,3.1042,0.0787,16.0,0.272,0.0988,0.0,0.1197,1.9559
