bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1750553100000,short,2296.4908,30.558445064066177,0.8413518658544354,False,H5,chop,-286.28,0.7013,1.0658,4,-55.32,0.4698,0.0,0.0671,26.324,-31.84,0.9253,-0.5162,2,12.41,0.3121,0.0,-0.0339,-23.2463,-966.26,0.7541,0.4743,1,59.52,0.1035,0.0,-0.0958,-1028.9617
1750685400000,long,2246.6428,14.471872808756135,1.3595928286174677,False,H5,trend,-575.69,1.5183,0.9803,1,-363.19,0.9593,1.0,-0.1241,-62.1067,659.55,0.2786,-0.7615,4,-45.14,0.1201,0.0,0.211,2465.0369,117.84,0.945,-0.1296,4,-45.14,0.1197,0.0,0.0648,1475.4504
1750700700000,short,2281.8194000000003,23.173786831539278,-1.158988956146618,False,H5,chop,-0.39,0.75,-1.0222,1,0.39,0.6399,0.0,-0.2148,-131.6841,230.73,1.9187,-0.9943,1,103.87,0.281,0.0,0.0094,22.2523,743.0,1.1909,0.7244,3,-55.22,0.1121,0.0,0.0924,1627.1385
1751396400000,long,2407.133,10.852525209199104,-1.1284385946013935,False,H5,chop,-559.78,1.5286,0.5152,3,-955.74,0.3818,0.0,-0.2577,-890.4517,-690.98,1.5942,0.8989,1,-60.2,0.3652,0.0,-0.0975,-283.569,-707.38,1.4431,0.1032,7,-588.41,0.2514,0.0,-0.1301,-975.9452
1751812200000,short,2559.1378000000004,8.690777940039945,1.3617596168523352,False,H5,chop,1.71,1710000000.0,-1.4126,2,-1.71,0.9996,0.0,0.2091,97.7116,5.82,1.0039,0.7035,2,-162.51,0.2625,0.0,-0.161,-892.293,1878.45,1.3614,1.4224,2,-162.51,0.3173,0.0,0.0258,380.7703
1751902200000,short,2540.5238,11.97931014002853,1.0847874401975264,False,H5,chop,-820.49,0.4837,1.8482,1,-850.43,0.7489,1.0,-0.0021,-1.1912,-18.61,0.9813,1.9044,0,2.74,0.4366,1.0,-0.2441,-225.4671,-839.1,0.6754,0.1773,1,-847.69,0.3971,0.0,-0.2733,-1646.6975
1751907600000,long,2520.0515,13.144401933622614,1.6984362918773697,False,H5,chop,306.05,0.4093,-0.6268,2,306.05,0.6742,0.0,-0.3836,-183.8996,-998.6,2.1916,0.5271,4,-46.93,0.3439,1.0,-0.0844,-214.9934,-998.6,2.1916,-0.1232,4,-46.93,0.158,0.0,0.1303,925.747
1752070500000,short,2660.7919,11.505813917007028,1.2928092716808262,False,H5,chop,15.17,15170000000.0,-1.5998,2,-15.17,0.6552,0.0,0.2948,140.4916,-975.87,0.6247,2.5363,1,-43.89,0.3272,1.0,-0.0514,-146.6667,-975.87,0.6247,-0.1296,1,-43.89,0.1718,0.0,-0.0675,-1166.1487
1752240600000,short,2998.0915999999997,17.50818749258473,-1.2628230568595655,False,H5,chop,-76.48,0.8864,1.0928,1,-10.19,0.651,1.0,-0.0923,-30.2721,-366.49,0.7719,0.7711,2,-162.94,0.2306,0.0,-0.0315,-96.1487,814.37,1.2303,1.4279,3,-36.97,0.2019,0.0,0.0561,462.6527
1752421500000,long,2988.6454,13.070551421739202,-1.251483734990903,False,H5,chop,-42.23,1.0975,0.6606,1,-58.26,0.6062,1.0,-0.194,-76.7443,265.3,0.715,1.5067,2,-11.82,0.4797,1.0,0.2092,148.2738,-266.44,1.107,0.8965,1,-466.29,0.237,1.0,-0.0765,-486.4737
1752707700000,long,3354.5184,24.709051677434687,0.6204722140609211,False,H5,chop,313.87,0.3384,0.2798,1,-177.43,0.6334,1.0,-0.0319,-5.4227,-94.89,1.1844,0.418,1,-22.2,0.1634,0.0,0.1988,227.6708,548.75,0.6928,0.5514,1,-22.2,0.1769,0.0,0.0536,158.395
1752862500000,long,3576.0498,29.33594058547179,-1.5000000000000049,False,H5,chop,-129.23,6.4298,-1.1416,4,-129.23,0.324,0.0,-0.4128,-137.6056,-771.6,5.2902,-0.0354,4,-25.53,0.3028,0.0,-0.0416,-70.0867,-1803.09,5.4405,0.1005,4,-25.53,0.1842,0.0,-0.1605,-565.2312
1753192800000,long,3640.2306,24.19866090343598,2.2857099818158138,False,H5,chop,116.55,0.9472,1.2765,2,-418.94,0.2436,0.0,-0.0176,-41.1734,-198.77,4.5375,-1.2223,4,-65.18,0.1579,0.0,0.1417,424.5479,-198.77,4.5375,-1.1992,4,-65.18,0.1172,0.0,0.1857,1364.7912
1753299900000,short,3606.9387,22.044252755130433,1.8418869991700166,False,H5,chop,4.3,1.1215,-1.1778,2,-4.3,0.6689,0.0,-0.1139,-16.1121,240.18,2.3342,0.0474,3,-610.28,0.1956,0.0,-0.0841,-64.8858,653.32,1.5717,1.0686,3,-165.82,0.1665,0.0,-0.1099,-304.7919
1753426800000,long,3624.0634,25.190271734628443,-1.5000000000000115,False,H5,trend,-121.41,84.731,-1.361,7,-121.41,0.4592,0.0,-0.5114,-96.4904,520.54,0.6227,1.297,2,-143.42,0.2983,0.0,0.0576,70.8543,1073.22,0.522,0.4753,3,-114.1,0.1024,0.0,0.1245,934.5524
1753722900000,long,3780.9991,21.119348902994098,0.5194510830534682,False,H5,chop,-135.64,238.9649,-1.1086,7,-135.64,0.3543,0.0,-0.5258,-155.5526,-267.67,2.1512,-0.7033,2,-250.57,0.237,0.0,-0.0898,-152.0374,-403.81,2.7367,-1.1871,3,-250.57,0.188,0.0,-0.1097,-387.2288
1753731900000,long,3768.0528,22.491462492456026,-1.4999999999999898,False,H5,trend,-502.71,11.6281,0.0942,8,-502.71,0.351,0.0,-0.3496,-149.8271,-125.71,1.1688,0.954,2,-31.15,0.2072,1.0,0.2399,365.7877,-125.71,1.1688,-0.5697,2,-31.15,0.1571,0.0,0.0492,248.8562
1753880400000,short,3781.4052,18.709785281384903,1.355455904769668,False,H5,chop,-89.27,0.3879,-0.4503,0,89.27,0.5841,0.0,-0.2919,-32.2708,201.13,4.4547,-0.5908,2,-0.84,0.3807,0.0,0.0548,44.1683,194.06,3.9261,-1.2292,2,-0.84,0.1668,0.0,-0.0324,-149.2738
1754037000000,long,3602.1843,25.22645701955096,2.2517155473872252,False,H5,chop,7.94,0.9344,-0.8236,0,56.92,0.6489,0.0,-0.0525,-21.4025,16.25,0.6634,-1.4828,5,-296.78,0.1754,0.0,0.0062,15.9824,-1654.41,1.9646,0.4197,5,-296.78,0.1509,0.0,-0.1193,-1118.0294
1754411400000,short,3586.51,23.394334206635932,-1.35493209010163,False,H5,chop,27.23,1.4509,-0.6618,2,-127.35,0.641,0.0,0.4241,113.5848,331.88,1.6384,-0.0397,1,-39.14,0.2345,0.0,-0.3306,-658.7775,978.64,1.9484,-0.2549,1,-39.14,0.1913,0.0,-0.0968,-481.9329
