bar_ts,side,lvl,atr,r,oos,kind,regime,m5_delta_at_level,m5_absorption_ratio,m5_large_order_z,m5_stacked_imb,m5_exhaustion,m5_vol_concentration,m5_level_near_poc,m5_bar_imb_ratio,m5_delta_norm_bar,m15_delta_at_level,m15_absorption_ratio,m15_large_order_z,m15_stacked_imb,m15_exhaustion,m15_vol_concentration,m15_level_near_poc,m15_bar_imb_ratio,m15_delta_norm_bar,h1_delta_at_level,h1_absorption_ratio,h1_large_order_z,h1_stacked_imb,h1_exhaustion,h1_vol_concentration,h1_level_near_poc,h1_bar_imb_ratio,h1_delta_norm_bar
1750608000000,long,128.3379,1.3806798119910249,0.6787184383336549,False,H21,chop,-8885.2,2.3719,1.1917,2,-2683.3,0.844,1.0,-0.2151,-10476.4334,-499.3,1.0884,-0.9013,0,-499.3,0.5115,0.0,0.1783,31274.4484,-3846.0,1.2297,-0.2345,0,100.8,0.3232,0.0,0.1115,63995.3586
1750625100000,long,128.3145,1.3539059864539817,5.3539711133502665,False,H21,trend,1936.1,0.5448,-0.4116,2,-2079.3,0.6595,0.0,-0.0355,-2009.8145,-1031.8001,1.1104,0.3435,3,-328.3,0.4164,0.0,-0.2123,-47540.2284,-1681.6,1.0684,0.2407,3,-2435.2,0.1941,0.0,-0.072,-98426.9229
1750786200000,long,144.0505,1.0608764948120468,0.6565655294524799,False,H21,chop,2647.8,0.6381,-0.1539,1,-566.7,0.7476,0.0,0.036,3746.5248,4873.3,0.4223,-0.1767,1,-9859.4,0.4443,1.0,0.2067,28293.5856,7521.1,0.5225,-0.087,3,-10426.1,0.2276,0.0,-0.0275,-19198.1821
1751478300000,long,150.265,1.030454394171721,4.001790600008015,False,H21,chop,-6005.4,9.7517,-1.2455,3,-6005.4,0.5602,0.0,-0.285,-35138.6729,-3035.2,1.481,0.0742,1,-2496.3,0.3976,0.0,-0.046,-9368.8764,-3035.2,1.481,-0.7381,6,-2496.3,0.1941,0.0,-0.2708,-240986.2103
1751526900000,long,154.7484,0.6423632669281453,1.0685015037502408,False,H21,chop,-7542.5,7.6837,-1.0,2,-7542.5,1.0,0.0,-0.5463,-18352.5438,-3683.6,31.0702,-0.9081,3,-3683.6,0.6895,0.0,-0.2718,-37749.512,-3683.6,31.0702,-1.369,3,-3683.6,0.4927,0.0,-0.1973,-94293.0625
1752204600000,long,163.9842,0.8359841628175154,0.8405444021392727,False,H21,chop,-53.0,1.2383,-1.0284,0,-53.0,1.0,0.0,0.1445,948.8218,-6622.9,3.2039,1.5195,2,-425.4,0.5612,1.0,-0.1331,-9733.9166,-6622.9,3.2039,-0.2828,2,-425.4,0.3954,0.0,-0.0575,-15975.9009
1752776100000,long,173.60399999999998,1.181419415471284,0.4770782438641149,False,H21,chop,-9692.7,4.193,1.3723,3,-9692.7,0.9339,1.0,-0.593,-16949.4421,-4540.5,2.1056,0.4025,2,-116.6,0.6154,0.0,0.1313,10277.0445,-14233.2,2.9927,-0.2243,3,-116.6,0.4066,0.0,-0.1257,-49245.7619
1753046100000,long,181.0138,1.0547810640742523,0.7847869760471803,False,H21,chop,-4304.6,1.8654,0.8158,2,-887.7,0.7774,0.0,-0.1459,-8414.7321,2543.5,0.4135,0.3919,0,-1031.9,0.4145,0.0,0.1525,8902.1317,-1433.1,1.1091,1.5081,3,-5527.7,0.3469,1.0,-0.0605,-15530.0477
1753062300000,long,179.256,1.264940183229092,14.26886707579926,False,H21,trend,-3349.8,5.006,0.4273,1,567.5,0.7493,1.0,0.1379,3394.1526,2544.5,0.4503,0.1149,2,672.3,0.4777,1.0,-0.0065,-412.1934,6357.5001,0.6422,0.2384,2,-2738.8,0.4124,0.0,-0.2089,-92439.7068
1753106400000,long,191.686,1.224977565400985,2.060820871039339,False,H21,chop,-2069.9,6.3431,-0.7102,2,-2069.9,0.7516,0.0,0.0104,1439.3733,-2974.8,2.8222,-0.8863,4,-374.4,0.3908,0.0,-0.2437,-44963.4356,-2974.8,2.8222,-0.9573,4,-374.4,0.2045,0.0,0.0663,79836.2379
1753663500000,long,189.2976,1.1736891604765074,-1.201605338081106,False,H21,chop,-247.3,247299998000.0,-0.8612,6,-247.3,0.7377,0.0,-0.313,-9016.953,-7475.1,4.279,1.0589,3,-1919.9,0.4199,0.0,-0.178,-14038.8108,-363.0,1.0277,1.1068,2,-58.0,0.2387,0.0,-0.0945,-38168.1125
1754342100000,long,167.4112,0.962087842850634,1.173729552581658,False,H21,chop,135.3,0.1116,-1.0769,2,135.3,0.8573,0.0,-0.0294,-570.2182,-4939.1,20.3311,-0.8314,1,-4939.1,0.4485,0.0,-0.086,-6564.8891,-1405.8,1.185,-0.2939,0,1724.9,0.3207,0.0,0.2217,70725.3508
1754614800000,long,173.44299999999998,0.9605402545518179,3.3040829383537464,False,H21,chop,-121.3,1.2218,-1.1561,0,-121.3,0.8864,0.0,0.0796,1636.2667,-6495.5,4.4472,-0.2116,4,-7.8,0.3367,0.0,-0.149,-29176.9136,-6495.5,4.4472,-0.9664,3,-7.8,0.3935,0.0,-0.0391,-19289.0408
1754859600000,long,181.5336,0.9437869062146322,0.8705499386812516,False,H21,chop,-10662.0999,3.5741,1.9728,4,-10662.0999,0.7563,0.0,-0.6019,-32945.7843,-6714.2,2.4754,-0.1682,2,94.9,0.2585,0.0,0.0305,12946.2486,-6714.2,2.4754,-0.6258,2,94.9,0.2292,0.0,0.0573,45184.9878
1755043200000,long,191.7657,1.2883342746323327,1.959369486919081,False,H21,chop,-6392.9,3.6125,1.7401,4,-1056.2,0.7794,1.0,-0.4365,-11143.7693,803.3,0.9303,0.507,3,-486.9,0.7914,0.0,-0.1099,-10265.5035,803.3,0.9303,-0.122,3,-486.9,0.2749,0.0,0.0384,25413.8236
1755092700000,long,201.3601,1.6841734217500859,0.5978876983980623,False,H21,chop,1964.7,0.898,0.6797,5,-4508.9,0.2023,0.0,-0.1326,-49282.8703,-55.9,1.1201,-1.4085,1,5089.5,0.2074,0.0,0.0359,15635.801,-28587.1002,2.1258,0.6008,5,-4508.9,0.1299,0.0,0.0081,13402.7173
1755217800000,long,192.08230000000003,1.4307822931087257,0.5571575305384665,False,H21,chop,-217.8,1.2579,-0.3053,2,-217.8,0.9609,0.0,-0.4558,-4648.0866,-4682.1,4.2474,-0.1881,2,-11586.8,0.3657,1.0,-0.2035,-17964.0886,-4682.1,4.2474,-1.3606,1,-11586.8,0.2329,0.0,-0.1033,-29093.3149
1755528300000,long,181.13580000000002,1.1352514910861187,2.4052646232488857,False,H21,trend,-674.3,4.0678,-0.9966,2,-674.3,0.8413,0.0,-0.3799,-9440.6395,-2295.7,4.2014,-0.6573,4,184.1,0.3515,0.0,0.0516,5759.0763,5801.8999,0.7153,0.2721,0,321.6,0.2513,0.0,0.0683,39319.922
1755740700000,long,186.9929,1.0688020209567335,-1.2186945013359647,False,H21,trend,5192.4,0.1902,0.4761,0,5192.4,0.8532,0.0,0.3041,8663.1573,-1067.1,1.3183,-0.4445,3,6292.9,0.2769,0.0,0.2756,65884.9799,-2638.8,1.1905,1.3847,3,463.9,0.2383,1.0,0.1782,71830.2346
1756178100000,long,186.6311,1.467992741256549,1.8516067003892018,False,H21,chop,-625.3,6.2902,-0.8828,1,-625.3,0.6741,0.0,-0.0518,-650.6844,-1777.6,1.9961,-0.2881,1,-3751.2,0.3937,0.0,0.0865,5206.7015,-4486.1,1.7717,-0.0411,1,-3751.2,0.2673,0.0,0.0051,969.8276
1756215000000,long,188.70550000000003,1.4855411038496844,-1.1587851553812456,False,H21,chop,-5976.8,1300.3043,0.1752,3,-5976.8,0.6521,0.0,-0.3454,-10919.8594,-921.3,2.2467,-1.1474,2,-264.6,0.2968,0.0,0.0347,8213.169,5086.0001,0.7617,0.2273,1,-2315.6,0.213,0.0,0.0319,23609.0406
1756313100000,long,207.22140000000002,1.6640873951160975,0.7099463817028417,False,H21,chop,567.1,0.4357,-0.7879,0,655.0,0.7289,0.0,0.2065,2487.6097,-203.0,1.6584,-1.1128,0,-203.0,0.3429,0.0,0.1267,10039.016,6748.3,0.6511,0.8073,1,-847.4,0.2086,0.0,-0.0074,-2772.6309
1756327500000,long,207.2184,2.15117006029769,-1.120410284979588,False,H21,trend,1937.5,0.4084,-0.1339,1,310.5,0.3016,0.0,0.1683,6230.3767,-3148.9,2.0137,-0.4463,3,-1115.7,0.319,0.0,0.0257,2696.9044,2074.9,0.9358,0.4008,3,-851.0,0.1044,0.0,0.003,4875.3463
1756863900000,long,207.7778,1.4860894700144454,1.5548263613703166,False,H21,trend,1140.9,0.184,-0.3107,1,116.7,0.7792,0.0,0.1114,1139.9718,2054.9,0.4193,-0.5356,1,-141.7,0.2102,0.0,0.3374,83577.0002,-3916.0,1.2007,2.7256,3,-85.2,0.212,1.0,0.1663,70240.9256
1757348100000,long,213.93800000000002,1.245078665079033,2.8121714433556475,False,H21,chop,193.7,0.5846,-1.1704,1,193.7,0.719,0.0,-0.3276,-12422.3476,14781.7,0.3013,0.6061,1,-55.8,0.4945,0.0,0.3738,85001.5372,2751.4001,0.8989,0.3963,2,-1374.8,0.2965,0.0,0.0148,8987.6253
1757700000000,long,239.7644,1.2124660976707635,0.7903114034892781,False,H21,chop,-6793.0001,1.7563,1.6224,2,-10929.7,0.7119,1.0,-0.4836,-34542.7391,148.5,0.976,0.5972,1,-196.0,0.608,1.0,0.1189,9145.9052,148.5,0.976,-1.0488,2,-196.0,0.3028,0.0,-0.0949,-39180.5593
1758676500000,long,214.5915,1.3305641956236076,-1.2015982211773575,False,H21,trend,1437.6,0.5398,1.0035,0,-19.8,0.7516,0.0,0.1223,1752.7903,928.4,0.1518,-0.8834,2,-2.7,0.4613,0.0,0.2357,13540.196,3449.2,0.3993,-0.2704,4,300.7,0.3077,0.0,0.2305,74188.0027
1758783600000,long,203.2983,1.4755389790849078,0.6200598394678836,False,H21,chop,-1743.6,1.6084,0.4222,1,-1743.6,0.986,0.0,-0.3502,-5382.9144,-2372.8,2.7792,-0.6948,1,27.3,0.3644,0.0,0.2544,21053.595,-2372.8,2.7792,-1.0051,1,27.3,0.3259,0.0,0.0313,7913.5829
1758902400000,long,195.89,1.756450670227465,6.901306351573683,False,H21,trend,931.9,0.6456,-0.5975,0,1170.8999,0.6566,1.0,0.0715,1348.2872,-345.0,1.202,-0.5637,4,541.0,0.3516,0.0,0.0653,13140.7618,-345.0,1.202,-0.9853,2,541.0,0.197,0.0,-0.0278,-13978.588
1759414500000,long,225.257,1.1342055738964216,0.689950210976026,False,H21,chop,5946.6,0.3819,1.4684,2,-903.0,0.6179,1.0,-0.0392,-2213.5316,-2054.8,1.5108,0.7188,3,-1077.1,0.4399,0.0,0.0264,2073.6101,1713.0,0.8934,0.7964,6,-1242.0,0.1899,0.0,-0.1892,-132671.0108
1759459500000,long,231.6935,1.2123299457619598,-1.2388927832826713,False,H21,trend,670.0,0.5868,-0.9876,1,670.0,0.8767,1.0,0.1135,1954.5009,1469.7,0.4694,-0.2599,1,-3446.0,0.537,0.0,0.479,47668.3762,7036.7,0.632,1.6994,1,-169.8,0.3078,0.0,0.3318,95696.7204
1759988700000,long,227.0276,1.2210519376594526,-1.2324098519052047,False,H21,chop,-717.1,5.5386,-0.9094,6,-717.1,0.6693,0.0,-0.3376,-8934.9189,-428.4,1.1054,1.4393,1,-1659.5,0.5663,1.0,-0.0669,-2272.8763,-6766.1001,1.959,0.5622,2,-97.6,0.2605,0.0,0.0457,12533.7011
1760018400000,long,221.4271,1.527759375630297,-1.1811698094706882,False,H21,chop,-361.1,361099998000.0,-1.6021,13,-361.1,0.2975,0.0,-0.5652,-123486.0032,459.1,0.9584,0.3356,1,-3794.7,0.259,0.0,-0.0415,-10065.3939,-4754.2999,1.1998,1.3279,5,-2259.3,0.1492,0.0,0.0188,15082.0875
1760149800000,long,187.879,4.880870544410893,-1.0481161603986662,False,H21,trend,933.3,0.6872,-0.1027,2,-139.6,0.7237,0.0,0.1704,2480.6845,1224.2,0.6773,-0.0145,1,-114.4,0.294,0.0,0.0695,2749.3866,2157.5,0.6816,0.1204,2,851.5,0.1158,0.0,0.0412,7142.4349
1760295600000,long,193.425,2.1566227104408515,2.0633583218443468,False,H21,trend,-649.3,1.3566,-0.6297,1,362.6,0.5692,0.0,0.326,14019.3739,-6.4,1.0046,-1.0597,0,58.0,0.3266,0.0,0.2811,19312.6039,-6.4,1.0046,-0.8679,0,58.0,0.2962,0.0,0.1359,29455.0362
1761150600000,long,182.6904,1.7567711836182254,-1.129990178646752,False,H21,chop,550.9,0.0234,-0.8061,1,550.9,0.629,0.0,-0.0433,-1217.2331,-4791.1,1.2617,1.6195,3,-775.1,0.2807,1.0,-0.0329,-9595.8427,-4602.6,1.2338,0.2966,3,-775.1,0.1994,1.0,-0.0135,-7893.9704
1761221700000,long,187.3426,1.043244817092619,1.6517595945039083,False,H21,trend,-4547.2,1.8226,1.0592,1,-325.4,0.8743,1.0,-0.1902,-8446.0522,-1098.5,3.7573,-0.9845,3,-679.2,0.3302,0.0,0.0413,8402.1506,-9955.6,1.9086,0.3842,1,-2727.9,0.2171,0.0,-0.0933,-67052.2381
1761517800000,long,198.6334,1.027396470124661,5.83464570330158,False,H21,chop,-20335.1,7.7881,1.5811,3,-6920.2,0.7025,1.0,-0.4311,-42675.8328,515.5,0.7452,-0.9156,0,-138.1,0.4419,0.0,0.1763,22940.3162,-16999.0,2.8464,0.4084,3,-6814.7,0.1407,0.0,0.145,181217.6751
1761564600000,long,199.012,1.0947135125728216,-1.2272421022878788,False,H21,trend,-2170.7,3.4611,-0.9091,2,-2170.7,0.9197,0.0,-0.467,-16469.5144,-1033.0,2.2697,-0.9118,2,-1033.0,0.379,0.0,0.1546,16963.6163,20287.7999,0.4849,2.6154,2,-854.0,0.3253,1.0,-0.0257,-10570.1624
1761785100000,long,193.3826,1.4495643817634078,-1.1667592368032211,False,H21,trend,390.3,0.6143,-0.5535,1,85.1,0.6115,0.0,0.5335,15113.782,805.9,0.3924,-0.8122,0,4.3,0.3791,0.0,0.2244,7397.3948,39.0,0.9959,-0.0685,3,-2752.5,0.2492,0.0,-0.076,-29592.5451
