bar_ts,side,lvl,atr,r,oos,kind,regime,n_m15,last_m15_h,n_h1,last_h1_h,n_h4,last_h4_h,bounce_h1,bounce_h4,zona
1736185500000,long,101310.0,502.30452249254125,3.9686202504096433,False,H5,chop,89,0.25,46,2.75,19,1.4375,2,1,agotada
1736343000000,short,95590.0,414.7944587709478,-1.459571388766546,False,H5,chop,93,0.25,47,1.5,19,1.375,4,2,agotada
1736357400000,long,92930.0,650.7534999171664,3.1567101054840925,False,H5,chop,1,0.25,0,0.0,0,0.0,0,0,virgen
1736422200000,short,93680.0,377.04502724796924,3.6373454341946476,False,H5,chop,90,0.25,46,1.5,19,1.875,5,3,agotada
1736431200000,long,91930.0,444.4543746870236,4.114664821142629,False,H5,trend,2,0.25,0,0.0,0,0.0,0,0,virgen
1736496000000,long,94450.0,344.31848799355583,1.3341439917071098,False,H5,chop,96,0.25,38,2.0,11,2.0,8,4,agotada
1736526600000,long,93390.0,710.8740256689032,4.371019167338042,False,H5,trend,59,0.25,28,1.5,11,1.125,13,9,agotada
1736742600000,short,94790.0,361.2618946694258,12.813826864584534,False,H5,chop,54,0.25,30,3.5,16,1.125,21,13,agotada
1736751600000,long,93590.0,339.3830719770805,-1.1339945920891135,False,H5,chop,11,0.25,4,5.0,8,1.75,4,7,agotada
1736821800000,short,95190.0,391.1833113605811,-1.3701090935940825,False,H5,chop,5,0.25,9,1.5,5,6.625,7,5,agotada
1736868600000,long,96400.0,494.3528114914328,-1.2922532245288938,False,H5,chop,96,0.25,47,1.5,19,1.875,6,1,agotada
1736987400000,short,100320.0,398.96435471602643,0.7374329522157963,False,H5,chop,8,0.25,2,1.5,1,1.125,1,0,fresca
1737049500000,short,100000.0,522.3381009206923,0.708609354599187,False,H5,chop,40,0.25,14,1.75,6,2.4375,12,6,agotada
1737134100000,long,104690.0,455.5184883356358,-1.354033879498152,False,H5,chop,96,0.25,47,1.25,19,1.3125,0,0,agotada
1737278100000,long,104000.0,386.76076744153636,4.857459683172882,False,H5,chop,64,0.25,39,1.25,19,1.3125,21,8,agotada
1737288000000,long,104310.0,482.8158600889214,4.240536110257715,False,H5,chop,72,0.25,43,2.0,19,2.0,16,7,agotada
1737336600000,short,100370.0,1042.6535173719453,-1.205809286143462,False,H5,chop,96,0.25,47,1.5,19,1.375,2,2,agotada
1737344700000,long,101520.0,851.6226489329916,11.220721073374012,False,H5,chop,20,0.25,5,1.75,5,1.9375,2,4,agotada
1737419400000,long,101860.0,943.9696831209392,0.7924470781645014,False,H5,chop,25,0.25,11,1.5,5,1.125,8,4,agotada
1737426600000,short,102500.0,1049.5574845282526,-1.1412651626033774,False,H5,chop,88,0.25,45,1.5,19,1.625,11,5,agotada
