bar_ts,side,lvl,atr,r,oos,kind,regime,n_m15,last_m15_h,n_h1,last_h1_h,n_h4,last_h4_h,bounce_h1,bounce_h4,zona
1750685400000,long,2246.6428,14.471872808756135,1.3595928286174677,False,H5,trend,89,0.25,30,1.5,9,1.375,13,6,agotada
1750700700000,short,2281.8194000000003,23.173786831539278,-1.158988956146618,False,H5,chop,10,0.25,21,2.75,11,1.4375,16,6,agotada
1751396400000,long,2407.133,10.852525209199104,-1.1284385946013935,False,H5,chop,4,0.25,3,4.0,2,1.75,3,1,fresca
1751812200000,short,2559.1378000000004,8.690777940039945,1.3617596168523352,False,H5,chop,3,0.25,1,1.5,8,12.625,0,4,agotada
1751902200000,short,2540.5238,11.97931014002853,1.0847874401975264,False,H5,chop,95,0.25,26,1.5,8,1.875,3,3,agotada
1751907600000,long,2520.0515,13.144401933622614,1.6984362918773697,False,H5,chop,7,0.25,24,2.0,15,1.25,4,4,agotada
1752070500000,short,2660.7919,11.505813917007028,1.2928092716808262,False,H5,chop,8,0.25,2,1.25,0,0.0,1,0,virgen
1752240600000,short,2998.0915999999997,17.50818749258473,-1.2628230568595655,False,H5,chop,29,0.25,9,1.5,3,1.375,6,2,confirmada
1752421500000,long,2988.6454,13.070551421739202,-1.251483734990903,False,H5,chop,96,0.25,47,1.75,19,1.9375,6,6,agotada
1752707700000,long,3354.5184,24.709051677434687,0.6204722140609211,False,H5,chop,87,0.25,46,1.25,19,1.8125,4,1,agotada
1752862500000,long,3576.0498,29.33594058547179,-1.5000000000000049,False,H5,chop,49,0.25,38,1.25,19,1.5625,8,4,agotada
1753192800000,long,3640.2306,24.19866090343598,2.2857099818158138,False,H5,chop,9,0.25,3,5.0,8,1.5,3,4,agotada
1753299900000,short,3606.9387,22.044252755130433,1.8418869991700166,False,H5,chop,91,0.25,46,1.75,19,1.9375,4,1,agotada
1753426800000,long,3624.0634,25.190271734628443,-1.5000000000000115,False,H5,trend,42,0.25,29,2.0,10,1.75,17,9,agotada
1753722900000,long,3780.9991,21.119348902994098,0.5194510830534682,False,H5,chop,7,0.25,21,1.25,14,1.3125,8,5,agotada
1753731900000,long,3768.0528,22.491462492456026,-1.4999999999999898,False,H5,trend,8,0.25,17,1.75,13,1.9375,10,6,agotada
1753880400000,short,3781.4052,18.709785281384903,1.355455904769668,False,H5,chop,83,0.25,46,2.0,19,1.25,20,8,agotada
1754037000000,long,3602.1843,25.22645701955096,2.2517155473872252,False,H5,chop,2,0.25,0,0.0,0,0.0,0,0,virgen
1754411400000,short,3586.51,23.394334206635932,-1.35493209010163,False,H5,chop,94,0.25,27,1.5,7,1.125,2,1,agotada
1754573400000,long,3830.5633,19.009455915618826,-1.2929860212608508,False,H5,trend,96,0.25,47,1.5,19,1.375,1,0,agotada
1754665200000,short,3985.0436,24.313593718398288,3.1101959888217787,False,H5,chop,3,0.25,1,2.0,0,0.0,0,0,virgen
1754670600000,short,3966.2735000000002,23.980721739335344,-1.18497476908922,False,H5,chop,12,0.25,4,1.5,2,1.125,3,1,fresca
1754826300000,short,4213.374,21.48039082615239,-1.2201176506733338,False,H5,trend,83,0.25,26,1.75,7,1.9375,10,4,agotada
1754878500000,short,4318.105,22.54320025388213,0.32287447178502815,False,H5,chop,3,0.25,4,1.25,2,6.5625,3,2,fresca
1754935200000,long,4282.7293,29.205060711819698,-1.5000000000000322,False,H5,chop,81,0.25,45,3.0,19,1.5,15,5,agotada
1755009900000,long,4397.959199999999,31.696032684894007,2.5375197480007783,False,H5,chop,96,0.25,47,1.75,19,1.6875,2,0,agotada
1755217800000,long,4538.7966,31.780540385077373,0.5606685862785131,False,H5,trend,37,0.25,10,1.5,10,1.125,6,4,agotada
1755528300000,long,4284.258100000001,33.660473812761914,-1.500000000000019,False,H5,trend,34,0.25,10,1.75,3,1.6875,6,2,confirmada
1755552600000,short,4351.5675,26.007968549567746,0.7095802795120709,False,H5,chop,50,0.25,39,1.5,18,1.375,10,4,agotada
1755641700000,long,4125.300499999999,26.490102514921155,-1.318867072332469,False,H5,chop,10,0.25,6,1.25,1,1.5625,5,0,fresca
1756056600000,long,4853.4249,27.634767234940714,-1.0332611295189809,False,H5,trend,96,0.25,47,1.5,19,1.375,2,1,agotada
1756080000000,long,4778.098,37.66636000852037,-1.2227954520149753,False,H5,chop,78,0.25,43,2.0,18,2.0,12,7,agotada
1756158300000,short,4372.7039,40.145071058624225,-1.1537348296813836,False,H5,chop,96,0.25,47,1.75,19,1.4375,1,0,agotada
1756325700000,long,4545.318,34.269939992978244,-1.0905309943600219,False,H5,trend,17,0.25,29,1.25,12,1.0625,10,7,agotada
1756689300000,long,4386.98,20.890960253389892,0.8223778416158852,False,H5,chop,7,0.25,25,1.25,13,1.3125,8,5,agotada
1756822500000,long,4336.475,31.05029468252968,-1.4999999999999927,False,H5,chop,51,0.25,15,1.25,8,1.5625,8,7,agotada
1756839600000,short,4303.2817000000005,30.397405524439257,0.42217697604460824,False,H5,chop,89,0.25,46,2.0,19,1.75,9,3,agotada
1757107800000,long,4296.1525,20.46868103977988,0.5187504581218385,False,H5,chop,34,0.25,18,2.5,11,1.375,13,10,agotada
1757423700000,long,4334.133100000001,14.875881385024131,0.7504837633318325,False,H5,chop,78,0.25,46,1.25,19,1.3125,10,4,agotada
1757596500000,long,4387.1025,26.901231327517436,6.188672519793898,False,H5,chop,60,0.25,41,1.25,18,2.3125,8,5,agotada
1757726100000,short,4723.581700000001,22.131181434870054,0.8887893080289699,False,H5,chop,7,0.25,3,1.25,1,1.3125,2,0,fresca
1757861100000,long,4589.8416,18.705925513855583,1.0098149600406456,False,H5,chop,1,0.25,4,44.75,9,11.6875,3,2,agotada
1758142800000,long,4489.813099999999,32.45010406145685,14.682057355571514,False,H5,trend,73,0.25,38,2.0,15,1.25,25,14,agotada
1758305700000,long,4443.4267,16.360995496382856,1.7771641645955654,False,H5,chop,6,0.25,3,1.25,4,1.5625,2,3,confirmada
1758548700000,long,4177.1675,22.23688050693348,-1.5000000000000004,False,H5,trend,29,0.25,7,1.75,2,1.4375,4,1,fresca
1758776400000,long,3979.1169,31.876875801446566,1.0822658090778159,False,H5,chop,1,0.25,0,0.0,0,0.0,0,0,virgen
1758798900000,long,3997.3943,20.005660734888675,-1.1862635919422835,False,H5,chop,17,0.25,6,1.25,1,1.8125,5,0,fresca
1758895200000,short,3971.6655,28.025507325621266,-1.15401313761345,False,H5,chop,22,0.25,32,2.0,17,2.5,8,5,agotada
1759377600000,long,4373.4871,18.0843168912366,-1.3219530451188355,False,H5,chop,96,0.25,47,2.0,19,2.0,2,0,agotada
1760157900000,long,3779.9487,53.06710794544712,-1.1753713501551344,False,H5,trend,18,0.25,6,1.75,2,1.1875,5,1,fresca
1760233500000,short,3727.991,28.630761807479757,0.6840827428834734,False,H5,chop,95,0.25,47,1.75,19,1.4375,4,2,agotada
1760243400000,short,3812.7309999999998,29.528040215940596,-1.167902446239871,False,H5,chop,55,0.25,39,1.5,18,1.125,16,7,agotada
1760318100000,long,4133.045899999999,30.677210459772226,0.6560269166389204,False,H5,chop,95,0.25,47,1.25,15,1.3125,8,2,agotada
1760356800000,long,4071.3291,30.802600222812845,8.141765398376739,False,H5,trend,24,0.25,30,15.0,15,4.0,3,4,agotada
1760449500000,long,3929.2688,34.108366731603226,1.7483988228764313,False,H5,chop,10,0.25,4,1.75,9,1.4375,3,2,agotada
