bar_ts,side,lvl,atr,r,oos,kind,regime,n_m15,last_m15_h,n_h1,last_h1_h,n_h4,last_h4_h,bounce_h1,bounce_h4,zona
1750786200000,long,144.0505,1.0608764948120468,0.6565655294524799,False,H21,chop,83,0.25,46,1.5,19,1.375,13,5,agotada
1751478300000,long,150.265,1.030454394171721,4.001790600008015,False,H21,chop,89,2.0,33,2.75,15,1.4375,2,7,agotada
1751526900000,long,154.7484,0.6423632669281453,1.0685015037502408,False,H21,chop,94,0.25,47,1.25,18,1.8125,2,3,agotada
1752204600000,long,163.9842,0.8359841628175154,0.8405444021392727,False,H21,chop,93,0.25,47,1.5,19,1.875,4,1,agotada
1752776100000,long,173.60399999999998,1.181419415471284,0.4770782438641149,False,H21,chop,69,0.25,44,1.25,19,1.5625,15,6,agotada
1753046100000,long,181.0138,1.0547810640742523,0.7847869760471803,False,H21,chop,82,0.25,44,1.25,19,1.3125,6,5,agotada
1753062300000,long,179.256,1.264940183229092,14.26886707579926,False,H21,trend,47,0.25,37,1.75,16,1.4375,7,5,agotada
1753106400000,long,191.686,1.224977565400985,2.060820871039339,False,H21,chop,95,0.5,47,2.0,19,1.5,1,1,agotada
1753663500000,long,189.2976,1.1736891604765074,-1.201605338081106,False,H21,chop,96,0.25,47,1.75,19,1.1875,1,1,agotada
1754342100000,long,167.4112,0.962087842850634,1.173729552581658,False,H21,chop,95,0.25,47,1.25,19,1.3125,4,1,agotada
1754614800000,long,173.44299999999998,0.9605402545518179,3.3040829383537464,False,H21,chop,89,0.5,46,3.0,19,1.25,3,1,agotada
1754859600000,long,181.5336,0.9437869062146322,0.8705499386812516,False,H21,chop,73,0.5,43,3.0,19,1.25,20,9,agotada
1755043200000,long,191.7657,1.2883342746323327,1.959369486919081,False,H21,chop,96,0.25,47,2.0,19,2.0,2,0,agotada
1755092700000,long,201.3601,1.6841734217500859,0.5978876983980623,False,H21,chop,96,0.25,47,1.75,19,1.4375,4,1,agotada
1755217800000,long,192.08230000000003,1.4307822931087257,0.5571575305384665,False,H21,chop,30,0.25,10,1.5,11,1.125,7,5,agotada
1755528300000,long,181.13580000000002,1.1352514910861187,2.4052646232488857,False,H21,trend,33,0.25,10,1.75,2,1.6875,5,1,fresca
1755740700000,long,186.9929,1.0688020209567335,-1.2186945013359647,False,H21,trend,96,0.25,47,1.75,18,1.4375,6,2,agotada
1756178100000,long,186.6311,1.467992741256549,1.8516067003892018,False,H21,chop,23,0.25,7,1.25,1,1.8125,6,0,fresca
1756215000000,long,188.70550000000003,1.4855411038496844,-1.1587851553812456,False,H21,chop,70,0.25,17,1.5,4,1.375,5,2,confirmada
1756313100000,long,207.22140000000002,1.6640873951160975,0.7099463817028417,False,H21,chop,96,0.25,47,1.75,19,1.1875,2,4,agotada
1756327500000,long,207.2184,2.15117006029769,-1.120410284979588,False,H21,trend,90,0.25,46,1.75,19,1.1875,5,4,agotada
1756863900000,long,207.7778,1.4860894700144454,1.5548263613703166,False,H21,trend,91,0.25,47,1.75,19,1.4375,3,1,agotada
1757348100000,long,213.93800000000002,1.245078665079033,2.8121714433556475,False,H21,chop,91,0.25,46,2.25,19,1.0625,6,2,agotada
1757700000000,long,239.7644,1.2124660976707635,0.7903114034892781,False,H21,chop,96,0.25,47,2.0,19,1.5,1,1,agotada
1758676500000,long,214.5915,1.3305641956236076,-1.2015982211773575,False,H21,trend,30,0.25,12,1.25,5,1.3125,11,4,agotada
1758783600000,long,203.2983,1.4755389790849078,0.6200598394678836,False,H21,chop,8,0.25,2,2.0,0,0.0,1,0,virgen
