market_slug,timestamp_ms,seconds_till_end,oracle_btc_price,binance_btc_price,lag,binance_ret1s_x100,binance_ret5s_x100,binance_volume_1s,binance_volume_5s,binance_atr_5s,binance_atr_30s,binance_rvol_30s,binance_volma_30s,binance_volume_spike,binance_vwap_30s,binance_p_vwap_5s,binance_p_vwap_30s,lat_dir_raw_x1000,lat_dir_norm_x1000,up_bid_1_price,up_bid_1_size,up_bid_2_price,up_bid_2_size,up_bid_3_price,up_bid_3_size,up_bid_4_price,up_bid_4_size,up_bid_5_price,up_bid_5_size,up_ask_1_price,up_ask_1_size,up_ask_2_price,up_ask_2_size,up_ask_3_price,up_ask_3_size,up_ask_4_price,up_ask_4_size,up_ask_5_price,up_ask_5_size,down_bid_1_price,down_bid_1_size,down_bid_2_price,down_bid_2_size,down_bid_3_price,down_bid_3_size,down_bid_4_price,down_bid_4_size,down_bid_5_price,down_bid_5_size,down_ask_1_price,down_ask_1_size,down_ask_2_price,down_ask_2_size,down_ask_3_price,down_ask_3_size,down_ask_4_price,down_ask_4_size,down_ask_5_price,down_ask_5_size,pm_up_bid_depth5,pm_up_ask_depth5,pm_up_total_depth5,pm_down_bid_depth5,pm_down_ask_depth5,pm_down_total_depth5,pm_up_spread,pm_down_spread,pm_up_imbalance,pm_down_imbalance,pm_up_microprice,pm_down_microprice,pm_up_bid_slope,pm_up_ask_slope,pm_down_bid_slope,pm_down_ask_slope,pm_up_bid_eatflow,pm_up_ask_eatflow,pm_down_bid_eatflow,pm_down_ask_eatflow
btc-updown-5m-1780094100,1780094102000,298,73410.65,73500.01,89.36,0.0000,-0.0163,0.0001,2.1099,2.3980,1.3200,0.006561,1.3409,0.0001,73512.01,-0.0027,-0.0163,0.0122,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00,-0.00,-0.00,-0.00,-0.00,-0.00,,,,,,,,,,,,,,
btc-updown-5m-1780094100,1780094103000,297,73405.58,73500.01,94.43,0.0000,-0.0163,0.0020,2.1118,2.3980,1.3200,0.006561,1.3408,0.0015,73512.00,-0.0027,-0.0163,0.0000,0.0000,0.3800,93.00,0.3700,127.74,0.3600,124.33,0.3500,206.57,0.3400,124.82,0.3900,250.92,0.4000,78.00,0.4100,67.56,0.4200,356.00,0.4300,93.54,0.6100,250.92,0.6000,78.00,0.5900,67.56,0.5800,356.00,0.5700,93.54,0.6200,93.00,0.6300,127.74,0.6400,124.33,0.6500,206.57,0.6600,124.82,676.46,846.02,1522.48,846.02,676.46,1522.48,0.0100,0.0100,-0.1114,0.1114,0.3827,0.6173,0.3263,0.3888,0.3888,0.3263,,,,
btc-updown-5m-1780094100,1780094104000,296,73400.49,73500.01,99.52,0.0000,-0.0163,0.0679,2.1791,2.3980,1.3200,0.006561,1.3404,0.0506,73511.94,-0.0026,-0.0162,0.0000,0.0000,0.6500,7402.48,0.6400,26.00,0.6300,16.00,0.6200,16.00,0.6100,16.00,0.6600,175.61,0.6700,40.00,0.6800,45.00,0.6900,65.00,0.7000,40.00,0.3400,175.61,0.3300,40.00,0.3200,45.00,0.3100,65.00,0.3000,40.00,0.3500,7402.48,0.3600,26.00,0.3700,16.00,0.3800,16.00,0.3900,16.00,7476.48,365.61,7842.09,365.61,7476.48,7842.09,0.0100,0.0100,0.9068,-0.9068,0.6598,0.3402,0.9936,0.5897,0.5897,0.9936,5762.7285,-407.1271,-406.0946,5748.1145
btc-updown-5m-1780094100,1780094105000,295,73399.55,73500.01,100.46,0.0000,-0.0027,0.0000,0.0739,0.4040,1.3200,0.006561,1.3404,0.0000,73511.94,-0.0026,-0.0162,0.0000,0.0000,0.6700,46.00,0.6600,170.00,0.6500,7028.25,0.6400,111.00,0.6300,26.00,0.8200,481.84,0.8300,542.00,0.8400,531.00,0.8500,1795.33,0.8600,46.28,0.1800,481.84,0.1700,542.00,0.1600,531.00,0.1500,1795.33,0.1400,46.28,0.3300,46.00,0.3400,170.00,0.3500,7028.25,0.3600,111.00,0.3700,26.00,7381.25,3396.45,10777.70,3396.45,7381.25,10777.70,0.1500,0.1500,0.3697,-0.3697,0.6831,0.3169,0.0293,0.3014,0.3014,0.0293,3112.7158,1184.0436,1184.5935,3114.1615
btc-updown-5m-1780094100,1780094106000,294,73401.24,73500.01,98.77,0.0000,0.0000,0.0000,0.0700,0.0040,1.3200,0.006561,1.3401,0.0000,73511.93,0.0000,-0.0162,0.0000,0.0000,0.7900,116.33,0.7800,47.46,0.7700,84.55,0.7600,26.00,0.7500,36.00,0.8100,226.50,0.8200,10.00,0.8300,355.30,0.8400,540.00,0.8500,2286.33,0.1900,226.50,0.1800,10.00,0.1700,355.30,0.1600,540.00,0.1500,2286.33,0.2100,116.33,0.2200,47.46,0.2300,84.55,0.2400,26.00,0.2500,36.00,310.34,3418.13,3728.47,3418.13,310.34,3728.47,0.0200,0.0200,-0.8335,0.8335,0.7968,0.2032,0.5278,0.0692,0.0692,0.5278,-3646.4234,1557.4081,1555.8207,-3642.7066
btc-updown-5m-1780094100,1780094107000,293,73401.24,73500.01,98.77,0.0000,0.0000,0.0000,0.0699,0.0020,1.3200,0.006561,1.3401,0.0000,73511.93,0.0000,-0.0162,0.0000,0.0000,0.8000,133.53,0.7900,42.40,0.7800,26.00,0.7700,94.55,0.7600,50.26,0.8100,647.61,0.8200,139.68,0.8300,60.00,0.8400,120.97,0.8500,640.33,0.1900,647.61,0.1800,139.68,0.1700,60.00,0.1600,120.97,0.1500,640.33,0.2000,133.53,0.2100,42.40,0.2200,26.00,0.2300,94.55,0.2400,50.26,346.74,1608.59,1955.33,1608.59,346.74,1955.33,0.0100,0.0100,-0.6453,0.6453,0.8017,0.1983,0.5074,0.4894,0.4894,0.5074,-4097.1905,-856.8140,-856.8140,-4097.1905
btc-updown-5m-1780094100,1780094108000,292,73402.64,73500.01,97.37,0.0000,0.0000,0.1443,0.2122,0.0020,1.2403,0.006507,1.3447,0.1073,73511.89,-0.0000,-0.0162,0.0000,0.0000,0.7600,30.55,0.7500,26.00,0.7400,31.00,0.7300,26.00,0.7200,52.94,0.7700,291.02,0.7800,41.24,0.7900,48.01,0.8000,20.00,0.8100,20.79,0.2300,291.02,0.2200,41.24,0.2100,48.01,0.2000,20.00,0.1900,20.79,0.2400,30.55,0.2500,26.00,0.2600,31.00,0.2700,26.00,0.2800,52.94,166.49,421.06,587.55,421.06,166.49,587.55,0.0100,0.0100,-0.4333,0.4333,0.7610,0.2390,0.3397,0.7891,0.7891,0.3397,-223.0471,-1430.1571,-1430.7339,-223.1371
btc-updown-5m-1780094100,1780094109000,291,73401.62,73500.01,98.39,0.0000,0.0000,0.0812,0.2255,0.0040,1.2407,0.006507,1.3418,0.0605,73511.77,0.0000,-0.0160,0.0000,0.0000,0.7600,38.55,0.7500,26.00,0.7400,42.46,0.7300,26.00,0.7200,82.94,0.7700,205.32,0.7800,33.60,0.7900,48.01,0.8000,36.16,0.8100,31.19,0.2300,205.32,0.2200,33.60,0.2100,48.01,0.2000,36.16,0.1900,31.19,0.2400,38.55,0.2500,26.00,0.2600,42.46,0.2700,26.00,0.2800,82.94,215.95,354.28,570.23,354.28,215.95,570.23,0.0100,0.0100,-0.2426,0.2426,0.7616,0.2384,0.2989,0.6744,0.6744,0.2989,-150.2821,-1081.4286,-1081.4285,-150.2821
btc-updown-5m-1780094100,1780094110000,290,73404.93,73500.01,95.08,0.0000,0.0000,0.0000,0.2255,0.0040,1.2403,0.006507,1.3395,0.0000,73511.72,-0.0000,-0.0159,0.0000,0.0000,0.7300,24.61,0.7200,23.00,0.7100,23.00,0.7000,348.60,0.6900,101.00,0.7500,184.21,0.7600,133.68,0.7700,15.00,0.7800,33.60,0.7900,30.00,0.2500,184.21,0.2400,133.68,0.2300,15.00,0.2200,33.60,0.2100,30.00,0.2700,24.61,0.2800,23.00,0.2900,23.00,0.3000,348.60,0.3100,101.00,520.21,396.49,916.70,396.49,520.21,916.70,0.0200,0.0200,0.1350,-0.1350,0.7324,0.2676,0.0915,0.8018,0.8018,0.0915,17.2523,-755.1025,-755.1026,17.2523
btc-updown-5m-1780094100,1780094111000,289,73404.93,73500.01,95.08,0.0000,0.0000,0.0030,0.2285,0.0040,1.2400,0.006507,1.3350,0.0022,73511.63,-0.0000,-0.0158,0.0000,0.0000,0.6800,14.00,0.6700,8.00,0.6600,614.54,0.6500,437.76,0.6400,131.00,0.6900,40.83,0.7000,74.09,0.7100,26.00,0.7200,76.00,0.7300,101.00,0.3100,40.83,0.3000,74.09,0.2900,26.00,0.2800,76.00,0.2700,101.00,0.3200,14.00,0.3300,8.00,0.3400,614.54,0.3500,437.76,0.3600,131.00,1205.30,317.92,1523.22,317.92,1205.30,1523.22,0.0100,0.0100,0.5826,-0.5826,0.6826,0.3174,0.0183,0.3615,0.3615,0.0183,203.4403,-248.1769,-248.2377,203.4902
