ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,spk_delta,accum_bars,exit,result_r,taker_ratio
1767232800000,1767232380000,Short,Asia,87869.4,88013.25432,87581.69136,3.3874356608631775,1.909035745735554,49.013000000000005,14,STOP,-1.0,0.999269
1767234840000,1767234720000,Short,Asia,87966.1,88072.00128,87754.29744000002,3.4803670390054298,3.6102797816338468,69.83800000000001,11,TARGET,2.0,0.581643
1767247920000,1767247860000,Long,Asia,87612.7,87532.71776,87772.66447999999,-6.728516630146688,2.799683725062937,-27.840999999999998,12,TARGET,2.0,0.516494
1767254580000,1767254520000,Short,London,87638.5,87749.34335999998,87416.81328000003,-6.193389541043326,12.036625857803092,94.36199999999997,16,STOP,-1.0,0.415594
1767264960000,1767264900000,Short,London,87824.2,87924.18311999999,87624.23376000002,5.560306642845791,1.6113952696669345,16.569,10,STOP,-1.0,2.851929
1767269160000,1767269100000,Short,London,87959.8,88069.19903999999,87741.00192000002,9.293723617711912,2.2851081775551245,35.272999999999996,13,TIMEOUT,0.0,0.92708
1767272940000,1767272400000,Long,LondonNyOverlap,87928.0,87772.7256,88238.54879999999,4.415287192682533,2.8154237846986647,-41.400999999999996,33,STOP,-1.0,0.690125
1767280680000,1767280560000,Short,LondonNyOverlap,87998.8,88103.02608,87790.34784000002,6.253409459515318,5.087935378116753,46.221000000000004,10,TIMEOUT,0.0,1.251202
1767294840000,1767294780000,Long,NewYork,88081.2,87964.27223999999,88315.05552000001,4.647163063169384,3.5714485650945775,-47.770999999999994,53,TARGET,2.0,0.626734
1767297120000,1767297000000,Short,NewYork,88343.2,88462.11311999998,88105.37376000003,5.561683590121176,2.323759336533049,19.71,10,TIMEOUT,0.0,1.739929
1767308520000,1767307920000,Short,Asia,88542.3,88706.90879999999,88213.08240000003,10.0,3.405975981408796,89.423,49,STOP,-1.0,1.105242
1767311280000,1767310980000,Short,Asia,88753.1,88892.05679999999,88475.18640000004,10.0,2.248609038525807,58.610000000000014,20,TARGET,2.0,0.594997
1767314040000,1767313920000,Short,Asia,88776.0,88904.0664,88519.86720000001,2.1989916510684804,1.550557104449913,20.57499999999999,10,TARGET,2.0,0.978448
1767319440000,1767319380000,Long,Asia,88543.3,88424.50376,88780.89248,-5.763778555367546,2.9066887383544535,-96.69699999999999,20,STOP,-1.0,0.675401
1767322860000,1767322260000,Short,Asia,88544.2,88679.08656,88274.42688,-0.7286070408063537,3.2057292321528683,16.65299999999999,10,STOP,-1.0,1.681745
1767336240000,1767335940000,Short,Asia,88932.3,89068.39775999999,88660.10448000002,4.505352379153462,1.9503580695046694,-9.811999999999998,10,STOP,-1.0,1.037094
1767338400000,1767338280000,Long,Asia,88975.9,88781.61783999999,89364.46432,4.105889056789044,4.273913180617013,-146.17000000000002,13,STOP,-1.0,0.984374
1767344520000,1767344400000,Short,London,89111.2,89244.3384,88844.9232,10.0,3.0006964840297066,-18.79600000000002,34,STOP,-1.0,1.058241
1767353820000,1767353340000,Long,London,89469.9,89234.75503999999,89940.18992,4.949949433385126,1.7136895677661241,-48.13900000000001,17,TIMEOUT,0.0,0.685956
1767364560000,1767364320000,Long,LondonNyOverlap,88747.2,88449.184,89343.232,-3.681822337753349,3.7353484698604165,-138.81100000000004,13,TARGET,2.0,1.355415
1767379080000,1767378900000,Long,NewYork,90144.0,89878.04,90675.92000000001,3.6966429577523594,4.741915435194826,-61.20800000000003,10,STOP,-1.0,0.593816
1767384600000,1767384420000,Long,NewYork,89817.1,89718.96736,90013.36528000003,6.104591457358844,1.6587323650010422,-28.633999999999986,12,TARGET,2.0,1.766092
1767387600000,1767387000000,Long,NewYork,89724.4,89607.35672000001,89958.48655999996,2.5339821915796064,1.6048229191601677,17.528999999999996,10,TARGET,2.0,0.803637
