ts_ms,spike_ts,direction,session,entry,stop,target,spk_dz,spk_vr,exit,result_r,m_taker,m_oi_d,m_tt
1686190920000,1686190380000,Long,Asia,26422.1,26368.888,26528.523999999998,0.26609186578111377,2.2677714073924182,STOP,-1.0,0.4101815044,24.60800000000745,1.3257491935
1686191760000,1686191340000,Short,Asia,26399.9,26458.750079999998,26282.19984000001,2.731934797380562,1.6847731951421818,TARGET,2.0,1.5820117507,-1.3240000000077998,1.3279452024
1686193440000,1686193380000,Long,Asia,26365.1,26328.12064,26439.058719999994,-2.6806750082284974,2.5124056996916155,STOP,-1.0,1.2476017455,45.14499999998952,1.2857860388
1686218160000,1686218100000,Long,London,26371.3,26332.9168,26448.0664,-1.4252442646579733,3.643811256280961,TARGET,2.0,0.8361750889,25.85899999999674,1.2703967046
1686236160000,1686236100000,Short,LondonNY,26630.2,26690.935679999995,26508.728640000012,9.220610223616879,1.5020433423020492,STOP,-1.0,1.1155376248,75.50500000000466,1.2899434188
1686239220000,1686238980000,Short,LondonNY,26674.8,26741.375999999997,26541.648000000005,8.88305637823763,6.428507796720297,STOP,-1.0,0.82222641,126.14500000000407,1.2884438297
1686239640000,1686239580000,Short,LondonNY,26736.3,26821.44,26566.02,7.3824763693211155,5.845237200218015,TARGET,2.0,0.9198627253,172.2329999999929,1.2911138021
1686249480000,1686249120000,Short,NewYork,26469.7,26556.728399999996,26295.64320000001,2.879459236154252,7.371763666325259,STOP,-1.0,2.0744716859,-28.596000000005006,1.2767102403
1686249960000,1686249780000,Short,NewYork,26517.2,26571.239999999998,26409.120000000006,3.6153161428597773,4.0272020457761295,STOP,-1.0,0.7371980481,62.59900000000198,1.2771180021
1686255780000,1686255720000,Short,NewYork,26590.3,26644.298399999996,26482.303200000006,5.869630799296878,14.987868750252833,STOP,-1.0,2.7182568869,60.88900000001013,1.2791387818
1686260700000,1686260160000,Long,NewYork,26557.0,26515.97024,26639.059520000003,4.568431981882709,1.666881379676372,STOP,-1.0,0.8012196481,-20.206000000005588,1.2898547563
1686262980000,1686262860000,Short,Asia,26579.5,26606.968559999998,26524.562880000005,10.0,1.5510830272011265,TARGET,2.0,0.9215526158,-10.54200000000128,1.2915317132
1686266340000,1686266220000,Short,Asia,26533.8,26566.035839999997,26469.328320000004,10.0,1.7544187859659586,TARGET,2.0,0.4292082329,17.472000000008848,1.293297789
1686266700000,1686266640000,Long,Asia,26504.6,26459.915119999998,26593.96976,1.3229856423662592,7.9680787757605644,STOP,-1.0,1.5230897131,-5.764000000010128,1.2935628649
1686268440000,1686268380000,Long,Asia,26482.0,26450.922319999998,26544.155360000004,0.7497300049710474,3.7975878643905396,STOP,-1.0,1.0621160327,28.302000000010594,1.2939277066
1686276240000,1686276060000,Long,Asia,26517.8,26456.51784,26640.364319999997,-0.20093506670840622,1.6165779490475005,STOP,-1.0,0.3908935931,-0.907999999995809,1.284608122
1686284160000,1686283920000,Long,Asia,26460.8,26423.943919999998,26534.512160000002,1.1441530980237546,1.8746461063631916,STOP,-1.0,0.8935172335,24.543000000005122,1.2891778911
1686288120000,1686288000000,Short,Asia,26487.6,26546.019839999997,26370.76032,8.141391218672165,10.159708183490856,STOP,-1.0,1.3465059666,-6.426000000006752,1.2969740897
1686293040000,1686292500000,Long,Asia,26553.5,26478.8,26702.9,4.722547160131394,2.1415860978562113,STOP,-1.0,0.6597504798,30.0570000000007,1.3037489122
1686295860000,1686295800000,Short,Asia,26439.9,26496.07992,26327.540160000004,2.5295378543624873,4.414984672418948,STOP,-1.0,1.1883862227,34.52200000001176,1.3016435267
1686298920000,1686298680000,Short,London,26537.3,26580.347279999994,26451.20544000001,4.817805745665132,5.200606068858448,STOP,-1.0,1.3621771121,49.546000000002095,1.3054225616
1686304200000,1686303720000,Short,London,26632.6,26658.409679999997,26580.98064,10.0,1.692384887716914,STOP,-1.0,1.1699167802,-57.72299999999814,1.3092483363
1686306900000,1686306660000,Long,London,26624.9,26569.7272,26735.245600000002,9.172569790453961,1.5053478234480322,STOP,-1.0,0.4051438384,31.620999999999185,1.3084889852
1686308160000,1686307860000,Short,London,26628.1,26688.133439999998,26508.03312,10.0,2.4403331863689846,STOP,-1.0,1.8242555033,129.1070000000036,1.3113376586
1686315300000,1686315240000,Short,London,26654.7,26721.25992,26521.58016,10.0,9.484473952963436,STOP,-1.0,0.5503679295,177.48899999998685,1.3055754533
1686321600000,1686321420000,Long,LondonNY,26590.6,26558.736,26654.327999999994,1.2525308881495685,1.8629863044718784,STOP,-1.0,0.5319603732,7.275999999998021,1.29211713
1686321840000,1686321780000,Long,LondonNY,26579.9,26529.45944,26680.781120000007,0.39152290449013005,2.5951693866928096,STOP,-1.0,0.6995347615,-78.73200000000361,1.2925712895
1686322200000,1686322140000,Long,LondonNY,26537.9,26505.7784,26602.143200000006,-0.37693951487506594,2.0784932113026655,TARGET,2.0,0.8646956987,-410.8380000000034,1.2961392573
1686329820000,1686329700000,Long,LondonNY,26462.9,26410.454719999998,26567.79056000001,-10.0,1.557242780323074,STOP,-1.0,1.2325113529,55.41700000000128,1.3045844575
1686330900000,1686330720000,Long,NewYork,26447.1,26386.8736,26567.552799999998,-8.524488498627365,5.0824475200084445,STOP,-1.0,1.4838890013,109.99799999999232,1.3058521053
1686335700000,1686335580000,Long,NewYork,26446.5,26407.95672,26523.586560000003,-9.477918929879012,3.2055852847196986,STOP,-1.0,0.7952261611,-35.99099999999453,1.3149114654
1686336120000,1686336060000,Long,NewYork,26441.8,26378.88,26567.639999999996,-7.3712527629369635,7.00466733222933,STOP,-1.0,0.622715148,-55.12399999999616,1.3136119238
