ts_ms,direction,entry,stop,target,rr,range_high,range_low,range_bars,spike_dir,vr_spike,vr_entry,delta_spike,cvd_slope,session,veto_reason,open_bar,exit_bar,exit,result_r
1773107820000,Short,69229.8,69366.04848,68957.30304000001,2.0,69235.0,68925.1,8,Up,4.161,1.76,186.59,20.81,Asia,,134,166,STOP,-1.0
1773129960000,Short,70416.1,70756.56,69735.18000000002,2.0,70488.0,70287.0,9,Up,8.162,3.154,409.92,17.04,London,,503,503,STOP,-1.0
1773132300000,Short,70796.0,71124.05376,70139.89248000001,2.0,70993.0,70700.0,34,Up,2.43,2.633,316.91,21.13,London,,542,580,STOP,-1.0
1773140640000,Long,70787.9,70526.63352,71310.43295999998,2.0,70924.9,70619.5,31,Down,1.69,3.519,-90.94,-2.2,London,,681,719,STOP,-1.0
1773143280000,Long,70604.6,70451.5936,70910.61280000003,2.0,70723.9,70550.0,18,Down,2.012,1.712,-108.84,8.25,London,,725,739,STOP,-1.0
1773139020000,Short,70659.6,70940.40696,70097.98608000003,2.0,70793.1,70687.0,8,Up,4.323,2.335,93.12,-0.48,London,,654,774,TIMEOUT,0.0
1773145800000,Short,70276.1,70581.42,69665.46000000002,2.0,70498.6,70360.0,8,Up,1.328,2.116,64.69,4.35,London,,767,797,STOP,-1.0
1773163920000,Long,71187.9,71055.80984,71452.08031999998,2.0,71412.3,71136.0,25,Down,1.856,1.667,-101.55,-5.69,NewYork,,1069,1070,STOP,-1.0
1773170400000,Short,70100.7,70264.56671999999,69772.96656000002,2.0,70136.9,69824.9,8,Up,2.314,1.543,95.74,23.23,NewYork,,1177,1190,TARGET,2.0
1773171600000,Long,70042.7,69716.1824,70695.73519999998,2.0,70024.6,69826.5,8,Down,1.783,2.224,-54.06,-5.46,NewYork,,1197,1314,STOP,-1.0
1773177120000,Short,70060.0,70400.27519999999,69379.44960000002,2.0,70311.4,70163.1,30,Up,1.841,2.551,80.88,8.63,NewYork,,1289,1409,TIMEOUT,0.0
1773183780000,Short,69703.9,69871.95288,69367.79423999999,2.0,69734.4,69433.6,42,Up,2.36,1.701,5.95,8.99,Asia,,1400,1427,STOP,-1.0
1773185040000,Long,69765.0,69650.2352,69994.52960000001,2.0,69828.8,69717.9,10,Down,1.973,1.668,-96.26,-0.48,Asia,,1421,1468,TARGET,2.0
1773198480000,Short,69678.9,69835.52376,69365.65247999999,2.0,69766.7,69563.3,22,Up,1.558,2.736,22.34,7.41,Asia,,1645,1721,STOP,-1.0
1773213900000,Long,69794.9,69658.2288,70068.24239999999,2.0,69892.5,69775.7,12,Down,1.845,2.507,-66.03,-9.71,Asia,,1902,1910,STOP,-1.0
1773218040000,Long,69531.5,69412.52552000001,69769.44895999998,2.0,69738.8,69477.0,22,Down,2.027,2.082,-142.09,-4.54,London,,1971,2034,STOP,-1.0
1773226860000,Long,69550.8,69454.09224,69744.21552000001,2.0,69602.2,69540.0,12,Down,2.623,1.906,60.43,4.84,London,,2118,2138,STOP,-1.0
1773221940000,Long,69488.3,69268.64072000001,69927.61855999999,2.0,69550.0,69466.0,9,Down,12.146,2.458,-378.86,-23.69,London,,2036,2156,TIMEOUT,0.0
1773229440000,Long,69406.8,69308.30896,69603.78208000002,2.0,69517.8,69400.0,10,Down,2.504,2.65,-22.7,-6.82,London,,2161,2167,STOP,-1.0
1773223020000,Short,69377.6,69721.7328,68689.33440000002,2.0,69611.6,69324.1,14,Up,2.442,2.51,117.38,8.72,London,,2054,2174,TIMEOUT,0.0
1773232380000,Short,69209.1,69441.40871999999,68744.48256000003,2.0,69285.3,69120.2,8,Up,2.652,2.006,60.62,53.74,London,,2210,2241,STOP,-1.0
1773245220000,Short,70301.5,70451.51615999998,70001.46768000003,2.0,70314.7,70093.2,13,Up,1.816,1.836,249.36,10.44,LondonNY,,2424,2439,STOP,-1.0
1773248400000,Long,70568.0,70465.5824,70772.8352,2.0,70799.9,70554.2,16,Down,1.533,1.585,-68.13,-4.63,NewYork,,2477,2479,TARGET,2.0
1773250380000,Short,70969.8,71256.95999999999,70395.48000000003,2.0,70994.6,70762.1,17,Up,6.475,1.648,653.49,38.16,NewYork,,2510,2575,TARGET,2.0
1773267240000,Short,70761.8,70890.36695999998,70504.66608000004,2.0,70776.3,70505.5,27,Up,3.526,1.859,55.09,2.23,Asia,,2791,2804,TARGET,2.0
1773268740000,Long,70320.7,70211.88552000001,70538.32895999997,2.0,70560.3,70310.0,8,Down,3.355,2.892,-60.76,-15.82,Asia,,2816,2832,STOP,-1.0
1773272940000,Long,70192.7,70026.73376,70524.63247999999,2.0,70380.2,70164.4,15,Down,6.421,1.998,-220.73,-0.81,Asia,,2886,2958,STOP,-1.0
1773280380000,Long,69777.7,69650.33512,70032.42975999998,2.0,69958.7,69750.0,14,Down,2.32,3.434,14.47,-2.09,Asia,,3010,3034,STOP,-1.0
1773282840000,Long,69571.7,69393.54072,69928.01855999998,2.0,69634.6,69460.8,11,Down,1.829,2.031,-20.19,-19.32,Asia,,3051,3053,STOP,-1.0
1773284040000,Long,69226.5,69144.64,69390.22,2.0,69453.2,69214.4,8,Down,1.941,2.412,-20.46,6.0,Asia,,3071,3095,TARGET,2.0
1773300900000,Short,69604.5,69790.788,69231.924,2.0,69639.7,69483.5,11,Up,9.276,2.52,216.89,28.46,Asia,,3352,3365,STOP,-1.0
1773303540000,Short,69968.8,70107.74135999999,69690.91728000004,2.0,69970.0,69676.0,8,Up,5.873,3.217,267.4,14.36,London,,3396,3417,TARGET,2.0
1773303360000,Long,69866.1,69654.53176,70289.23648000002,2.0,69887.7,69750.0,13,Down,1.683,5.476,-137.79,0.91,London,,3393,3450,STOP,-1.0
1773308820000,Short,69876.9,70363.44575999999,68903.80848,2.0,70042.8,69737.4,8,Up,11.958,10.771,311.19,22.74,London,,3484,3536,STOP,-1.0
1773315900000,Short,70635.5,70780.87943999999,70344.74112000002,2.0,70641.0,70436.9,9,Up,4.716,4.476,334.56,17.92,London,,3602,3617,TARGET,2.0
1773323040000,Short,70042.3,70405.17911999999,69316.54176000004,2.0,70195.5,69901.4,14,Up,4.433,3.04,73.42,-4.47,LondonNY,,3721,3751,STOP,-1.0
1773330000000,Short,70314.4,70588.42559999999,69766.3488,2.0,70388.0,70092.5,12,Up,3.158,1.655,409.61,10.69,LondonNY,,3837,3957,TIMEOUT,0.0
1773336360000,Long,70434.0,70123.05664,71055.88672000001,2.0,70499.9,70300.0,19,Down,1.501,1.571,-33.53,-0.74,NewYork,,3943,3962,STOP,-1.0
1773338460000,Long,70152.5,69961.38608,70534.72784,2.0,70392.6,70118.3,15,Down,4.267,1.53,-79.69,-6.4,NewYork,,3978,3996,STOP,-1.0
1773357780000,Short,70473.4,70554.19824,70311.80351999999,2.0,70485.7,70325.2,8,Up,1.857,2.44,-7.9,38.15,Asia,,4300,4319,STOP,-1.0
1773360600000,Long,70727.1,70318.7,71543.90000000002,2.0,70630.0,70427.5,24,Down,3.918,2.259,-220.61,-14.17,Asia,,4347,4352,TARGET,2.0
