id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
42026,1778538000000,OffHours,664.45,664.83,663.84,664.06,851.27,-405.35,,,,1.0345,,,,,,,,,663.101,,0.734152,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:20:00
42027,1778538300000,OffHours,664.06,664.07,663.34,663.96,1553.53,45.95,,,,1.8807,,,,,,,,,663.126,,0.733855,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:25:00
137759,1778538540000,OffHours,663.85,663.96,663.81,663.96,131.83,-7.03,,,,0.627,,,,,,,,,664.228,,0.308713,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:29:00
42028,1778538600000,OffHours,663.96,664.78,663.95,664.05,2818.29,1119.41,,,,3.2759,,,,,,,,,663.196,,0.740723,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:30:00
137760,1778538600000,OffHours,663.96,664.5,663.95,664.5,1319.4,1164.18,,,,5.3179,,,,,,,,,664.24,,0.325947,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:30:00
137761,1778538660000,OffHours,664.5,664.63,664.42,664.58,187.8,-118.32,,,,0.773,,,,,,,,,664.246,,0.317665,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:31:00
137762,1778538720000,OffHours,664.59,664.78,664.58,664.77,210.89,37.23,,,,0.8582,,,,,,,,,664.255,,0.309261,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:32:00
137763,1778538780000,OffHours,664.78,664.78,664.43,664.49,229.93,-109.07,,,,0.9322,,,,,,,,,664.262,,0.312171,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:33:00
137764,1778538840000,OffHours,664.49,664.77,664.03,664.05,870.27,145.39,,,,3.4839,,,,,,,,,664.264,,0.34273,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:34:00
42029,1778538900000,OffHours,664.05,664.55,663.97,664.46,1147.62,185.16,,,,1.3039,,,,,,,,,663.224,,0.729243,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:35:00
137765,1778538900000,OffHours,664.05,664.23,663.97,664.23,248.43,109.35,,,,0.9741,,,,,,,,,664.261,,0.336821,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:35:00
137766,1778538960000,OffHours,664.24,664.55,664.2,664.54,178.86,120.66,,,,0.6964,,,,,,,,,664.264,,0.337762,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:36:00
137767,1778539020000,OffHours,664.55,664.55,664.05,664.18,335.39,-171.97,,,,1.3023,,,,,,,,,664.264,,0.349351,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:37:00
137768,1778539080000,OffHours,664.18,664.39,664.07,664.38,260.85,128.71,,,,0.9896,,,,,,,,,664.264,,0.347254,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:38:00
137769,1778539140000,OffHours,664.38,664.49,664.38,664.46,124.09,-1.59,,,,0.4772,,,,,,,,,664.266,,0.330307,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:39:00
42030,1778539200000,OffHours,664.45,664.65,664.36,664.48,886.65,238.73,,,,1.0513,,,,,,,,,663.248,,0.697868,,BNBUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:40:00
