id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
27496,1778538000000,OffHours,81872.8,81899.1,81768,81816,182.947,-1.647,,,,0.8734,,,,,,,,,81853.4,,100.122,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:20:00
27497,1778538300000,OffHours,81816,81816.1,81689,81697.5,318.006,-157.92,,,,1.511,,,,,,,,,81850.4,,102.049,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:25:00
65149,1778538540000,OffHours,81700.5,81709,81689.5,81697.5,36.928,-18.78,,,,0.8065,,,,,,,,,81805.5,,38.4421,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:29:00
27498,1778538600000,OffHours,81697.5,81747.8,81694.4,81704.6,172.711,51.693,,,,0.8912,,,,,,,,,81848.6,,98.574,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:30:00
65150,1778538600000,OffHours,81697.5,81731.2,81694.4,81728.7,56.843,27.439,,,,1.2355,,,,,,,,,81802.9,,38.3248,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:30:00
65151,1778538660000,OffHours,81728.6,81728.7,81717.4,81720.7,19.054,-9.892,,,,0.4304,,,,,,,,,81802,,36.3945,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:31:00
65152,1778538720000,OffHours,81720.6,81747.8,81720.6,81733.6,61.293,48.857,,,,1.39,,,,,,,,,81799.9,,35.7377,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:32:00
65153,1778538780000,OffHours,81733.5,81733.6,81706.5,81706.5,8.572,-5.94,,,,0.2185,,,,,,,,,81799.5,,35.1207,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:33:00
65154,1778538840000,OffHours,81706.6,81719.4,81704.6,81704.6,26.949,-8.771,,,,0.7408,,,,,,,,,81798.3,,33.6693,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:34:00
27499,1778538900000,OffHours,81704.6,81772.3,81698.8,81740.5,151.917,64.821,,,,0.8055,,,,,,,,,81847.2,,96.783,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:35:00
65155,1778538900000,OffHours,81704.6,81719.3,81698.8,81715.8,26.85,8.9,,,,0.7359,,,,,,,,,81797.1,,32.7286,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:35:00
65156,1778538960000,OffHours,81715.8,81734.7,81715.8,81734.6,34.59,28.148,,,,0.9368,,,,,,,,,81796,,31.7408,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:36:00
65157,1778539020000,OffHours,81734.6,81772.3,81733.8,81741.1,53.056,19.964,,,,1.4015,,,,,,,,,81794.8,,32.2236,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:37:00
65158,1778539080000,OffHours,81741,81750.4,81731.9,81750.3,28.531,15.415,,,,0.7483,,,,,,,,,81794.1,,31.2434,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:38:00
65159,1778539140000,OffHours,81750.4,81750.4,81740.4,81740.5,8.89,-7.606,,,,0.2366,,,,,,,,,81793.9,,29.726,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:39:00
27500,1778539200000,OffHours,81740.4,81769.9,81716.1,81744.9,143.745,-61.121,,,,0.8226,,,,,,,,,81846.1,,93.7128,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:40:00
65160,1778539200000,OffHours,81740.4,81747.6,81731,81731,13.843,-3.913,,,,0.3731,,,,,,,,,81793.5,,28.7884,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:40:00
65161,1778539260000,OffHours,81731,81769.9,81731,81753.1,54.992,-27.77,,,,1.4574,,,,,,,,,81792.5,,29.5107,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:41:00
65162,1778539320000,OffHours,81753,81753.1,81731,81738.2,40.816,-20.312,,,,1.0545,,,,,,,,,81791.5,,28.9813,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:42:00
65163,1778539380000,OffHours,81738.3,81738.3,81716.1,81735.2,20.815,-3.675,,,,0.544,,,,,,,,,81791,,28.497,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:43:00
65164,1778539440000,OffHours,81735.1,81752.1,81735.1,81744.9,13.279,-5.451,,,,0.3473,,,,,,,,,81790.7,,27.6757,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:44:00
27501,1778539500000,OffHours,81745,81831.7,81721.9,81800.6,115.618,7.928,,,,0.6609,,,,,,,,,81845.6,,94.8619,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:45:00
65165,1778539500000,OffHours,81745,81758.8,81737.5,81742.6,18.365,-3.425,,,,0.4921,,,,,,,,,81790.3,,27.2203,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:45:00
65166,1778539560000,OffHours,81742.6,81771.2,81721.9,81771.2,27.538,5.19,,,,0.7418,,,,,,,,,81789.9,,28.7975,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:46:00
65167,1778539620000,OffHours,81771.1,81790,81771.1,81789.9,15.044,4.27,,,,0.4109,,,,,,,,,81789.9,,28.0905,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:47:00
65168,1778539680000,OffHours,81789.9,81831.7,81789.9,81800.6,41.164,2.762,,,,1.121,,,,,,,,,81790.2,,29.0697,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:48:00
65169,1778539740000,OffHours,81800.5,81808.3,81787.6,81800.6,13.507,-0.869,,,,0.3735,,,,,,,,,81790.2,,28.4719,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:49:00
27502,1778539800000,OffHours,81800.5,81884.2,81800.5,81820.1,164.932,11.868,,,,0.9366,,,,,,,,,81845.4,,94.0646,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:50:00
65170,1778539800000,OffHours,81800.5,81814,81800.5,81813.9,8.804,6.56,,,,0.2488,,,,,,,,,81790.3,,27.4025,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:50:00
65171,1778539860000,OffHours,81813.9,81827.6,81807.9,81827.6,12.737,-1.539,,,,0.3598,,,,,,,,,81790.4,,26.8523,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:51:00
65172,1778539920000,OffHours,81827.6,81884.2,81819.7,81883.9,50.778,29.974,,,,1.3872,,,,,,,,,81791.9,,29.5414,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:52:00
65173,1778539980000,OffHours,81883.9,81883.9,81833.3,81836.5,33.637,6.493,,,,0.9407,,,,,,,,,81792.7,,31.0456,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:53:00
65174,1778540040000,OffHours,81836.4,81836.5,81807.9,81820.1,58.976,-29.62,,,,1.6583,,,,,,,,,81793.4,,30.8709,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:54:00
27503,1778540100000,OffHours,81820.1,81827.1,81788.3,81788.4,105.076,-20.058,,,,0.5948,,,,,,,,,81845.1,,90.1171,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:55:00
65175,1778540100000,OffHours,81820.1,81820.2,81792,81792,11.701,-9.945,,,,0.3377,,,,,,,,,81793.4,,30.6801,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:55:00
65176,1778540160000,OffHours,81792.1,81814.4,81792.1,81802.5,15.146,4.916,,,,0.4571,,,,,,,,,81793.5,,30.0887,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:56:00
65177,1778540220000,OffHours,81802.5,81819.4,81802.5,81819.3,8.357,4.771,,,,0.2591,,,,,,,,,81793.6,,29.1467,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:57:00
65178,1778540280000,OffHours,81819.4,81827.1,81790.2,81793.5,40.993,0.611,,,,1.4266,,,,,,,,,81793.7,,29.7005,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:58:00
65179,1778540340000,OffHours,81793.5,81812,81788.3,81788.4,28.879,-20.411,,,,1.0145,,,,,,,,,81793.7,,29.2719,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:59:00
27504,1778540400000,OffHours,81788.4,81788.4,81685.3,81737.6,173.432,-28.532,,,,0.9725,,,,,,,,,81843.7,,91.0445,,BTCUSDT,,,,,,,,,,,,,,,,,2026-05-11 23:00:00
