ts_open,open,high,low,close,volume,tc,qv,nt,tbv,tbq,_,ts_ms,bar_delta
1780272000000,73653.2,73659.6,73620.0,73659.5,48.353,1780272059999,3561022.12150,2445,21.773,1603482.46490,0,1780272000000,-4.807000000000002
1780272060000,73659.5,73659.6,73626.7,73634.5,71.545,1780272119999,5268593.81140,1985,13.365,984219.62600,0,1780272060000,-44.815
1780272120000,73634.5,73737.3,73634.4,73728.5,113.673,1780272179999,8378463.38140,3810,85.938,6334529.22580,0,1780272120000,58.203
1780272180000,73728.5,73800.0,73728.4,73800.0,80.654,1780272239999,5950003.60780,4433,66.606,4913634.80620,0,1780272180000,52.55799999999999
1780272240000,73799.9,73849.8,73768.0,73840.2,115.961,1780272299999,8560138.25330,4558,60.916,4496589.55580,0,1780272240000,5.870999999999995
1780272300000,73840.2,73861.5,73772.1,73802.2,210.638,1780272359999,15550511.60020,5899,83.542,6168022.13950,0,1780272300000,-43.554
1780272360000,73802.1,73848.3,73773.8,73773.9,53.929,1780272419999,3981437.58410,2449,12.909,952969.54240,0,1780272360000,-28.111
1780272420000,73773.9,73773.9,73711.0,73728.7,42.173,1780272479999,3109487.77840,2498,14.468,1066760.32500,0,1780272420000,-13.237000000000002
1780272480000,73728.8,73739.5,73696.0,73702.0,26.301,1780272539999,1938829.99380,1491,11.757,866772.42850,0,1780272480000,-2.786999999999999
1780272540000,73702.0,73733.8,73702.0,73719.9,20.114,1780272599999,1482804.98200,1133,13.024,960111.23550,0,1780272540000,5.9339999999999975
1780272600000,73720.0,73763.7,73694.8,73756.1,43.27,1780272659999,3190018.04230,2117,21.554,1589167.59690,0,1780272600000,-0.16200000000000614
1780272660000,73756.1,73756.1,73729.8,73742.2,16.772,1780272719999,1236744.80840,887,4.377,322739.74750,0,1780272660000,-8.017999999999999
1780272720000,73742.2,73749.8,73682.8,73684.2,52.804,1780272779999,3891478.72530,2095,18.988,1399262.83510,0,1780272720000,-14.828000000000003
1780272780000,73684.2,73707.9,73684.1,73707.9,30.334,1780272839999,2235364.00010,881,16.857,1242215.42180,0,1780272780000,3.379999999999999
1780272840000,73707.9,73781.7,73707.8,73781.6,33.006,1780272899999,2434127.83470,1901,28.246,2083131.71140,0,1780272840000,23.485999999999997
1780272900000,73781.7,73820.6,73781.6,73788.9,54.071,1780272959999,3990236.67880,2168,31.197,2302103.85630,0,1780272900000,8.323
1780272960000,73788.9,73823.0,73771.6,73806.3,38.661,1780273019999,2853186.69580,2067,23.115,1705836.05460,0,1780272960000,7.5689999999999955
1780273020000,73806.2,73806.2,73724.8,73730.4,34.208,1780273079999,2522975.22150,1708,9.307,686434.39870,0,1780273020000,-15.593999999999998
1780273080000,73730.5,73730.5,73693.0,73693.1,42.581,1780273139999,3138612.50100,1306,8.917,657242.46070,0,1780273080000,-24.747000000000003
1780273140000,73693.0,73714.9,73684.3,73698.0,18.107,1780273199999,1334487.86890,1296,7.524,554508.26210,0,1780273140000,-3.0589999999999993
1780273200000,73698.0,73715.9,73683.1,73715.9,33.692,1780273259999,2482995.41180,1365,25.782,1899990.62370,0,1780273200000,17.872
1780273260000,73715.9,73755.4,73715.8,73755.3,9.932,1780273319999,732340.50390,892,8.138,600068.41350,0,1780273260000,6.343999999999999
1780273320000,73755.3,73788.0,73744.6,73744.7,35.395,1780273379999,2611128.29900,2002,16.219,1196523.20680,0,1780273320000,-2.9570000000000007
1780273380000,73744.7,73788.0,73724.4,73787.9,27.191,1780273439999,2005622.84400,1700,20.379,1503227.97080,0,1780273380000,13.567000000000004
1780273440000,73787.9,73800.0,73767.1,73770.0,31.235,1780273499999,2304585.25070,1236,16.542,1220420.33990,0,1780273440000,1.8490000000000038
1780273500000,73770.1,73810.3,73770.0,73810.2,22.324,1780273559999,1647180.28040,1000,18.947,1397988.81070,0,1780273500000,15.569999999999997
1780273560000,73810.3,73810.3,73779.7,73783.5,38.185,1780273619999,2817683.60620,1479,11.259,830820.66740,0,1780273560000,-15.667000000000002
1780273620000,73783.4,73843.9,73783.4,73843.9,41.47,1780273679999,3061502.08210,1953,23.709,1750147.84720,0,1780273620000,5.948
1780273680000,73843.9,73907.2,73843.9,73899.9,116.105,1780273739999,8578800.27390,3048,75.935,5610333.57740,0,1780273680000,35.765
1780273740000,73900.0,73944.2,73900.0,73933.1,123.933,1780273799999,9161151.65820,2536,72.783,5380073.64430,0,1780273740000,21.632999999999996
1780273800000,73933.1,74070.5,73933.1,73942.1,611.346,1780273859999,45249255.00990,11965,257.365,19049419.89290,0,1780273800000,-96.61599999999999
1780273860000,73942.0,73946.8,73828.0,73828.0,187.737,1780273919999,13872827.59660,3865,36.726,2713143.43120,0,1780273860000,-114.285
1780273920000,73828.0,73852.5,73808.8,73845.5,59.726,1780273979999,4409844.01250,2475,28.265,2086822.69300,0,1780273920000,-3.195999999999998
1780273980000,73845.6,73866.5,73800.0,73807.5,41.88,1780274039999,3092230.90080,2005,17.664,1304169.61470,0,1780273980000,-6.552
1780274040000,73807.4,73894.6,73802.6,73891.4,92.554,1780274099999,6835116.21110,3093,64.973,4798810.10270,0,1780274040000,37.391999999999996
