idx,sym,dir,session,isPreBreakout,score,entry,stop,target,exit,resultR,pnlUsd,reason,tsMs,closedAt,durationMin,rangePct,rangeBars,vr,cvdInRange,cvdSlope,obi,priceVsVwap,stopPct,riskUsd,equity,confluenceFlags,vetoReason,win
1,BTCUSDT,Short,LondonNyOverlap,1,3,60926.9,60976,60779.6,60823.21553,2.1117,21.12,TRAILING_STOP,1780757640000,2026-06-06T14:58:00+00:00,4,0.1763,15,1.5,-80.76,6.5383,0.775887,0.125,0.081,10.0,521.12,stacked_imbalance|lvn_thin|obi_trap,,1
2,BTCUSDT,Short,NewYork,1,3,60507.1,60776.7,59698.3,60776.7,-1.0,-10.0,STOP_LOSS,1780768500000,2026-06-06T21:21:00+00:00,52,0.4119,20,1.94,-12.53,-23.1436,0.764267,-0.325,0.446,10.0,511.12,lvn_thin|vwap_bias|obi_trap,,0
3,SOLUSDT,Short,NewYork,1,1,61.44,61.67,60.75,61.67,-1.0,-10.0,STOP_LOSS,1780769340000,2026-06-06T18:11:00+00:00,2,0.4232,15,2.23,-26353.09,-1997.6,-0.00169461,-0.894,0.374,10.0,501.12,vwap_bias,,0
4,SOLUSDT,Short,London,0,1,64.61,64.91,64.01,64.91,-1.0,-10.0,STOP_LOSS,1780819500000,2026-06-07T08:36:00+00:00,31,0.4334,15,5.93,-18513.36,-17768.2,-0.170084,1.429,0.464,10.0,491.12,stacked_imbalance,,0
5,BNBUSDT,Short,London,0,3,591.58,594.33,586.08,586.355,1.9,19.0,TRAILING_STOP,1780834140000,2026-06-07T12:34:00+00:00,25,0.2451,15,4.95,-506.89,-212.895,0.309409,0.701,0.465,10.0,510.12,stacked_imbalance|lvn_thin|obi_trap,,1
6,SOLUSDT,Short,London,0,2,64.56,65.06,63.56,63.61,1.9,19.0,TRAILING_STOP,1780834140000,2026-06-07T12:42:00+00:00,33,0.4647,15,4.49,-10010.09,-11549.9,0.194406,0.587,0.774,10.0,529.12,stacked_imbalance|obi_trap,,1
7,SOLUSDT,Short,LondonNyOverlap,1,1,64.73,65.04,63.8,65.04,-1.0,-10.0,STOP_LOSS,1780848480000,2026-06-07T16:16:00+00:00,8,0.4635,15,1.8,-38927.43,-6198.71,0.0282696,0.764,0.479,10.0,519.12,stacked_imbalance,,0
8,BTCUSDT,Short,LondonNyOverlap,0,3,61996.4,62212.8,61563.6,62212.8,-1.0,-10.0,STOP_LOSS,1780851360000,2026-06-07T17:04:00+00:00,8,0.2868,15,5.66,-150.11,-84.8942,0.599202,0.034,0.349,10.0,509.12,stacked_imbalance|lvn_thin|obi_trap,,0
9,ETHUSDT,Short,NewYork,1,4,1629.36,1636.29,1608.57,1610.844426,2.6718,26.72,TRAILING_STOP,1780854480000,2026-06-07T19:18:00+00:00,71,0.3615,15,1.68,-822.41,-323.912,0.694555,-0.028,0.425,10.0,535.84,stacked_imbalance|lvn_thin|vwap_bias|obi_trap,,1
10,SOLUSDT,Short,NewYork,1,1,65.19,65.52,64.2,64.2,3.0,30.0,TAKE_PROFIT,1780856220000,2026-06-07T19:17:00+00:00,41,0.4755,15,1.62,-17809.78,-9991.34,-0.0301776,0.126,0.506,10.0,565.84,stacked_imbalance,,1
11,SOLUSDT,Short,NewYork,1,1,64.37,64.74,63.26,64.74,-1.0,-10.0,STOP_LOSS,1780868040000,2026-06-07T22:03:00+00:00,29,0.4195,15,1.62,-13045.91,-2237.16,-0.186141,0.279,0.575,10.0,555.84,stacked_imbalance,,0
12,SOLUSDT,Short,LondonNyOverlap,1,1,66.77,67.15,65.63,67.15,-1.0,-10.0,STOP_LOSS,1780924680000,2026-06-08T14:56:00+00:00,98,0.5242,15,1.69,-18260.83,-6847.58,-0.0255196,0.308,0.569,10.0,545.84,stacked_imbalance,,0
13,SOLUSDT,Short,LondonNyOverlap,1,1,66.92,67.32,65.72,67.32,-1.0,-10.0,STOP_LOSS,1780937700000,2026-06-08T17:59:00+00:00,64,0.523,15,2.64,-30317.73,-5877.07,-0.079468,0.114,0.598,10.0,535.84,stacked_imbalance,,0
14,SOLUSDT,Short,NewYork,1,1,67.21,67.47,66.43,67.47,-1.0,-10.0,STOP_LOSS,1780944420000,2026-06-08T18:56:00+00:00,9,0.4464,15,1.9,-17551.41,-3011.77,-0.155504,0.498,0.387,10.0,525.84,stacked_imbalance,,0
15,SOLUSDT,Short,NewYork,1,0,67.45,67.7,66.7,66.975,1.9,19.0,TRAILING_STOP,1780948200000,2026-06-08T20:17:00+00:00,27,0.4596,15,2.27,-61374.01,981.095,0.113041,0.306,0.371,10.0,544.84,,,1
16,BTCUSDT,Short,NewYork,0,4,63223.1,63406,62857.3,63406.0,-1.0,-10.0,STOP_LOSS,1780949520000,2026-06-08T20:54:00+00:00,42,0.221,15,5.1,-162.49,-19.168,0.253558,-0.322,0.289,10.0,534.84,stacked_imbalance|lvn_thin|vwap_bias|obi_trap,,0
17,SOLUSDT,Short,London,0,2,66.58,66.91,65.92,65.953,1.9,19.0,TRAILING_STOP,1780992360000,2026-06-09T10:06:00+00:00,120,0.4356,15,4.67,-15948.66,-11118.5,-0.513237,-0.121,0.496,10.0,553.84,stacked_imbalance|vwap_bias,,1
18,SOLUSDT,Short,London,0,2,66.01,66.43,65.17,66.43,-1.0,-10.0,STOP_LOSS,1781003640000,2026-06-09T12:03:00+00:00,49,0.4999,15,8.45,-36942.73,-9975.97,-0.122248,-0.831,0.636,10.0,543.84,stacked_imbalance|vwap_bias,,0
19,SOLUSDT,Short,London,1,1,65.98,66.28,65.08,66.28,-1.0,-10.0,STOP_LOSS,1781009160000,2026-06-09T13:00:00+00:00,14,0.5305,15,1.68,-21795.82,-5818.71,-0.0519936,-0.798,0.455,10.0,533.84,vwap_bias,,0
20,BTCUSDT,Short,LondonNyOverlap,0,3,62344.3,62670,61692.9,61725.47,1.9,19.0,TRAILING_STOP,1781011140000,2026-06-09T14:20:00+00:00,61,0.401,15,12.71,-226.73,-157.172,-0.733732,-0.873,0.522,10.0,552.84,stacked_imbalance|lvn_thin|vwap_bias,,1
21,BNBUSDT,Short,LondonNyOverlap,1,4,594.32,597.13,585.89,588.981,1.9,19.0,TRAILING_STOP,1781013840000,2026-06-09T14:21:00+00:00,17,0.392,15,2.25,-128.14,-160.806,0.299223,-0.921,0.473,10.0,571.84,stacked_imbalance|lvn_thin|vwap_bias|obi_trap,,1
22,ETHUSDT,Short,NewYork,1,1,1639.95,1648.28,1614.96,1648.28,-1.0,-10.0,STOP_LOSS,1781027280000,2026-06-09T18:18:00+00:00,30,0.4781,15,1.57,-4645.9,-971.711,-0.427152,0.3,0.508,10.0,561.84,lvn_thin,,0
23,XRPUSDT,Short,NewYork,1,2,1.1414,1.1441,1.1333,1.13627,1.9,19.0,TRAILING_STOP,1781039040000,2026-06-09T21:22:00+00:00,19,0.2628,15,5.15,-405786.7,-165903,0.251625,0.105,0.237,10.0,580.84,stacked_imbalance|obi_trap,,1
