id,ts_ms,session,open,high,low,close,volume,bar_delta,cvd_slope,obi_l5,dz,vr,stacked_imb,absorption,thin_above,thin_below,bid_wall,ask_wall,vpin,oi_momentum,vwap,regime,atr,operative,symbol,asian_high,asian_low,prev_day_high,prev_day_low,swing_high_50,swing_low_50,equal_high,equal_low,obi_fast,obi_slow,liq_ratio,spread_ticks,cvd_divergence,sweep_confirmed,obi_l10,obi_l20,datetime_utc
56816,1778538000000,OffHours,1.4717,1.4728,1.469,1.4703,1000950.0,134184,,,,0.8615,,,,,,,,,1.47393,,0.00254441,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:20:00
56817,1778538300000,OffHours,1.4702,1.4704,1.4683,1.4691,776425,-15618.4,,,,0.7366,,,,,,,,,1.47387,,0.00251267,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:25:00
211695,1778538540000,OffHours,1.4689,1.4692,1.4687,1.4691,160922,103845,,,,0.8573,,,,,,,,,1.47078,,0.00096514,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:29:00
56818,1778538600000,OffHours,1.4691,1.4705,1.4689,1.4698,590699,-61241.8,,,,0.5778,,,,,,,,,1.47383,,0.00244748,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:30:00
211696,1778538600000,OffHours,1.4691,1.4697,1.4689,1.4697,127535,-43692.2,,,,0.7023,,,,,,,,,1.47075,,0.00095334,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:30:00
211697,1778538660000,OffHours,1.4697,1.4699,1.4695,1.4699,112669,-61957.2,,,,0.6439,,,,,,,,,1.47074,,0.00091382,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:31:00
211698,1778538720000,OffHours,1.4699,1.4705,1.4698,1.47,108256,22464.4,,,,0.6369,,,,,,,,,1.47073,,0.00089855,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:32:00
211699,1778538780000,OffHours,1.4701,1.4701,1.4695,1.4697,102752,-59161.8,,,,0.6324,,,,,,,,,1.47072,,0.00087722,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:33:00
211700,1778538840000,OffHours,1.4697,1.4703,1.4697,1.4698,139486,81105,,,,0.8934,,,,,,,,,1.4707,,0.00085742,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:34:00
56819,1778538900000,OffHours,1.4697,1.4712,1.4695,1.4709,239995,95793.7,,,,0.2445,,,,,,,,,1.47381,,0.00239408,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:35:00
211701,1778538900000,OffHours,1.4697,1.4701,1.4695,1.4698,38128.8,11583,,,,0.2478,,,,,,,,,1.4707,,0.00083903,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:35:00
211702,1778538960000,OffHours,1.4698,1.4705,1.4698,1.4704,45724.3,35752.7,,,,0.319,,,,,,,,,1.4707,,0.0008291,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:36:00
211703,1778539020000,OffHours,1.4705,1.4708,1.4702,1.4703,49511.3,-8408.9,,,,0.3488,,,,,,,,,1.47069,,0.00081274,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:37:00
211704,1778539080000,OffHours,1.4702,1.4712,1.4702,1.4709,66593.2,54391.4,,,,0.4685,,,,,,,,,1.47069,,0.00082611,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:38:00
211705,1778539140000,OffHours,1.471,1.4711,1.4707,1.4709,40037.7,2475.5,,,,0.2978,,,,,,,,,1.4707,,0.00079568,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:39:00
56820,1778539200000,OffHours,1.4708,1.4717,1.4703,1.4717,448977,196956,,,,0.5299,,,,,,,,,1.47379,,0.00232308,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:40:00
211706,1778539200000,OffHours,1.4708,1.471,1.4703,1.4706,65423.5,-30518.3,,,,0.5249,,,,,,,,,1.47069,,0.00078884,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:40:00
211707,1778539260000,OffHours,1.4705,1.4711,1.4705,1.4708,80798.7,-16525.7,,,,0.6624,,,,,,,,,1.4707,,0.00077535,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:41:00
211708,1778539320000,OffHours,1.4707,1.4708,1.4703,1.4707,91831.7,63320.3,,,,0.7482,,,,,,,,,1.47069,,0.00075569,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:42:00
211709,1778539380000,OffHours,1.4708,1.4713,1.4708,1.4713,176576,157454,,,,1.4027,,,,,,,,,1.4707,,0.00074457,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:43:00
211710,1778539440000,OffHours,1.4713,1.4717,1.4712,1.4717,34347.3,23225.3,,,,0.2757,,,,,,,,,1.47071,,0.0007271,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:44:00
56821,1778539500000,OffHours,1.4716,1.473,1.4706,1.4729,338919,90789.4,,,,0.4118,,,,,,,,,1.47379,,0.00232857,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:45:00
211711,1778539500000,OffHours,1.4716,1.4719,1.4712,1.4712,43424.2,-1468.6,,,,0.3555,,,,,,,,,1.47071,,0.00072516,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:45:00
211712,1778539560000,OffHours,1.4712,1.4717,1.4706,1.4717,85067.6,8567.2,,,,0.7337,,,,,,,,,1.47072,,0.00075194,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:46:00
211713,1778539620000,OffHours,1.4717,1.4722,1.4717,1.4722,41107.5,32911.7,,,,0.3638,,,,,,,,,1.47072,,0.00073394,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:47:00
211714,1778539680000,OffHours,1.4722,1.4729,1.4722,1.4725,109978,45540.3,,,,0.9729,,,,,,,,,1.47075,,0.00073152,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:48:00
211715,1778539740000,OffHours,1.4726,1.473,1.4725,1.4729,59342.4,5238.8,,,,0.5242,,,,,,,,,1.47076,,0.00071498,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:49:00
56822,1778539800000,OffHours,1.4728,1.4768,1.4728,1.4747,1186570.0,140569,,,,1.4502,,,,,,,,,1.4738,,0.00244796,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:50:00
211716,1778539800000,OffHours,1.4728,1.4733,1.4728,1.4733,60518.2,44239.2,,,,0.5655,,,,,,,,,1.47078,,0.00069962,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:50:00
211717,1778539860000,OffHours,1.4733,1.4744,1.473,1.4743,131747,96682.7,,,,1.2196,,,,,,,,,1.47082,,0.00074965,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:51:00
211718,1778539920000,OffHours,1.4744,1.4768,1.474,1.4765,533101,262760,,,,4.3531,,,,,,,,,1.4711,,0.0008961,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:52:00
211719,1778539980000,OffHours,1.4764,1.4765,1.4751,1.4751,250736,-100804,,,,2.1598,,,,,,,,,1.47121,,0.0009321,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:53:00
211720,1778540040000,OffHours,1.4752,1.4752,1.4742,1.4747,210468,-162309,,,,1.7629,,,,,,,,,1.47129,,0.00093695,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:54:00
56823,1778540100000,OffHours,1.4748,1.4753,1.4736,1.4745,1516500.0,489015,,,,1.7796,,,,,,,,,1.47382,,0.00239453,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:55:00
211721,1778540100000,OffHours,1.4748,1.4748,1.4736,1.4736,58196.3,-31435.7,,,,0.4869,,,,,,,,,1.4713,,0.00095574,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:55:00
211722,1778540160000,OffHours,1.4736,1.4747,1.4736,1.4746,178620,130894,,,,1.508,,,,,,,,,1.47135,,0.00096604,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:56:00
211723,1778540220000,OffHours,1.4746,1.4753,1.4744,1.4749,588567,404247,,,,4.4604,,,,,,,,,1.47154,,0.00096132,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:57:00
211724,1778540280000,OffHours,1.4749,1.4751,1.4739,1.4747,584034,-57171.6,,,,4.0043,,,,,,,,,1.4717,,0.00097837,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:58:00
211725,1778540340000,OffHours,1.4746,1.4751,1.4744,1.4745,107078,42481.6,,,,0.7433,,,,,,,,,1.47173,,0.00095849,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 22:59:00
56824,1778540400000,OffHours,1.4745,1.4755,1.4725,1.4738,1877170.0,783715,,,,2.0998,,,,,,,,,1.47382,,0.00243778,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 23:00:00
211726,1778540400000,OffHours,1.4745,1.4746,1.4741,1.4741,123916,7399.4,,,,0.8609,,,,,,,,,1.47175,,0.00092574,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 23:00:00
211727,1778540460000,OffHours,1.4742,1.4742,1.4734,1.4739,92097.8,16640.2,,,,0.6429,,,,,,,,,1.47177,,0.00091676,,XRPUSDT,,,,,,,,,,,,,,,,,2026-05-11 23:01:00
