ts_ms,idx,entry,stop,target,rr,direction,session,liq_ratio_at_spike,dz_at_spike,accum_bars,range_pct,result,bars_to_exit,r_multiple
1748752380000,273,64073.99,63914.72,64392.53,2.0,LONG,Asia,0.936,102.048,21,0.141,TARGET_HIT,6,2.0
1748762580000,443,67525.44,67739.63,67097.08,2.0,SHORT,London,0.873,124.595,34,0.521,TARGET_HIT,6,2.0
1748766000000,500,66174.3,66226.27,66070.37,2.0,SHORT,London,0.667,37.862,26,0.244,STOP_HIT,1,-1.0
1748785860000,831,62471.2,62561.09,62291.42,2.0,SHORT,LondonNyOverlap,0.837,-45.041,28,0.212,TARGET_HIT,6,2.0
1748790180000,903,61267.44,61211.19,61379.93,2.0,LONG,LondonNyOverlap,0.22,-112.77,22,0.144,TARGET_HIT,1,2.0
1748821920000,1432,62667.4,62643.89,62714.42,2.0,LONG,LateNY,0.848,-22.993,19,0.081,STOP_HIT,1,-1.0
1748973300000,3955,69097.38,69109.9,69072.36,2.0,SHORT,NewYork,0.284,27.643,41,0.479,TARGET_HIT,1,2.0
1749178500000,7375,64245.06,64236.78,64261.64,2.0,LONG,Asia,0.723,104.457,54,0.099,STOP_HIT,1,-1.0
1749190140000,7569,66855.47,66857.87,66850.67,2.0,SHORT,Asia,0.79,101.909,37,0.486,STOP_HIT,1,-1.0
1749196500000,7675,65430.14,65504.65,65281.1,2.0,SHORT,London,1.022,39.556,18,0.07,TARGET_HIT,1,2.0
1749309360000,9556,57277.14,57188.35,57454.74,2.0,LONG,LondonNyOverlap,0.209,-47.711,21,0.428,TARGET_HIT,8,2.0
1749357600000,10360,56915.48,57137.81,56470.81,2.0,SHORT,Asia,0.724,23.233,23,0.574,TARGET_HIT,18,2.0
1749413100000,11285,56967.71,56928.86,57045.4,2.0,LONG,NewYork,0.951,30.624,39,0.048,STOP_HIT,1,-1.0
1749419220000,11387,57534.31,57304.36,57994.22,2.0,LONG,NewYork,1.13,31.027,59,0.225,TARGET_HIT,10,2.0
1749479640000,12394,59963.89,59788.52,60314.63,2.0,LONG,LondonNyOverlap,0.29,-4.698,41,0.205,TARGET_HIT,6,2.0
1749488040000,12534,59892.6,60048.96,59579.9,2.0,SHORT,LondonNyOverlap,1.129,-2.428,25,0.6,TARGET_HIT,11,2.0
1749495360000,12656,58260.21,58468.62,57843.37,2.0,SHORT,NewYork,0.524,-94.911,45,0.094,TARGET_HIT,7,2.0
1749518700000,13045,58403.07,58593.8,58021.62,2.0,SHORT,Asia,0.659,65.808,25,0.166,TARGET_HIT,5,2.0
1749522600000,13110,56792.97,56641.9,57095.13,2.0,LONG,Asia,0.701,-31.014,36,0.379,TARGET_HIT,12,2.0
1749535740000,13329,55972.93,55924.13,56070.53,2.0,LONG,Asia,0.886,-48.876,21,0.439,TARGET_HIT,6,2.0
1749553860000,13631,59902.79,60256.36,59195.65,2.0,SHORT,London,0.676,64.175,38,0.246,TARGET_HIT,7,2.0
1749578940000,14049,58941.44,59464.61,57895.11,2.0,SHORT,NewYork,0.529,56.455,32,0.514,TARGET_HIT,12,2.0
1749645000000,15150,46322.5,46418.9,46129.71,2.0,SHORT,LondonNyOverlap,0.852,-252.665,47,0.445,TARGET_HIT,18,2.0
1749719940000,16399,45029.1,44716.72,45653.87,2.0,LONG,London,0.922,-68.976,51,0.579,TARGET_HIT,17,2.0
1749787020000,17517,43037.35,43050.67,43010.69,2.0,SHORT,Asia,0.266,-52.423,24,0.165,STOP_HIT,2,-1.0
1749855300000,18655,47960.0,47880.57,48118.88,2.0,LONG,LateNY,0.275,311.44,30,0.063,TARGET_HIT,8,2.0
1749953340000,20289,48164.81,48139.79,48214.87,2.0,LONG,Asia,0.624,-26.671,30,0.57,TARGET_HIT,1,2.0
1749958200000,20370,49114.37,49108.32,49126.47,2.0,LONG,Asia,0.605,-4.206,27,0.227,TARGET_HIT,1,2.0
1749977880000,20698,50701.01,50699.52,50703.99,2.0,LONG,London,0.242,54.048,54,0.204,STOP_HIT,1,-1.0
1750065960000,22166,51899.42,51704.73,52288.79,2.0,LONG,London,0.438,10.736,23,0.164,TARGET_HIT,10,2.0
1750097460000,22691,49918.95,49904.14,49948.58,2.0,LONG,NewYork,0.226,-48.035,28,0.513,STOP_HIT,3,-1.0
1750131120000,23252,51103.45,51060.55,51189.25,2.0,LONG,Asia,1.146,41.362,47,0.192,TARGET_HIT,1,2.0
1750153740000,23629,54903.79,54821.78,55067.83,2.0,LONG,London,1.004,123.825,59,0.377,TARGET_HIT,9,2.0
1750165680000,23828,55007.63,55204.79,54613.3,2.0,SHORT,LondonNyOverlap,1.085,146.701,45,0.365,TARGET_HIT,11,2.0
1750275720000,25662,52541.98,52683.74,52258.46,2.0,SHORT,NewYork,0.214,5.535,52,0.581,TARGET_HIT,3,2.0
1750298160000,26036,53964.38,54104.18,53684.79,2.0,SHORT,Asia,0.492,29.711,58,0.487,TARGET_HIT,23,2.0
1750395120000,27652,48788.43,48799.29,48766.7,2.0,SHORT,Asia,0.282,36.437,27,0.199,TARGET_HIT,1,2.0
1750399980000,27733,47782.47,47786.45,47774.5,2.0,SHORT,Asia,0.898,-44.988,36,0.113,STOP_HIT,1,-1.0
1750566480000,30508,41653.67,41694.1,41572.8,2.0,SHORT,Asia,0.712,5.218,35,0.268,TARGET_HIT,2,2.0
1750585500000,30825,42396.2,42456.37,42275.86,2.0,SHORT,London,0.485,37.62,19,0.404,TARGET_HIT,9,2.0
1750603020000,31117,40640.22,40657.7,40605.25,2.0,SHORT,LondonNyOverlap,0.289,-56.119,50,0.467,TARGET_HIT,4,2.0
1750660860000,32081,39234.0,39456.87,38788.26,2.0,SHORT,Asia,0.62,6.979,42,0.493,TARGET_HIT,10,2.0
1750707180000,32853,39404.77,39415.93,39382.46,2.0,SHORT,NewYork,0.565,-17.52,60,0.285,STOP_HIT,1,-1.0
1750711080000,32918,37988.38,37875.52,38214.1,2.0,LONG,NewYork,0.976,-89.074,33,0.571,TARGET_HIT,15,2.0
1750721280000,33088,39165.14,39137.03,39221.37,2.0,LONG,LateNY,0.407,-18.174,26,0.287,TARGET_HIT,2,2.0
1750752360000,33606,38634.96,38553.27,38798.32,2.0,LONG,London,0.381,-22.627,52,0.457,TARGET_HIT,12,2.0
1750756800000,33680,39380.56,39477.26,39187.16,2.0,SHORT,London,0.976,13.925,19,0.545,TARGET_HIT,11,2.0
1750770540000,33909,38675.18,38641.86,38741.83,2.0,LONG,LondonNyOverlap,0.82,-7.075,52,0.346,TARGET_HIT,7,2.0
1750852320000,35272,42368.31,42401.68,42301.57,2.0,SHORT,London,0.927,36.953,24,0.532,TARGET_HIT,2,2.0
1750899540000,36059,36212.31,36082.83,36471.28,2.0,LONG,Asia,0.905,-6.135,57,0.253,TARGET_HIT,6,2.0
1750904760000,36146,36925.51,36968.64,36839.26,2.0,SHORT,Asia,0.755,63.032,57,0.293,TARGET_HIT,4,2.0
1750925040000,36484,36620.85,36596.01,36670.53,2.0,LONG,London,0.627,21.23,47,0.193,STOP_HIT,1,-1.0
1751020380000,38073,35987.83,36177.85,35607.79,2.0,SHORT,London,0.816,-1.426,49,0.113,TARGET_HIT,8,2.0
1751028000000,38200,35578.37,35564.05,35606.99,2.0,LONG,LondonNyOverlap,0.443,-30.258,24,0.11,STOP_HIT,1,-1.0
1751043540000,38459,35431.8,35453.11,35389.19,2.0,SHORT,LondonNyOverlap,0.486,-18.079,33,0.51,TARGET_HIT,5,2.0
1751071440000,38924,37129.62,37201.7,36985.45,2.0,SHORT,Asia,0.309,4.241,19,0.501,TARGET_HIT,9,2.0
1751137560000,40026,35571.2,35592.18,35529.23,2.0,SHORT,NewYork,0.848,-61.732,43,0.154,TARGET_HIT,1,2.0
1751145420000,40157,35786.67,35674.58,36010.84,2.0,LONG,NewYork,0.519,-29.875,43,0.298,TARGET_HIT,15,2.0
1751166120000,40502,35718.79,35577.43,36001.49,2.0,LONG,Asia,0.699,-18.363,54,0.234,TARGET_HIT,6,2.0
1751174820000,40647,35980.68,35966.01,36010.02,2.0,LONG,Asia,0.597,-16.919,18,0.18,TARGET_HIT,4,2.0
1751281200000,42420,35197.32,35079.31,35433.32,2.0,LONG,London,0.709,-49.586,46,0.238,TARGET_HIT,8,2.0
1751308140000,42869,39818.46,39933.92,39587.54,2.0,SHORT,NewYork,1.052,113.289,33,0.223,TARGET_HIT,5,2.0
1751311260000,42921,39344.62,39501.35,39031.16,2.0,SHORT,NewYork,0.416,150.87,19,0.577,TARGET_HIT,12,2.0
1751321700000,43095,37246.63,37197.24,37345.4,2.0,LONG,LateNY,0.241,45.407,43,0.155,TARGET_HIT,6,2.0
