sym,ts,ts_ms,session,direction,close,range_bars,range_pct,cvd_rng,vr,ext_pct,pre_cvd_ok,score,result_r,bars_held,reason,cum_delta,last5_delta,avg_obi,avg_vpin,expansion_n,stacked_bear,stacked_bull,oi_mom_n,vr_brk,dz_dir,obi_brk,flags
BTCUSDT,06-06 08:27,1780734420000,London,Long,61185.7,15,0.288,179.0,2.32,0.024,True,3.0,0.262,60,TIMEOUT,329.0,136.0,0.183,0.264,11,19,6,19,2.32,-1.73,-0.044,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.3x)
BTCUSDT,06-06 09:47,1780739220000,London,Short,60961.7,15,0.425,-67.0,4.01,0.099,True,3.0,2.0,43,TARGET,82.0,-21.0,0.251,0.212,4,16,9,10,4.01,-2.22,-0.811,pre_cvd_ok|vr_ok(4.0x)|obi_alineado
BTCUSDT,06-06 11:02,1780743720000,London,Long,60737.3,15,0.496,319.0,2.82,0.199,True,2.0,0.454,60,TIMEOUT,703.0,104.0,-0.227,0.221,2,18,7,0,2.82,-1.77,-0.705,rango_ok|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.8x)|VPIN_TOXICO
BTCUSDT,06-06 12:03,1780747380000,London,Long,60935.1,15,0.378,200.0,3.06,0.003,True,4.0,-1.0,26,STOP,273.0,326.0,-0.114,0.277,6,16,9,0,3.06,-2.71,-0.084,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.1x)
BTCUSDT,06-06 14:58,1780757880000,LondonNyOverlap,Short,60788.6,15,0.212,-44.0,2.41,0.096,False,4.0,2.0,20,TARGET,-42.0,19.0,0.215,0.235,0,18,7,1,2.41,-0.26,-0.969,rango_limpio|presion_vendedora_leve|vr_bajo(2.4x)|obi_alineado
BTCUSDT,06-06 16:26,1780763160000,LondonNyOverlap,Short,60582.5,15,0.276,-36.0,7.51,0.078,True,3.0,1.0,20,STOP,61.0,-23.0,0.098,0.202,2,16,9,6,7.51,-6.36,-0.335,rango_ok|pre_cvd_ok|vr_fuerte(7.5x)|obi_alineado|VPIN_TOXICO
BTCUSDT,06-06 18:28,1780770480000,NewYork,Long,60698.8,20,0.496,21.0,2.03,0.057,False,3.0,0.172,60,TIMEOUT,-3.0,-36.0,-0.187,0.225,0,17,8,8,2.03,0.82,-0.546,rango_limpio|dz_ok(0.8)|vr_bajo(2.0x)
BTCUSDT,06-07 08:02,1780819320000,London,Long,62399.7,15,0.344,1488.0,2.7,0.032,False,0,2.0,46,TARGET,1210.0,-30.0,0.052,0.288,10,17,8,0,2.7,-2.16,-0.594,presion_compradora_fuerte|vr_bajo(2.7x)|VPIN_TOXICO
BTCUSDT,06-07 09:47,1780825620000,London,Short,62400.5,15,0.211,-415.0,5.45,0.101,True,6.0,1.0,5,STOP,-793.0,-22.0,0.178,0.291,17,16,9,1,5.45,-5.4,-0.418,presion_vendedora_fuerte|pre_cvd_ok|vr_fuerte(5.4x)|obi_alineado
BTCUSDT,06-07 11:36,1780832160000,London,Long,62595.2,15,0.196,182.0,2.84,0.094,False,5.0,-1.0,33,STOP,218.0,-7.0,0.089,0.326,0,17,8,15,2.84,-1.82,0.324,rango_limpio|presion_compradora_fuerte|vr_bajo(2.8x)|obi_alineado
BTCUSDT,06-07 14:17,1780841820000,LondonNyOverlap,Long,61877.0,15,0.139,133.0,2.33,0.131,False,4.0,2.0,13,TARGET,131.0,-33.0,0.153,0.286,0,13,12,6,2.33,-2.26,0.818,rango_limpio|presion_compradora_leve|vr_bajo(2.3x)|obi_alineado
BTCUSDT,06-07 15:28,1780846080000,LondonNyOverlap,Long,61932.6,15,0.294,197.0,3.79,0.101,True,4.0,0.943,60,TIMEOUT,431.0,110.0,-0.147,0.274,9,18,7,7,3.79,-4.02,-0.092,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.8x)
BTCUSDT,06-07 16:55,1780851300000,LondonNyOverlap,Short,62077.5,15,0.155,-69.0,2.19,0.075,False,2.0,1.0,9,STOP,-105.0,13.0,0.155,0.215,1,17,8,8,2.19,-1.96,0.007,rango_ok|presion_vendedora_leve|vr_bajo(2.2x)
BTCUSDT,06-07 18:49,1780858140000,NewYork,Short,62093.0,15,0.172,-26.0,2.44,0.06,False,1.0,2.0,9,TARGET,12.0,10.0,-0.128,0.288,4,15,10,15,2.44,-2.13,-0.414,vr_bajo(2.4x)|obi_alineado
BTCUSDT,06-07 20:21,1780863660000,NewYork,Long,61798.4,15,0.42,264.0,3.57,0.184,True,5.0,-0.212,60,TIMEOUT,237.0,185.0,-0.003,0.31,16,12,13,16,3.57,-3.17,0.814,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.6x)|obi_alineado
BTCUSDT,06-08 08:21,1780906860000,London,Short,62979.0,15,0.304,-38.0,3.2,0.05,True,4.0,1.0,41,STOP,-91.0,-65.0,0.251,0.222,6,15,10,0,3.2,-3.84,-0.66,presion_vendedora_leve|pre_cvd_ok|vr_ok(3.2x)|obi_alineado
BTCUSDT,06-08 09:34,1780911240000,London,Short,63160.1,15,0.445,-203.0,2.02,0.165,True,2.0,-0.312,60,TIMEOUT,241.0,-144.0,-0.132,0.239,19,20,5,12,2.02,-1.3,-0.485,COMPRADORES_DOMINAN|pre_cvd_ok|vr_bajo(2.0x)|obi_alineado
BTCUSDT,06-08 11:10,1780917000000,London,Long,63418.6,15,0.33,15.0,2.56,0.299,True,2.0,-1.0,53,STOP,-275.0,273.0,0.053,0.347,4,12,13,9,2.56,-2.57,0.989,pre_cvd_ok|vr_bajo(2.6x)|obi_alineado
BTCUSDT,06-08 14:57,1780930620000,LondonNyOverlap,Long,64030.7,15,0.251,150.0,9.92,0.182,True,5.0,-1.045,60,TIMEOUT,319.0,102.0,0.038,0.231,0,19,6,14,9.92,-6.71,-0.529,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_fuerte(9.9x)|VPIN_TOXICO
BTCUSDT,06-08 16:24,1780935840000,LondonNyOverlap,Long,64007.0,15,0.352,80.0,3.27,0.047,True,4.0,-1.0,8,STOP,-117.0,87.0,0.052,0.247,0,21,4,17,3.27,-4.03,-0.076,rango_limpio|pre_cvd_ok|vr_ok(3.3x)
BTCUSDT,06-08 18:50,1780944600000,NewYork,Short,63332.2,15,0.289,-28.0,3.94,0.005,True,1.0,1.0,13,STOP,-90.0,-33.0,-0.06,0.256,11,17,8,0,3.94,-5.22,0.355,presion_vendedora_leve|pre_cvd_ok|vr_ok(3.9x)|VPIN_TOXICO
BTCUSDT,06-08 20:09,1780949340000,NewYork,Short,63301.6,15,0.174,-107.0,2.41,0.018,False,4.0,1.0,47,STOP,-91.0,12.0,-0.021,0.246,0,21,4,0,2.36,-1.67,-0.851,rango_limpio|presion_vendedora_leve|vr_bajo(2.4x)|obi_alineado
BTCUSDT,06-08 21:43,1780954980000,NewYork,Long,63787.2,15,0.286,69.0,3.04,0.008,True,3.0,-1.0,17,STOP,86.0,35.0,0.136,0.308,5,14,11,4,3.04,-1.08,-0.793,presion_compradora_leve|pre_cvd_ok|vr_ok(3.0x)
BTCUSDT,06-09 08:05,1780992300000,London,Short,62968.0,15,0.235,-82.0,5.1,0.106,True,5.0,0.712,60,TIMEOUT,-32.0,-83.0,-0.046,0.258,9,16,9,0,5.1,-0.1,-0.783,presion_vendedora_leve|pre_cvd_ok|vr_fuerte(5.1x)|obi_alineado
BTCUSDT,06-09 09:08,1780996080000,London,Short,62690.3,15,0.329,-139.0,3.24,0.084,True,4.0,0.297,60,TIMEOUT,-145.0,-99.0,-0.363,0.335,6,17,8,3,3.24,-3.01,-0.6,presion_vendedora_leve|pre_cvd_ok|vr_ok(3.2x)|obi_alineado
BTCUSDT,06-09 10:55,1781002500000,London,Long,62750.2,15,0.218,140.0,5.5,0.0,True,6.0,-1.0,8,STOP,99.0,169.0,-0.181,0.259,1,14,11,8,5.5,-3.82,0.672,rango_ok|presion_compradora_leve|pre_cvd_ok|vr_fuerte(5.5x)|obi_alineado
BTCUSDT,06-09 12:01,1781006460000,London,Long,62750.0,20,0.262,57.0,3.56,0.078,True,5.0,-1.0,33,STOP,-7.0,84.0,0.09,0.341,0,15,10,18,3.56,-1.0,0.844,rango_limpio|pre_cvd_ok|vr_ok(3.6x)|obi_alineado
BTCUSDT,06-09 13:19,1781011140000,LondonNyOverlap,Short,62344.3,15,0.401,-227.0,12.71,0.121,True,6.0,1.658,60,TIMEOUT,-162.0,-141.0,-0.044,0.239,1,14,11,12,12.71,-6.56,-0.734,rango_ok|presion_vendedora_leve|pre_cvd_ok|vr_fuerte(12.7x)|obi_alineado
BTCUSDT,06-09 15:55,1781020500000,LondonNyOverlap,Short,61119.3,30,0.483,-111.0,2.86,0.085,False,1.0,-0.531,60,TIMEOUT,59.0,26.0,0.009,0.202,7,17,8,11,2.86,-2.46,-0.098,vr_bajo(2.9x)|obi_alineado
BTCUSDT,06-09 18:18,1781029080000,NewYork,Long,61934.5,30,0.415,46.0,4.17,0.177,False,3.0,-1.0,26,STOP,-61.0,-32.0,-0.212,0.271,0,14,11,5,4.17,-4.2,-0.995,rango_limpio|vr_ok(4.2x)
BTCUSDT,06-09 19:31,1781033460000,NewYork,Long,61969.3,15,0.326,10.0,6.02,0.132,True,4.0,0.101,60,TIMEOUT,-182.0,1.0,0.031,0.239,6,17,8,0,6.02,-4.82,0.603,pre_cvd_ok|vr_fuerte(6.0x)|obi_alineado
BTCUSDT,06-09 21:18,1781039880000,NewYork,Short,61972.6,15,0.218,-322.0,4.61,0.051,True,7.0,2.0,46,TARGET,-580.0,-235.0,0.06,0.391,0,15,10,0,4.33,-3.39,-0.739,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_ok(4.3x)|obi_alineado
BTCUSDT,06-10 08:24,1781079840000,London,Short,61481.2,30,0.346,-412.0,2.38,0.037,True,2.0,2.0,55,TARGET,-196.0,-25.0,0.112,0.267,3,17,8,7,2.38,-1.6,0.574,presion_vendedora_leve|pre_cvd_ok|vr_bajo(2.4x)
BTCUSDT,06-10 10:30,1781087400000,London,Long,61376.9,15,0.358,67.0,2.2,0.071,True,4.0,-1.0,34,STOP,117.0,27.0,-0.02,0.253,8,16,9,13,2.2,1.15,0.507,presion_compradora_leve|pre_cvd_ok|dz_ok(1.1)|vr_bajo(2.2x)|obi_alineado
BTCUSDT,06-10 12:30,1781094600000,London,Long,61491.2,30,0.47,41.0,23.2,0.444,True,7.0,0.4,60,TIMEOUT,32.0,15.0,0.104,0.214,0,13,12,3,23.2,-6.82,0.792,rango_limpio|presion_compradora_leve|pre_cvd_ok|vr_fuerte(23.2x)|obi_alineado
BTCUSDT,06-10 13:31,1781098260000,LondonNyOverlap,Long,61753.9,15,0.501,435.0,2.56,0.062,True,4.0,0.248,60,TIMEOUT,447.0,398.0,0.156,0.205,6,13,12,13,2.56,-0.38,0.662,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.6x)|obi_alineado
BTCUSDT,06-10 14:59,1781103540000,LondonNyOverlap,Long,62170.8,15,0.42,83.0,2.28,0.2,True,4.0,1.126,60,TIMEOUT,178.0,30.0,-0.251,0.182,0,21,4,1,2.28,-0.78,-0.298,rango_limpio|presion_compradora_leve|pre_cvd_ok|vr_bajo(2.3x)
BTCUSDT,06-10 16:47,1781110020000,LondonNyOverlap,Short,61959.2,15,0.541,-43.0,4.99,0.146,True,5.0,0.454,60,TIMEOUT,-334.0,-109.0,0.045,0.247,4,19,6,4,4.99,-4.56,-0.083,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(5.0x)|obi_alineado
BTCUSDT,06-10 21:09,1781125740000,NewYork,Short,61591.1,20,0.328,-22.0,2.92,0.018,True,2.0,2.0,49,TARGET,-46.0,-101.0,0.093,0.276,3,15,10,0,2.92,-0.84,0.268,presion_vendedora_leve|pre_cvd_ok|vr_bajo(2.9x)
ETHUSDT,06-06 17:23,1780766580000,NewYork,Short,1556.74,20,0.401,-872.0,2.18,0.03,False,2.0,1.0,11,STOP,1245.0,526.0,-0.089,0.303,1,14,11,9,2.18,-2.56,-0.378,rango_ok|COMPRADORES_DOMINAN|PRE_CVD_CONTRA|vr_bajo(2.2x)|obi_alineado
ETHUSDT,06-06 18:26,1780770360000,NewYork,Long,1559.52,15,0.48,2329.0,2.36,0.17,True,5.0,-0.365,60,TIMEOUT,1524.0,4507.0,-0.217,0.284,0,16,9,6,2.36,-2.28,-0.74,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.4x)
ETHUSDT,06-06 21:11,1780780260000,NewYork,Long,1561.5,15,0.269,534.0,5.56,0.131,True,3.0,-1.0,53,STOP,-198.0,647.0,-0.076,0.291,6,10,15,1,5.56,-1.66,-0.457,pre_cvd_ok|vr_fuerte(5.6x)
ETHUSDT,06-07 08:05,1780819500000,London,Short,1610.19,15,0.34,-356.0,3.75,0.017,True,7.0,1.0,23,STOP,-723.0,-587.0,-0.166,0.229,0,13,12,0,3.75,-2.9,-0.264,rango_limpio|presion_vendedora_fuerte|pre_cvd_ok|vr_ok(3.8x)|obi_alineado
ETHUSDT,06-07 09:15,1780823700000,London,Long,1644.6,15,0.404,4099.0,3.91,0.124,True,4.0,-1.0,9,STOP,6005.0,3975.0,-0.107,0.176,17,11,14,0,3.91,-4.31,-0.038,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.9x)
ETHUSDT,06-07 10:48,1780829280000,London,Short,1625.11,15,0.423,-5591.0,6.98,0.079,True,6.0,1.0,59,STOP,-5473.0,-2008.0,0.26,0.262,2,13,12,8,6.98,-5.41,0.25,rango_ok|presion_vendedora_fuerte|pre_cvd_ok|vr_fuerte(7.0x)
ETHUSDT,06-07 12:09,1780834140000,London,Short,1619.6,15,0.401,-4139.0,15.14,0.337,True,5.0,0.217,60,TIMEOUT,-5701.0,-5933.0,-0.201,0.316,9,15,10,8,15.14,-6.68,0.165,presion_vendedora_fuerte|pre_cvd_ok|vr_fuerte(15.1x)
ETHUSDT,06-07 14:18,1780841880000,LondonNyOverlap,Long,1621.7,15,0.231,3758.0,2.18,0.075,True,6.0,2.0,4,TARGET,6305.0,1089.0,-0.11,0.226,0,16,9,5,2.18,-2.37,0.425,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.2x)|obi_alineado
ETHUSDT,06-07 15:45,1780847100000,LondonNyOverlap,Short,1627.29,15,0.395,-300.0,3.97,0.099,False,1.0,-0.226,60,TIMEOUT,5435.0,85.0,-0.0,0.213,12,10,15,10,3.97,-0.62,-0.534,COMPRADORES_DOMINAN|vr_ok(4.0x)|obi_alineado|STACKED_CONTRA
ETHUSDT,06-07 20:20,1780863600000,NewYork,Long,1622.57,15,0.441,8917.0,2.29,0.029,False,2.0,0.513,60,TIMEOUT,9004.0,-885.0,0.137,0.317,13,12,13,0,2.29,-2.06,-0.939,presion_compradora_fuerte|PRE_CVD_CONTRA|vr_bajo(2.3x)
ETHUSDT,06-07 21:40,1780868400000,NewYork,Short,1624.75,15,0.234,-1200.0,2.84,0.054,True,3.0,1.0,12,STOP,-3810.0,-1846.0,-0.106,0.3,3,15,10,0,2.84,-1.57,0.145,presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.8x)
ETHUSDT,06-08 08:01,1780905660000,London,Short,1667.24,15,0.48,-2835.0,2.04,0.105,True,4.0,0.48,60,TIMEOUT,-4553.0,-1943.0,0.02,0.255,3,16,9,7,2.04,-1.46,-0.138,presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.0x)|obi_alineado
ETHUSDT,06-08 09:16,1780910160000,London,Long,1670.23,15,0.525,2457.0,2.94,0.287,True,4.0,-1.0,19,STOP,2447.0,1215.0,0.266,0.26,4,14,11,11,2.94,-2.27,0.903,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.9x)|obi_alineado
ETHUSDT,06-08 11:10,1780917000000,London,Long,1680.95,15,0.336,4768.0,4.72,0.505,True,3.0,-0.555,60,TIMEOUT,4092.0,6429.0,0.126,0.234,3,13,12,4,4.72,-4.16,0.707,presion_compradora_fuerte|pre_cvd_ok|vr_ok(4.7x)|obi_alineado|VPIN_TOXICO
ETHUSDT,06-08 14:57,1780930620000,LondonNyOverlap,Long,1692.47,15,0.497,8353.0,3.89,0.162,True,7.0,-0.207,60,TIMEOUT,7892.0,2898.0,0.076,0.195,0,14,11,13,3.89,-4.96,0.897,rango_limpio|presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.9x)|obi_alineado
ETHUSDT,06-08 16:21,1780935660000,LondonNyOverlap,Long,1701.35,15,0.483,4067.0,3.58,0.041,True,4.0,-1.0,11,STOP,1956.0,4007.0,-0.002,0.272,9,14,11,16,3.58,-2.28,-0.066,presion_compradora_fuerte|pre_cvd_ok|vr_ok(3.6x)
ETHUSDT,06-08 18:00,1780941600000,NewYork,Long,1688.71,15,0.388,5478.0,2.97,0.169,True,4.0,-1.0,47,STOP,2435.0,736.0,0.067,0.304,10,15,10,6,2.97,-2.71,0.985,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(3.0x)|obi_alineado
ETHUSDT,06-08 19:02,1780945320000,NewYork,Long,1685.93,15,0.488,1565.0,2.06,0.018,False,2.0,-0.237,60,TIMEOUT,2236.0,-1651.0,0.243,0.272,7,14,11,0,2.06,-2.35,-0.372,presion_compradora_fuerte|PRE_CVD_CONTRA|vr_bajo(2.1x)
ETHUSDT,06-08 21:00,1780952400000,NewYork,Long,1689.81,15,0.233,298.0,2.26,0.068,True,3.0,2.0,4,TARGET,2402.0,854.0,0.054,0.27,12,10,15,0,2.26,-2.69,-0.995,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.3x)
ETHUSDT,06-09 08:05,1780992300000,London,Short,1674.83,30,0.309,-4968.0,4.67,0.07,True,4.0,-0.079,60,TIMEOUT,-343.0,-1595.0,-0.358,0.232,5,15,10,3,4.67,-0.36,0.917,presion_vendedora_fuerte|pre_cvd_ok|vr_ok(4.7x)
ETHUSDT,06-09 09:16,1780996560000,London,Long,1677.84,15,0.339,1268.0,2.61,0.033,True,3.0,-1.0,17,STOP,3069.0,429.0,0.03,0.29,4,12,13,12,2.61,-1.27,-0.949,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.6x)
ETHUSDT,06-09 10:52,1781002320000,London,Long,1673.33,15,0.191,1181.0,3.61,0.063,False,2.0,-1.0,11,STOP,1896.0,-356.0,-0.114,0.251,2,14,11,7,3.61,-3.62,-0.971,rango_ok|presion_compradora_fuerte|PRE_CVD_CONTRA|vr_ok(3.6x)|VPIN_TOXICO
ETHUSDT,06-09 11:58,1781006280000,London,Long,1672.18,15,0.194,955.0,9.28,0.047,True,4.0,2.0,5,TARGET,4206.0,1551.0,-0.005,0.337,1,9,16,15,9.28,-6.49,-0.277,rango_ok|presion_compradora_fuerte|pre_cvd_ok|vr_fuerte(9.3x)|VPIN_TOXICO
ETHUSDT,06-09 12:59,1781009940000,London,Long,1675.93,15,0.308,2223.0,2.59,0.019,True,3.0,-1.0,20,STOP,-184.0,1589.0,0.235,0.278,2,17,8,0,2.59,-2.73,0.935,rango_ok|pre_cvd_ok|vr_bajo(2.6x)|obi_alineado
ETHUSDT,06-09 18:18,1781029080000,NewYork,Long,1654.15,15,0.511,3037.0,6.52,0.424,False,7.0,-0.378,60,TIMEOUT,4342.0,-27.0,-0.066,0.228,0,13,12,12,6.52,-4.97,0.7,rango_limpio|presion_compradora_fuerte|vr_fuerte(6.5x)|obi_alineado
ETHUSDT,06-09 21:18,1781039880000,NewYork,Short,1654.44,15,0.289,-2013.0,2.53,0.047,True,5.0,1.005,60,TIMEOUT,-6155.0,-2288.0,-0.192,0.375,1,15,10,4,2.54,-1.35,-0.941,rango_ok|presion_vendedora_fuerte|pre_cvd_ok|vr_bajo(2.5x)|obi_alineado
ETHUSDT,06-10 08:32,1781080320000,London,Short,1631.48,15,0.456,-1324.0,4.07,0.001,False,0,2.0,36,TARGET,288.0,541.0,0.18,0.274,8,12,13,9,4.07,-3.44,0.895,COMPRADORES_DOMINAN|PRE_CVD_CONTRA|vr_ok(4.1x)|STACKED_CONTRA
ETHUSDT,06-10 09:56,1781085360000,London,Long,1624.79,30,0.529,7061.0,2.5,0.118,True,2.0,0.358,60,TIMEOUT,-32.0,2804.0,-0.097,0.219,13,17,8,14,2.5,-0.26,0.75,pre_cvd_ok|vr_bajo(2.5x)|obi_alineado
ETHUSDT,06-10 12:05,1781093100000,London,Long,1622.99,15,0.474,4583.0,2.12,0.018,True,4.0,2.0,25,TARGET,7625.0,5783.0,-0.049,0.258,7,12,13,11,2.12,-0.87,0.597,presion_compradora_fuerte|pre_cvd_ok|vr_bajo(2.1x)|obi_alineado
ETHUSDT,06-10 13:21,1781097660000,LondonNyOverlap,Long,1636.57,15,0.265,5215.0,3.0,0.096,True,0,2.0,14,TARGET,-749.0,108.0,0.016,0.293,9,14,11,7,3.0,-5.55,0.87,pre_cvd_ok|vr_bajo(3.0x)|obi_alineado|VPIN_TOXICO
ETHUSDT,06-10 18:50,1781117400000,NewYork,Short,1623.7,15,0.421,-6840.0,3.93,0.034,True,2.0,1.0,10,STOP,1830.0,-2873.0,0.049,0.238,7,17,8,0,3.93,-1.28,0.986,COMPRADORES_DOMINAN|pre_cvd_ok|vr_ok(3.9x)
