timestamp_ms,direction,entry_price,stop_price,target_price,rr,range_high,range_low,range_pct,range_bars,cvd_in_range,spike_extreme,spike_direction,vr_at_spike,bar_delta_at_spike,vr_at_entry,cvd_slope_at_entry,session,exit,result_r,exit_bars
1767603900000,Long,92384.3,92218.1664,92716.5672,2.0,92552.0,92305.6,0.2667,15,145.21,92292.0,Down,3.356,82.47,2.199,11.75,London,TARGET,2.0,42
1769475600000,Short,88259.4,88391.15639999999,87995.8872,2.0,88281.6,88205.9,0.0858,15,-37.63,88320.5,Up,4.419,-149.19,2.163,-12.23,Asia,STOP,-1.0,21
1770993180000,Short,67288.2,67491.14975999999,66882.30048000002,2.0,67388.0,67094.4,0.4363,43,-347.52,67437.2,Up,3.231,-47.99,4.857,-15.65,LondonNyOverlap,STOP,-1.0,1
1771054920000,Long,69028.9,68859.868,69366.96399999998,2.0,68946.5,68848.1,0.1425,15,-28.16,68915.0,Down,6.585,109.48,4.833,10.48,Asia,TARGET,2.0,19
1771273200000,Short,67965.8,68086.42559999999,67724.54880000003,2.0,67974.2,67788.6,0.2731,24,-264.04,68032.0,Up,3.538,-18.98,1.639,-14.18,NewYork,STOP,-1.0,6
1772279160000,Long,64005.2,63888.848,64237.903999999995,2.0,64267.9,63988.3,0.4368,23,712.65,63940.0,Down,3.286,155.52,2.551,44.68,London,STOP,-1.0,9
1772923560000,Short,67265.1,67353.84,67087.62000000002,2.0,67293.0,67058.0,0.3494,23,-213.36,67300.0,Up,2.474,-59.36,4.823,-11.04,Asia,STOP,-1.0,35
1773547620000,Long,71528.6,71266.64104,72052.51792000001,2.0,71400.0,71166.3,0.3267,38,-584.32,71323.7,Down,2.141,109.83,1.526,13.95,Asia,OPEN,,
1775649960000,Long,71687.5,71624.75432000001,71812.99135999999,2.0,71687.6,71448.0,0.3342,23,750.44,71682.1,Down,3.246,214.93,2.219,45.16,London,TARGET,2.0,8
1775909580000,Long,72842.7,72840.48096,72847.13807999999,2.0,72900.0,72812.0,0.1208,16,229.42,72898.8,Down,2.355,2.58,1.622,11.41,London,TARGET,2.0,1
1776656940000,Long,74555.3,74453.68936,74758.52128,2.0,74556.3,74325.9,0.309,38,291.2,74513.3,Down,2.601,72.16,1.943,11.65,Asia,STOP,-1.0,27
1776855840000,Long,78186.0,78162.9196,78232.16080000001,2.0,78250.0,78040.0,0.2686,15,329.76,78225.5,Down,5.6,105.22,2.261,10.44,London,TARGET,2.0,1
1777872660000,Long,79995.7,79879.14552,80228.80895999998,2.0,80319.1,79975.1,0.43,20,307.81,79943.1,Down,5.657,234.07,2.492,25.05,Asia,STOP,-1.0,35
1777979460000,Long,80787.8,80724.26887999999,80914.86224000003,2.0,80789.0,80684.0,0.13,15,650.74,80788.9,Down,9.717,910.99,2.676,46.78,London,TARGET,2.0,3
