num,fecha,symbol,session,range_bars,range_pct,range_cvd,pre_cvd_flip,cvd_flip_ratio,vr_at_breakout,breakout_delta,close_loc,bear_body,upper_wick,entry_price,stop_price,target_price,rr,result_r,exit_reason,bars_held,exit_price,pnl_usd,balance_after
1,2026-01-03 11:09,XRPUSDT,London,8,0.0021490329351792656,51734.39999999996,-65470.50000000004,1.2655119224345908,2.7796790295106497,-92195.39999999997,0.235,0.706,0.059,1.9996,2.0047,1.9960999999999998,0.6862745098039625,-0.059,TIME_STOP,30,1.9999,-0.59,499.41
2,2026-01-04 09:24,BNBUSDT,London,8,0.001342948392411839,103.54000000000002,-298.51,2.8830403708711603,3.076818521030764,-384.32,0.078,0.856,0.067,885.34,886.83,884.4499999999999,0.5973154362416743,-1.0,STOP,26,886.83,-9.99,489.42
3,2026-01-05 14:35,ETHUSDT,LondonNyOverlap,8,0.004478304537422017,2718.838999999999,-1496.5729999999999,0.5504456129987838,7.246462506437376,-6642.597,0.167,0.699,0.134,3137.28,3156.8,3128.62,0.4436475409836228,-1.0,STOP,3,3156.8,-9.79,479.63
4,2026-01-07 14:19,BTCUSDT,LondonNyOverlap,8,0.0023914401954230383,106.83500000000002,-109.72099999999996,1.0270136191323063,4.900281078921107,-239.69399999999996,0.17,0.777,0.053,91470.3,91719.3,91281.49999999999,0.7582329317269778,-1.0,STOP,16,91719.3,-9.59,470.04
5,2026-01-09 12:44,SOLUSDT,LondonNyOverlap,8,0.0022502903600464742,3395.2400000000025,-9436.470000000001,2.779323405709168,2.6537360048122465,-5498.459999999999,0.278,0.722,0.0,137.63,138.01,137.39,0.6315789473684525,-1.0,STOP,25,138.01,-9.4,460.64
6,2026-01-09 14:44,BTCUSDT,LondonNyOverlap,8,0.005814856392348584,103.18599999999994,-228.24099999999996,2.211937665962438,2.7335927717703026,-0.24600000000003774,0.155,0.736,0.109,90050.6,90630.2,89581.8,0.808833678398913,-0.289,TIME_STOP,30,90217.9,-2.66,457.98
7,2026-01-10 12:43,XRPUSDT,LondonNyOverlap,8,0.0013318746135185919,39310.99999999994,-587037.8,14.93316883315105,2.7836935700666086,-418560.2,0.294,0.647,0.059,2.1012,2.1046,2.0989999999999998,0.6470588235294579,0.647,TARGET,9,2.099,5.93,463.9
8,2026-01-10 13:13,SOLUSDT,LondonNyOverlap,8,0.0014671361502346584,1164.7200000000012,-15988.150000000001,13.727033106669401,3.555706198152639,-12912.02,0.3,0.6,0.1,136.27,136.5,136.10000000000002,0.7391304347825872,0.739,TARGET,12,136.1,6.86,470.76
9,2026-01-11 15:21,BNBUSDT,LondonNyOverlap,8,0.002538489433949764,753.65,-353.31000000000006,0.4687985138990248,2.9248577092521297,-986.1499999999999,0.198,0.669,0.134,908.84,911.66,907.0400000000001,0.6382978723404238,0.638,TARGET,27,907.04,6.01,476.77
10,2026-01-12 14:16,ETHUSDT,LondonNyOverlap,8,0.0016699701400329663,1688.759,-2611.601,1.5464616324768663,6.640332163505701,-4074.972,0.122,0.878,0.0,3103.82,3109.32,3098.94,0.8872727272727471,0.887,TARGET,1,3098.94,8.46,485.22
11,2026-01-14 11:19,XRPUSDT,London,8,0.0017873100983020673,158477.50000000003,-280859.9,1.7722383303623541,3.964959177082093,-147686.5,0.34,0.66,0.0,2.123,2.128,2.1204,0.5200000000000427,-1.0,STOP,2,2.128,-9.7,475.52
