num,fecha,symbol,session,score,orig_r,sim_r,diff_r,reason_orig,reason_sim,entry,stop,target,exit_orig,pnl_orig_usd,pnl_sim_usd,balance_usd,no_data,bars_held
1,2026-06-02 08:48,BTCUSDT,London,,2.0,2.0,-0.0,TARGET,TARGET,69784.0,69958.46,69435.08,69435.08,18.0,18.0,468.0,,35
2,2026-06-02 12:18,BTCUSDT,London,,2.0,-1.0,-3.0,TARGET,STOP,69222.1016,69395.1568,68875.9911,68875.99,18.0,-9.0,459.0,,6
3,2026-06-02 16:36,BTCUSDT,LondonNyOverlap,,2.0,-1.0,-3.0,TARGET,STOP,67637.2031,67806.2961,67299.0171,67299.02,18.0,-9.0,450.0,,11
4,2026-06-03 09:48,BTCUSDT,London,,-1.0,-1.0,0.0,STOP,STOP,66645.8047,66812.4192,66312.5757,66812.42,-9.0,-9.0,441.0,,2
5,2026-06-03 11:34,BTCUSDT,London,,2.0,2.0,0.0,TARGET,TARGET,67140.1016,67307.9518,66804.4011,66804.4,18.0,18.0,459.0,,43
6,2026-06-03 13:25,BTCUSDT,LondonNyOverlap,,2.0,-1.0,-3.0,TARGET,STOP,66895.1016,67062.3393,66560.6261,66560.63,18.0,-9.0,450.0,,1
7,2026-06-03 16:01,BTCUSDT,LondonNyOverlap,,2.0,-1.0,-3.0,TARGET,STOP,65907.3984,66072.1669,65577.8614,65577.86,18.0,-9.0,441.0,,1
8,2026-06-04 16:30,BTCUSDT,LondonNyOverlap,,2.0,-1.0,-3.0,TARGET,STOP,63554.4023,63713.2883,63236.6303,63236.63,18.0,-9.0,432.0,,9
9,2026-06-05 08:55,BTCUSDT,London,0,2.0,-1.0,-3.0,TARGET,STOP,62290.1992,62445.9247,61978.7482,61978.7482,18.0,-9.0,423.0,,3
10,2026-06-06 09:47,BTCUSDT,London,0,1.324,2.0,0.676,TRAILING_STOP,TARGET,60961.7031,61114.1074,60656.8946,60759.9738,11.91,18.0,441.0,,24
11,2026-06-06 16:19,BNBUSDT,LondonNyOverlap,0,2.0,2.0,0.0,TARGET,TARGET,574.39,575.826,571.5181,571.5181,18.0,18.0,459.0,,16
12,2026-06-07 08:05,ETHUSDT,London,4,-1.0,-1.0,0.0,STOP,STOP,1610.1901,1614.2155,1602.1391,1614.2155,-9.0,-9.0,450.0,,18
13,2026-06-07 09:47,ETHUSDT,London,4,-1.0,-1.0,0.0,STOP,STOP,1630.3301,1634.4059,1622.1784,1634.4059,-9.0,-9.0,441.0,,4
14,2026-06-07 09:47,BNBUSDT,London,3,-1.0,-0.398,0.602,STOP,TIME_STOP,592.78,594.262,589.8161,594.262,-9.0,-3.58,437.42,,36
15,2026-06-07 12:07,BNBUSDT,London,3,2.0,2.0,0.0,TARGET,TARGET,593.34,594.8234,590.3733,590.3733,18.0,18.0,455.42,,4
16,2026-06-07 15:45,ETHUSDT,LondonNyOverlap,0,-1.0,-1.0,0.0,STOP,STOP,1627.29,1631.3583,1619.1536,1631.3583,-9.0,-9.0,446.42,,1
17,2026-06-08 08:00,BNBUSDT,London,4,-1.0,-0.121,0.879,STOP,TIME_STOP,595.63,597.1191,592.6519,597.1191,-9.0,-1.09,445.33,,34
18,2026-06-08 08:01,ETHUSDT,London,3,2.0,-0.362,-2.362,TARGET,TIME_STOP,1667.24,1671.4081,1658.9038,1658.9038,18.0,-3.26,442.07,,34
19,2026-06-08 10:17,BTCUSDT,London,0,-0.013,-0.886,-0.873,TIME_STOP,TIME_STOP,63278.5,63436.6963,62962.1075,63280.5,-0.11,-7.97,434.1,,54
20,2026-06-08 10:27,BNBUSDT,London,0,-1.0,-1.0,0.0,STOP,STOP,597.31,598.8033,594.3234,598.8033,-9.0,-9.0,425.1,,8
21,2026-06-08 12:01,BNBUSDT,London,4,-1.0,-1.0,0.0,STOP,STOP,601.03,602.5326,598.0249,602.5326,-9.0,-9.0,416.1,,1
22,2026-06-08 13:29,BNBUSDT,LondonNyOverlap,5,-1.0,-1.0,0.0,STOP,STOP,600.29,601.7908,597.2886,601.7908,-9.0,-9.0,407.1,,25
23,2026-06-08 16:55,SOLUSDT,LondonNyOverlap,3,2.0,2.0,-0.0,TARGET,TARGET,66.92,67.0873,66.5854,66.5854,18.0,18.0,425.1,,9
24,2026-06-09 08:06,SOLUSDT,London,5,-0.3,-0.12,0.18,TIME_STOP,TIME_STOP,66.58,66.7465,66.2471,66.63,-2.7,-1.08,424.02,,30
25,2026-06-09 08:07,BNBUSDT,London,3,2.0,-0.784,-2.784,TARGET,TIME_STOP,602.3,603.8057,599.2885,599.2885,18.0,-7.05,416.96,,30
26,2026-06-09 11:14,ETHUSDT,London,4,-1.0,-1.0,0.0,STOP,STOP,1667.5801,1671.749,1659.2422,1671.749,-9.0,-9.0,407.96,,29
27,2026-06-09 11:14,BNBUSDT,London,4,-1.0,-1.0,0.0,STOP,TRAILING,598.92,600.4173,595.9254,600.4173,-9.0,-9.0,398.96,,50
28,2026-06-09 13:37,BTCUSDT,LondonNyOverlap,4,-1.0,-1.0,0.0,STOP,STOP,62150.9961,62306.3736,61840.2411,62306.3736,-9.0,-9.0,389.96,,6
29,2026-06-09 14:04,BNBUSDT,LondonNyOverlap,0,0.802,2.0,1.198,TRAILING_STOP,TARGET,594.32,595.8058,591.3484,593.1286,7.22,18.0,407.96,,12
30,2026-06-09 15:55,BTCUSDT,LondonNyOverlap,4,-2.42,-0.079,2.341,SESSION_END,TIME_STOP,61119.2969,61272.0951,60813.7004,61489.8,-21.78,-0.71,407.26,,38
31,2026-06-09 16:19,SOLUSDT,LondonNyOverlap,4,-2.26,-1.0,1.26,SESSION_END,STOP,63.8,63.9595,63.481,64.2,-20.34,-9.0,398.26,,1
32,2026-06-09 21:18,ETHUSDT,NewYork,5,1.322,2.0,0.678,SESSION_END,TARGET,1654.4399,1658.576,1646.1677,1648.97,11.9,18.0,416.26,,45
33,2026-06-09 21:19,BTCUSDT,NewYork,5,1.25,-0.023,-1.273,SESSION_END,TIME_STOP,61932.6992,62087.531,61623.0357,61739.1992,11.25,-0.21,416.05,,76
34,2026-06-09 21:19,SOLUSDT,NewYork,4,2.0,2.0,0.0,TARGET,TARGET,65.26,65.4232,64.9337,64.9337,18.0,18.0,434.05,,25
35,2026-06-10 08:03,SOLUSDT,London,0,-1.0,-1.0,0.0,STOP,STOP,64.16,64.2436,63.9929,64.2436,-9.0,-9.0,425.05,,1
36,2026-06-10 09:19,BNBUSDT,London,5,1.0,-1.0,-2.0,TRAILING_STOP,STOP,582.9,583.5486,581.6029,582.6691,9.0,-9.0,416.05,,1
37,2026-06-10 09:19,BTCUSDT,London,5,1.0,-1.0,-2.0,TRAILING_STOP,STOP,61001.2031,61064.4383,60874.7327,60933.7863,9.0,-9.0,407.05,,1
38,2026-06-10 11:25,BNBUSDT,London,4,-1.0,-1.0,0.0,STOP,STOP,581.4,582.2407,579.7186,582.2407,-9.0,-9.0,398.05,,1
39,2026-06-10 15:48,BNBUSDT,LondonNyOverlap,3,-1.0,-1.0,0.0,STOP,STOP,594.1,595.065,592.17,595.065,-9.0,-9.0,389.05,,1
40,2026-06-11 12:15,XRPUSDT,London,3,1.0,-1.0,-2.0,TRAILING_STOP,STOP,1.1181,1.1216,1.1076,1.1127,9.0,-9.0,380.05,,1
41,2026-06-11 13:03,ETHUSDT,LondonNyOverlap,4,-0.282,-1.0,-0.718,TIME_STOP,STOP,1648.28,1654.53,1629.53,1650.04,-2.53,-9.0,371.05,,1
42,2026-06-11 20:47,XRPUSDT,NewYork,7,-1.0,-1.0,0.0,STOP,STOP,1.1321,1.135,1.1234,1.135,-9.0,-9.0,362.05,,1
43,2026-06-12 12:01,XRPUSDT,London,6,-0.225,-1.0,-0.775,TIME_STOP,STOP,1.1393,1.1433,1.1273,1.1402,-2.03,-9.0,353.05,,1
44,2026-06-12 17:12,BNBUSDT,NewYork,3,-0.205,-0.205,0.0,TIME_STOP,ND(TIMEOUT),607.87,609.82,602.02,608.27,-1.85,-1.85,351.2,Y,23
