num,fecha,sym,score,session,result_r,entry,stop,target,risk,pre_high,pre_move,post_move,pct_done,pre_move_r,max_pot_r,nota
1,2026-06-02 08:48,BTCUSDT,,London,2.0,69784.0,69958.46,69435.08,174.46,70060.0,276.0,348.92,44.2,1.58,3.58,MEDIO (40-60%)
2,2026-06-02 12:18,BTCUSDT,,London,2.0,69222.1015625,69395.1568164062,68875.9910546875,173.06,69584.7,362.6,346.11,51.2,2.1,4.1,MEDIO (40-60%)
3,2026-06-02 16:36,BTCUSDT,,LondonNyOverlap,2.0,67637.203125,67806.2961328125,67299.017109375,169.09,68121.9,484.7,338.19,58.9,2.87,4.87,MEDIO (40-60%)
4,2026-06-03 09:48,BTCUSDT,,London,-1.0,66645.8046875,66812.4191992187,66312.5756640625,166.61,66883.5,237.7,333.23,41.6,1.43,3.43,MEDIO (40-60%)
5,2026-06-03 11:34,BTCUSDT,,London,2.0,67140.1015625,67307.9518164062,66804.4010546875,167.85,67330.8,190.7,335.7,36.2,1.14,3.14,temprano (<40%)
6,2026-06-03 13:25,BTCUSDT,,LondonNyOverlap,2.0,66895.1015625,67062.3393164062,66560.6260546875,167.24,67220.2,325.1,334.48,49.3,1.94,3.94,MEDIO (40-60%)
7,2026-06-03 16:01,BTCUSDT,,LondonNyOverlap,2.0,65907.3984375,66072.1669335937,65577.8614453125,164.77,66433.6,526.2,329.54,61.5,3.19,5.19,TARDE (>60%)
8,2026-06-04 16:30,BTCUSDT,,LondonNyOverlap,2.0,63554.40234375,63713.2883496094,63236.6303320313,158.89,63858.8,304.4,317.77,48.9,1.92,3.92,MEDIO (40-60%)
9,2026-06-05 08:55,BTCUSDT,0,London,2.0,62290.19921875,62445.9247167969,61978.7482226562,155.73,62899.0,608.8,311.45,66.2,3.91,5.91,TARDE (>60%)
10,2026-06-06 09:47,BTCUSDT,0,London,1.323646,60961.703125,61114.1073828125,60656.894609375,152.4,61298.2,336.5,304.81,52.5,2.21,4.21,MEDIO (40-60%)
11,2026-06-06 16:19,BNBUSDT,0,LondonNyOverlap,2.0,574.390014648438,575.825989685059,571.518064575195,1.44,578.0,3.61,2.87,55.7,2.51,4.51,MEDIO (40-60%)
12,2026-06-07 08:05,ETHUSDT,4,London,-1.0,1610.19006347656,1614.21553863525,1602.13911315918,4.03,1615.94,5.75,8.05,41.7,1.43,3.43,MEDIO (40-60%)
13,2026-06-07 09:47,BNBUSDT,3,London,-1.0,592.780029296875,594.261979370117,589.816129150391,1.48,597.16,4.38,2.96,59.6,2.96,4.96,MEDIO (40-60%)
14,2026-06-07 09:47,ETHUSDT,4,London,-1.0,1630.330078125,1634.40590332031,1622.17842773437,4.08,1641.99,11.66,8.15,58.9,2.86,4.86,MEDIO (40-60%)
15,2026-06-07 12:07,BNBUSDT,3,London,2.0,593.340026855469,594.823376922607,590.373326721191,1.48,595.12,1.78,2.97,37.5,1.2,3.2,temprano (<40%)
16,2026-06-07 15:45,ETHUSDT,0,LondonNyOverlap,-1.0,1627.2900390625,1631.35826416016,1619.15358886719,4.07,1635.33,8.04,8.14,49.7,1.98,3.98,MEDIO (40-60%)
17,2026-06-08 08:00,BNBUSDT,4,London,-1.0,595.630004882812,597.119079895019,592.651854858398,1.49,595.12,-0.51,2.98,-20.7,-0.34,1.66,temprano (<40%)
18,2026-06-08 08:01,ETHUSDT,3,London,2.0,1667.23999023438,1671.40809020996,1658.9037902832,4.17,1636.67,-30.57,8.34,0,-7.33,-5.33,temprano (<40%)
19,2026-06-08 10:17,BTCUSDT,0,London,-0.012643,63278.5,63436.69625,62962.1075,158.2,63292.8,14.3,316.39,4.3,0.09,2.09,temprano (<40%)
20,2026-06-08 10:27,BNBUSDT,0,London,-1.0,597.309997558594,598.80327255249,594.323447570801,1.49,595.12,-2.19,2.99,-274.9,-1.47,0.53,temprano (<40%)
21,2026-06-08 12:01,BNBUSDT,4,London,-1.0,601.030029296875,602.532604370117,598.024879150391,1.5,595.12,-5.91,3.01,0,-3.93,-1.93,temprano (<40%)
22,2026-06-08 13:29,BNBUSDT,5,LondonNyOverlap,-1.0,600.2900390625,601.790764160156,597.288588867188,1.5,595.12,-5.17,3.0,0,-3.45,-1.45,temprano (<40%)
23,2026-06-08 16:55,SOLUSDT,3,LondonNyOverlap,2.0,66.9199981689453,67.0872981643677,66.5853981781006,0.17,64.77,-2.15,0.33,0,-12.85,-10.85,temprano (<40%)
24,2026-06-09 08:06,SOLUSDT,5,London,-0.300379,66.5800018310547,66.7464518356323,66.2471018218994,0.17,64.77,-1.81,0.33,0,-10.87,-8.87,temprano (<40%)
25,2026-06-09 08:07,BNBUSDT,3,London,2.0,602.299987792969,603.805737762451,599.288487854004,1.51,595.12,-7.18,3.01,0,-4.77,-2.77,temprano (<40%)
26,2026-06-09 11:14,BNBUSDT,4,London,-1.0,598.919982910156,600.417282867432,595.925382995605,1.5,595.12,-3.8,2.99,0,-2.54,-0.54,temprano (<40%)
27,2026-06-09 11:14,ETHUSDT,4,London,-1.0,1667.580078125,1671.74902832031,1659.24217773437,4.17,1636.67,-30.91,8.34,0,-7.41,-5.41,temprano (<40%)
28,2026-06-09 13:37,BTCUSDT,4,LondonNyOverlap,-1.0,62150.99609375,62306.3735839844,61840.2411132812,155.38,63292.8,1141.8,310.75,78.6,7.35,9.35,TARDE (>60%)
29,2026-06-09 14:04,BNBUSDT,0,LondonNyOverlap,0.801879,594.320007324219,595.805807342529,591.348407287598,1.49,595.12,0.8,2.97,21.2,0.54,2.54,temprano (<40%)
30,2026-06-09 15:55,BTCUSDT,4,LondonNyOverlap,-2.42,61119.296875,61272.0951171875,60813.700390625,152.8,63292.8,2173.5,305.6,87.7,14.22,16.22,TARDE (>60%)
31,2026-06-09 16:19,SOLUSDT,4,LondonNyOverlap,-2.26,63.8000030517578,63.9595030593872,63.481003036499,0.16,64.77,0.97,0.32,75.3,6.08,8.08,TARDE (>60%)
32,2026-06-09 21:18,ETHUSDT,5,NewYork,1.32249483737092,1654.43994140625,1658.57604125977,1646.16774169922,4.14,1636.67,-17.77,8.27,0,-4.3,-2.3,temprano (<40%)
33,2026-06-09 21:19,SOLUSDT,4,NewYork,2.00000000000009,65.2600021362305,65.423152141571,64.9337021255493,0.16,64.77,-0.49,0.33,0,-3.0,-1.0,temprano (<40%)
34,2026-06-09 21:19,BTCUSDT,5,NewYork,1.24974368913943,61932.69921875,62087.5309667969,61623.0357226562,154.83,63292.8,1360.1,309.66,81.5,8.78,10.78,TARDE (>60%)
35,2026-06-10 08:03,SOLUSDT,0,London,-1.0,64.1600036621094,64.2435776846749,63.9928556169782,0.08,64.77,0.61,0.17,78.5,7.3,9.3,TARDE (>60%)
36,2026-06-10 09:19,BTCUSDT,5,London,1.0,61001.203125,61064.4383370536,60874.7327008929,63.24,63292.8,2291.6,126.47,94.8,36.24,38.24,TARDE (>60%)
37,2026-06-10 09:19,BNBUSDT,5,London,1.0,582.900024414062,583.548588344029,581.602896554129,0.65,595.12,12.22,1.3,90.4,18.84,20.84,TARDE (>60%)
38,2026-06-10 11:25,BNBUSDT,4,London,-1.0,581.400024414062,582.240735735212,579.718601771763,0.84,595.12,13.72,1.68,89.1,16.32,18.32,TARDE (>60%)
39,2026-06-10 15:48,BNBUSDT,3,LondonNyOverlap,-1.0,594.100036621094,595.065032958984,592.170043945312,0.96,595.12,1.02,1.93,34.6,1.06,3.06,temprano (<40%)
