num,fecha,symbol,session,direction,score,result_r,status,entry,stop,target,risk,n_pre_bars,pct_done,pre_move_r,cum_delta,last5_delta,avg_cvd,last5_cvd,avg_obi,avg_vpin,stacked_bear,stacked_bull,absorption_n,thin_above_n,expansion_n,oi_mom_n,ask_wall_n,first_bear_bar,first_neg_delta_bar,has_data
1,2026-06-02 08:48,BTCUSDT,London,Short,,2,TARGET,69784.0,69958.46,69435.08,174.46,0,,,,,,,,,,,,,,,,,,False
2,2026-06-02 10:11,BTCUSDT,London,Long,,-1,STOP,69699.5,69525.25125,70013.14775,174.2487,0,,,,,,,,,,,,,,,,,,False
3,2026-06-02 12:18,BTCUSDT,London,Short,,2,TARGET,69222.1015625,69395.1568164062,68875.9910546875,173.0553,0,,,,,,,,,,,,,,,,,,False
4,2026-06-02 16:36,BTCUSDT,LondonNyOverlap,Short,,2,TARGET,67637.203125,67806.2961328125,67299.017109375,169.093,0,,,,,,,,,,,,,,,,,,False
5,2026-06-02 20:51,BTCUSDT,NewYork,Long,,-1,STOP,67555.8984375,67387.0086914063,67859.8999804687,168.8897,0,,,,,,,,,,,,,,,,,,False
6,2026-06-03 08:32,BTCUSDT,London,Long,,-1,STOP,67127.703125,66959.8838671875,67429.7777890625,167.8193,0,,,,,,,,,,,,,,,,,,False
7,2026-06-03 09:48,BTCUSDT,London,Short,,-1,STOP,66645.8046875,66812.4191992187,66312.5756640625,166.6145,0,,,,,,,,,,,,,,,,,,False
8,2026-06-03 11:34,BTCUSDT,London,Short,,2,TARGET,67140.1015625,67307.9518164062,66804.4010546875,167.8503,0,,,,,,,,,,,,,,,,,,False
9,2026-06-03 13:25,BTCUSDT,LondonNyOverlap,Short,,2,TARGET,66895.1015625,67062.3393164062,66560.6260546875,167.2378,0,,,,,,,,,,,,,,,,,,False
10,2026-06-03 16:01,BTCUSDT,LondonNyOverlap,Short,,2,TARGET,65907.3984375,66072.1669335937,65577.8614453125,164.7685,0,,,,,,,,,,,,,,,,,,False
11,2026-06-04 12:48,BTCUSDT,London,Long,,-1,STOP,63808.19921875,63648.6787207031,64095.3361152344,159.5205,0,,,,,,,,,,,,,,,,,,False
12,2026-06-04 16:30,BTCUSDT,LondonNyOverlap,Short,,2,TARGET,63554.40234375,63713.2883496094,63236.6303320313,158.886,0,,,,,,,,,,,,,,,,,,False
13,2026-06-05 08:55,BTCUSDT,London,Short,0,2,TARGET,62290.19921875,62445.9247167969,61978.7482226562,155.7255,0,,,,,,,,,,,,,,,,,,False
14,2026-06-05 10:44,BTCUSDT,London,Long,0,-1,STOP,62644.1015625,62487.4913085938,62926.0000195312,156.6103,0,,,,,,,,,,,,,,,,,,False
15,2026-06-05 13:20,BTCUSDT,LondonNyOverlap,Long,0,-1,STOP,62265.0,62109.3375,62545.1925,155.6625,0,,,,,,,,,,,,,,,,,,False
